start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
1050,1057,8.75,8.8083,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
1058,1535,8.8167,12.7917,3.975,GAP_GE_0P5,gaps_over_0p5,671:ChestTop,True,False,False,False,False
1536,1543,12.8,12.8583,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
2725,2725,22.7083,22.7083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RUArmHigh,False,False,True,False,False
5305,5305,44.2083,44.2083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistRFront,False,False,True,False,False
7113,7113,59.275,59.275,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestTop,False,False,True,False,False
7535,7535,62.7917,62.7917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestTop,False,False,True,False,False
10540,10544,87.8333,87.8667,0.0333,SEGMENT_SWAP,segment_swap,BackRight__RShoulderBack,False,False,False,True,False
10545,10545,87.875,87.875,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RShoulderBack,False,False,True,False,False
14310,14317,119.25,119.3083,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14318,14383,119.3167,119.8583,0.5417,GAP_GE_0P5,gaps_over_0p5,671:ChestLow,True,False,False,False,False
14384,14391,119.8667,119.925,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14495,14495,120.7917,120.7917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
14724,14724,122.7,122.7,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow;671:LHandIn,False,False,True,False,False
15658,15666,130.4833,130.55,0.0667,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,False
15914,15914,132.6167,132.6167,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
16064,16064,133.8667,133.8667,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
16215,16215,135.125,135.125,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
16254,16254,135.45,135.45,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestTop,False,False,True,False,False
16386,16387,136.55,136.5583,0.0083,SEGMENT_SWAP,segment_swap,671:ChestLow;RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,False
17183,17183,143.1917,143.1917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
17191,17191,143.2583,143.2583,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestLow,False,False,True,False,False
17210,17220,143.4167,143.5,0.0833,SEGMENT_SWAP,segment_swap,ChestLow__WaistCBack,False,False,False,True,False
