participant_id,session_id,timepoint,part_id,repetition_id,source_file,start_frame,end_frame,time_sec,end_time_sec,gap_flag,jump_flag,swap_candidate_flag,artifact_flag,unlabeled_burden_flag,marker_set_id,marker_set_mismatch_or_prefix_change_flag,dominant_reason,affected_markers,affected_marker_count
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,1050,1057,8.75,8.8083,False,False,False,False,False,f843d515a491ec5b,False,edge_effect,,0
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,1058,1535,8.8167,12.7917,True,False,False,False,False,f843d515a491ec5b,False,gaps_over_0p5,671:ChestTop,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,1536,1543,12.8,12.8583,False,False,False,False,False,f843d515a491ec5b,False,edge_effect,,0
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,2725,2725,22.7083,22.7083,False,False,False,True,False,f843d515a491ec5b,False,artifact_sigma,671:RUArmHigh,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,5305,5305,44.2083,44.2083,False,False,False,True,False,f843d515a491ec5b,False,artifact_sigma,671:WaistRFront,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,7113,7113,59.275,59.275,False,False,False,True,False,f843d515a491ec5b,False,artifact_sigma,671:ChestTop,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,7535,7535,62.7917,62.7917,False,False,False,True,False,f843d515a491ec5b,False,artifact_sigma,671:ChestTop,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,10540,10544,87.8333,87.8667,False,False,True,False,False,f843d515a491ec5b,False,segment_swap,BackRight__RShoulderBack,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,10545,10545,87.875,87.875,False,False,False,True,False,f843d515a491ec5b,False,artifact_sigma,671:RShoulderBack,1
671,T2_P1_R1,T2,P1,R1,671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,14310,14317,119.25,119.3083,False,False,False,False,False,f843d515a491ec5b,False,edge_effect,,0
