event_id,marker_name,body_region_group,method,start_frame,end_frame,start_time_s,end_time_s,duration_frames,duration_seconds,event_class,severity,near_gap,methods_in_event,peak_metric_value
E000001,671:RUArmHigh,shoulder_upper_arm,velocity_mad,2725,2725,22.708333,22.708333,1,0.008333,single_frame,minor,False,velocity_mad,3.602721
E000002,671:RUArmHigh,shoulder_upper_arm,velocity_mad,28094,28094,234.116667,234.116667,1,0.008333,single_frame,minor,False,velocity_mad,3.094346
E000003,671:RUArmHigh,shoulder_upper_arm,velocity_mad,28342,28342,236.183333,236.183333,1,0.008333,single_frame,minor,False,velocity_mad,3.027624
E000004,671:RUArmHigh,shoulder_upper_arm,velocity_mad,29426,29426,245.216667,245.216667,1,0.008333,single_frame,minor,False,velocity_mad,3.239479
E000005,671:WaistRFront,pelvis_waist,velocity_mad,5305,5305,44.208333,44.208333,1,0.008333,single_frame,minor,False,velocity_mad,1.702277
E000006,671:WaistRFront,pelvis_waist,velocity_mad,29120,29120,242.666667,242.666667,1,0.008333,single_frame,minor,False,velocity_mad,1.635588
E000007,671:WaistRFront,pelvis_waist,velocity_mad,29293,29293,244.108333,244.108333,1,0.008333,single_frame,minor,False,velocity_mad,1.54486
E000008,671:WaistRFront,pelvis_waist,velocity_mad,29295,29295,244.125,244.125,1,0.008333,single_frame,minor,False,velocity_mad,1.58634
E000009,671:ChestTop,torso_chest_back,velocity_mad,7113,7113,59.275,59.275,1,0.008333,single_frame,minor,False,velocity_mad,2.154561
E000010,671:ChestTop,torso_chest_back,velocity_mad,7535,7535,62.791667,62.791667,1,0.008333,single_frame,minor,False,velocity_mad,2.250729
E000011,671:ChestTop,torso_chest_back,velocity_mad,16254,16254,135.45,135.45,1,0.008333,single_frame,moderate,False,velocity_mad,3.533363
E000012,671:ChestTop,torso_chest_back,velocity_mad,17221,17221,143.508333,143.508333,1,0.008333,single_frame,moderate,False,velocity_mad,4.02979
E000013,671:ChestTop,torso_chest_back,velocity_mad,17265,17265,143.875,143.875,1,0.008333,single_frame,moderate,False,velocity_mad,3.035882
E000014,671:ChestTop,torso_chest_back,velocity_mad,17679,17679,147.325,147.325,1,0.008333,single_frame,moderate,False,velocity_mad,4.090552
E000015,671:ChestTop,torso_chest_back,velocity_mad,17830,17830,148.583333,148.583333,1,0.008333,single_frame,minor,False,velocity_mad,2.268473
E000016,671:ChestTop,torso_chest_back,velocity_mad,18591,18591,154.925,154.925,1,0.008333,single_frame,minor,False,velocity_mad,2.426681
E000017,671:ChestTop,torso_chest_back,velocity_mad,23016,23016,191.8,191.8,1,0.008333,single_frame,minor,False,velocity_mad,2.154193
E000018,BackRight__RShoulderBack,torso_chest_back,segment_length_violation,10540,10544,87.833333,87.866667,5,0.041667,short_burst,moderate,False,segment_length_violation,0.178286
E000019,671:RShoulderBack,torso_chest_back,velocity_mad,10545,10545,87.875,87.875,1,0.008333,single_frame,severe,False,velocity_mad,8.434514
E000020,671:RShoulderBack,torso_chest_back,velocity_mad,21832,21832,181.933333,181.933333,1,0.008333,single_frame,moderate,False,velocity_mad,2.395987
E000021,671:RShoulderBack,torso_chest_back,velocity_mad,29903,29903,249.191667,249.191667,1,0.008333,single_frame,minor,False,velocity_mad,1.828873
E000022,671:RShoulderBack,torso_chest_back,velocity_mad,29905,29905,249.208333,249.208333,1,0.008333,single_frame,minor,False,velocity_mad,1.826066
E000023,671:ChestLow,torso_chest_back,velocity_mad,14495,14495,120.791667,120.791667,1,0.008333,single_frame,moderate,False,velocity_mad,5.177847
E000024,671:ChestLow,torso_chest_back,velocity_mad,14724,14724,122.7,122.7,1,0.008333,single_frame,minor,False,velocity_mad,2.706133
E000025,671:ChestLow,torso_chest_back,velocity_mad,15914,15914,132.616667,132.616667,1,0.008333,single_frame,minor,False,velocity_mad,2.800655
E000026,671:ChestLow,torso_chest_back,velocity_mad,16064,16064,133.866667,133.866667,1,0.008333,single_frame,moderate,False,velocity_mad,3.470463
E000027,671:ChestLow,torso_chest_back,velocity_mad,16215,16215,135.125,135.125,1,0.008333,single_frame,moderate,False,velocity_mad,3.949828
E000028,671:ChestLow,torso_chest_back,velocity_mad,17183,17183,143.191667,143.191667,1,0.008333,single_frame,minor,False,velocity_mad,3.126974
E000029,671:ChestLow,torso_chest_back,velocity_mad,17191,17191,143.258333,143.258333,1,0.008333,single_frame,moderate,False,velocity_mad,4.473558
E000030,671:ChestLow,torso_chest_back,velocity_mad,17649,17649,147.075,147.075,1,0.008333,single_frame,minor,False,velocity_mad,2.746293
E000031,671:ChestLow,torso_chest_back,velocity_mad,18549,18549,154.575,154.575,1,0.008333,single_frame,minor,False,velocity_mad,2.962907
E000032,671:ChestLow,torso_chest_back,velocity_mad,28747,28747,239.558333,239.558333,1,0.008333,single_frame,minor,False,velocity_mad,3.305702
E000033,RHandIn__RHandOut,wrist_hand,segment_length_violation,15658,15666,130.483333,130.55,9,0.075,sustained,moderate,False,segment_length_violation,0.182194
E000034,RHandIn__RHandOut,wrist_hand,segment_length_violation,16386,16387,136.55,136.558333,2,0.016667,short_burst,moderate,False,segment_length_violation,0.16177
E000035,RHandIn__RHandOut,wrist_hand,segment_length_violation,19960,19962,166.333333,166.35,3,0.025,short_burst,moderate,False,segment_length_violation,0.09707
E000036,RHandIn__RHandOut,wrist_hand,segment_length_violation,25037,25044,208.641667,208.7,8,0.066667,sustained,moderate,False,segment_length_violation,0.149679
E000037,RHandIn__RHandOut,wrist_hand,segment_length_violation,28125,28126,234.375,234.383333,2,0.016667,short_burst,moderate,False,segment_length_violation,0.175227
E000038,RHandIn__RHandOut,wrist_hand,segment_length_violation,29322,29322,244.35,244.35,1,0.008333,single_frame,moderate,False,segment_length_violation,0.180769
E000039,RHandIn__RHandOut,wrist_hand,segment_length_violation,29434,29435,245.283333,245.291667,2,0.016667,short_burst,moderate,False,segment_length_violation,0.158577
E000040,RHandIn__RWristOut,wrist_hand,segment_length_violation,15659,15666,130.491667,130.55,8,0.066667,sustained,moderate,False,segment_length_violation,0.219427
E000041,RHandIn__RWristOut,wrist_hand,segment_length_violation,16387,16387,136.558333,136.558333,1,0.008333,single_frame,moderate,False,segment_length_violation,0.195531
E000042,RHandIn__RWristOut,wrist_hand,segment_length_violation,19960,19962,166.333333,166.35,3,0.025,short_burst,moderate,False,segment_length_violation,0.128216
E000043,RHandIn__RWristOut,wrist_hand,segment_length_violation,28126,28126,234.383333,234.383333,1,0.008333,single_frame,moderate,False,segment_length_violation,0.200068
E000044,RHandIn__RWristOut,wrist_hand,segment_length_violation,29322,29322,244.35,244.35,1,0.008333,single_frame,moderate,False,segment_length_violation,0.21605
E000045,ChestLow__WaistCBack,torso_chest_back,segment_length_violation,17210,17231,143.416667,143.591667,22,0.183333,sustained,severe,False,segment_length_violation,0.537461
E000046,LHandIn__LHandOut,wrist_hand,segment_length_violation,18019,18027,150.158333,150.225,9,0.075,sustained,moderate,False,segment_length_violation,0.159676
E000047,LHandIn__LHandOut,wrist_hand,segment_length_violation,18029,18035,150.241667,150.291667,7,0.058333,sustained,moderate,False,segment_length_violation,0.09221
E000048,LHandIn__LHandOut,wrist_hand,segment_length_violation,18532,18536,154.433333,154.466667,5,0.041667,short_burst,moderate,False,segment_length_violation,0.15076
E000049,LHandIn__LHandOut,wrist_hand,segment_length_violation,24935,24945,207.791667,207.875,11,0.091667,sustained,moderate,False,segment_length_violation,0.138777
E000050,LHandIn__LHandOut,wrist_hand,segment_length_violation,25357,25365,211.308333,211.375,9,0.075,sustained,moderate,False,segment_length_violation,0.144172
E000051,LHandIn__LHandOut,wrist_hand,segment_length_violation,25694,25704,214.116667,214.2,11,0.091667,sustained,moderate,False,segment_length_violation,0.136146
E000052,LHandIn__LHandOut,wrist_hand,segment_length_violation,27066,27068,225.55,225.566667,3,0.025,short_burst,moderate,False,segment_length_violation,0.143838
E000053,LHandIn__LHandOut,wrist_hand,segment_length_violation,27760,27762,231.333333,231.35,3,0.025,short_burst,severe,False,segment_length_violation,0.088577
E000054,LHandIn__LHandOut,wrist_hand,segment_length_violation,28077,28078,233.975,233.983333,2,0.016667,short_burst,moderate,False,segment_length_violation,0.135671
E000055,LHandIn__LHandOut,wrist_hand,segment_length_violation,29398,29401,244.983333,245.008333,4,0.033333,short_burst,moderate,False,segment_length_violation,0.090058
E000056,LHandIn__LHandOut,wrist_hand,segment_length_violation,29984,29986,249.866667,249.883333,3,0.025,short_burst,moderate,False,segment_length_violation,0.142762
E000057,LHandIn__LWristOut,wrist_hand,segment_length_violation,18021,18024,150.175,150.2,4,0.033333,short_burst,moderate,False,segment_length_violation,0.225851
E000058,LHandIn__LWristOut,wrist_hand,segment_length_violation,18031,18035,150.258333,150.291667,5,0.041667,short_burst,moderate,False,segment_length_violation,0.148995
E000059,LHandIn__LWristOut,wrist_hand,segment_length_violation,18532,18536,154.433333,154.466667,5,0.041667,short_burst,moderate,False,segment_length_violation,0.230298
E000060,LHandIn__LWristOut,wrist_hand,segment_length_violation,27125,27126,226.041667,226.05,2,0.016667,short_burst,moderate,False,segment_length_violation,0.149887
