source_bone_name,canonical_bone_name,total_frames,sign_flip_count,min_consecutive_dot,post_correction_valid
T3_671:Ab,Ab,31674,0,0.9995382828749999,True
T3_671:Chest,Chest,31674,0,0.999399980997,True
T3_671:Head,Head,31674,0,0.9636030969899998,True
T3_671:LFArm,LFArm,31674,0,0.8519931098960001,True
T3_671:LFoot,LFoot,31674,0,0.9963423004080001,True
T3_671:LHand,LHand,31674,0,0.9247985248770001,True
T3_671:LIndex1,LIndex1,31674,0,0.6207082055019999,True
T3_671:LIndex2,LIndex2,31674,5277,0.29379378184300003,True
T3_671:LIndex3,LIndex3,31674,5277,0.6433480063170001,True
T3_671:LMiddle1,LMiddle1,31674,0,0.8280955259380001,True
T3_671:LMiddle2,LMiddle2,31674,0,0.34683643807000003,True
T3_671:LMiddle3,LMiddle3,31674,0,0.09142852058999999,True
T3_671:LPinky1,LPinky1,31674,0,0.955261432189,True
T3_671:LPinky2,LPinky2,31674,0,0.956797668707,True
T3_671:LPinky3,LPinky3,31674,0,0.9568459706779999,True
T3_671:LRing1,LRing1,31674,0,0.9553435546079999,True
T3_671:LRing2,LRing2,31674,0,0.849227366342,True
T3_671:LRing3,LRing3,31674,0,0.78327096569,True
T3_671:LShin,LShin,31674,0,0.998634785772,True
T3_671:LShoulder,LShoulder,31674,0,0.997439851066,True
T3_671:LThigh,LThigh,31674,0,0.998935596379,True
T3_671:LThumb1,LThumb1,31674,0,0.9136557700419999,True
T3_671:LThumb2,LThumb2,31674,0,0.8521759826499999,True
T3_671:LThumb3,LThumb3,31674,0,0.760189303078,True
T3_671:LToe,LToe,31674,0,0.996248152408,True
T3_671:LUArm,LUArm,31674,0,0.995066700072,True
T3_671:Neck,Neck,31674,0,0.99467624403,True
T3_671:Neck2,Neck2,31674,0,0.982673651804,True
T3_671:RFArm,RFArm,31674,0,0.979696304251,True
T3_671:RFoot,RFoot,31674,0,0.995141180021,True
T3_671:RHand,RHand,31674,0,0.5191374892980001,True
T3_671:RIndex1,RIndex1,31674,0,0.50227158586,True
T3_671:RIndex2,RIndex2,31674,0,0.5022712102010001,True
T3_671:RIndex3,RIndex3,31674,0,0.50227155362,True
T3_671:RMiddle1,RMiddle1,31674,0,0.5233455517669999,True
T3_671:RMiddle2,RMiddle2,31674,0,0.5233453825829999,True
T3_671:RMiddle3,RMiddle3,31674,0,0.52334445006,True
T3_671:RPinky1,RPinky1,31674,0,0.4794574784729999,True
T3_671:RPinky2,RPinky2,31674,0,0.22732506917499995,True
T3_671:RPinky3,RPinky3,31674,12760,0.056989631817999986,True
T3_671:RRing1,RRing1,31674,0,0.513518166187,True
T3_671:RRing2,RRing2,31674,0,0.513518212316,True
T3_671:RRing3,RRing3,31674,0,0.4418745185140001,True
T3_671:RShin,RShin,31674,0,0.9976104788239999,True
T3_671:RShoulder,RShoulder,31674,0,0.996348722483,True
T3_671:RThigh,RThigh,31674,0,0.9976098417229999,True
T3_671:RThumb1,RThumb1,31674,0,0.618593831176,True
T3_671:RThumb2,RThumb2,31674,0,0.601372198887,True
T3_671:RThumb3,RThumb3,31674,0,0.57106097602,True
T3_671:RToe,RToe,31674,0,0.9950356819969999,True
T3_671:RUArm,RUArm,31674,0,0.9926016415529999,True
T3_671:Spine2,Spine2,31674,0,0.999690813375,True
T3_671:Spine3,Spine3,31674,0,0.999731377952,True
T3_671:Spine4,Spine4,31674,0,0.999582288551,True
T3_671:T3_671,T3_671,31674,0,0.9993590101179999,True
