source_bone_name,canonical_bone_name,column_index_x,column_index_y,column_index_z,column_index_w,total_frames,complete_xyzw_frame_count,complete_xyzw_percent,population_status,notes
T3_671:Ab,Ab,9,10,11,12,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Chest,Chest,37,38,39,40,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Head,Head,58,59,60,61,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LFArm,LFArm,79,80,81,82,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LFoot,LFoot,345,346,347,348,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LHand,LHand,86,87,88,89,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LIndex1,LIndex1,114,115,116,117,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LIndex2,LIndex2,121,122,123,124,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LIndex3,LIndex3,128,129,130,131,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LMiddle1,LMiddle1,135,136,137,138,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LMiddle2,LMiddle2,142,143,144,145,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LMiddle3,LMiddle3,149,150,151,152,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LPinky1,LPinky1,177,178,179,180,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LPinky2,LPinky2,184,185,186,187,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LPinky3,LPinky3,191,192,193,194,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LRing1,LRing1,156,157,158,159,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LRing2,LRing2,163,164,165,166,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LRing3,LRing3,170,171,172,173,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LShin,LShin,338,339,340,341,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LShoulder,LShoulder,65,66,67,68,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LThigh,LThigh,331,332,333,334,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LThumb1,LThumb1,93,94,95,96,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LThumb2,LThumb2,100,101,102,103,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LThumb3,LThumb3,107,108,109,110,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LToe,LToe,352,353,354,355,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:LUArm,LUArm,72,73,74,75,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Neck,Neck,44,45,46,47,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Neck2,Neck2,51,52,53,54,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RFArm,RFArm,212,213,214,215,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RFoot,RFoot,373,374,375,376,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RHand,RHand,219,220,221,222,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RIndex1,RIndex1,247,248,249,250,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RIndex2,RIndex2,254,255,256,257,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RIndex3,RIndex3,261,262,263,264,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RMiddle1,RMiddle1,268,269,270,271,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RMiddle2,RMiddle2,275,276,277,278,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RMiddle3,RMiddle3,282,283,284,285,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RPinky1,RPinky1,310,311,312,313,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RPinky2,RPinky2,317,318,319,320,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RPinky3,RPinky3,324,325,326,327,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RRing1,RRing1,289,290,291,292,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RRing2,RRing2,296,297,298,299,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RRing3,RRing3,303,304,305,306,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RShin,RShin,366,367,368,369,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RShoulder,RShoulder,198,199,200,201,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RThigh,RThigh,359,360,361,362,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RThumb1,RThumb1,226,227,228,229,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RThumb2,RThumb2,233,234,235,236,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RThumb3,RThumb3,240,241,242,243,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RToe,RToe,380,381,382,383,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:RUArm,RUArm,205,206,207,208,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Spine2,Spine2,16,17,18,19,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Spine3,Spine3,23,24,25,26,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:Spine4,Spine4,30,31,32,33,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
T3_671:T3_671,T3_671,2,3,4,5,31674,31674,100.0,pass,Structural population check only; not quaternion norm or component-order validation
