pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
FKA-671_LHeel__FKA-671_LToeIn,FKA-671_LHeel,FKA-671_LToeIn,foot,0.217087,0,0.0,0,FKA-671_LHeel,LHeel,FKA-671,FKA-671_LToeIn,LToeIn,FKA-671
FKA-671_LToeIn__FKA-671_LToeOut,FKA-671_LToeIn,FKA-671_LToeOut,foot,0.109587,0,0.0,0,FKA-671_LToeIn,LToeIn,FKA-671,FKA-671_LToeOut,LToeOut,FKA-671
FKA-671_LHeel__FKA-671_LToeTip,FKA-671_LHeel,FKA-671_LToeTip,foot,0.282741,0,0.0,0,FKA-671_LHeel,LHeel,FKA-671,FKA-671_LToeTip,LToeTip,FKA-671
FKA-671_RHeel__FKA-671_RToeIn,FKA-671_RHeel,FKA-671_RToeIn,foot,0.199826,0,0.0,0,FKA-671_RHeel,RHeel,FKA-671,FKA-671_RToeIn,RToeIn,FKA-671
FKA-671_RHeel__FKA-671_RToeOut,FKA-671_RHeel,FKA-671_RToeOut,foot,0.216685,0,0.0,0,FKA-671_RHeel,RHeel,FKA-671,FKA-671_RToeOut,RToeOut,FKA-671
FKA-671_RHeel__FKA-671_RToeTip,FKA-671_RHeel,FKA-671_RToeTip,foot,0.28426,0,0.0,0,FKA-671_RHeel,RHeel,FKA-671,FKA-671_RToeTip,RToeTip,FKA-671
FKA-671_HeadFront__FKA-671_HeadTop,FKA-671_HeadFront,FKA-671_HeadTop,head_neck,0.146235,0,0.0,0,FKA-671_HeadFront,HeadFront,FKA-671,FKA-671_HeadTop,HeadTop,FKA-671
FKA-671_WaistLFront__FKA-671_WaistRFront,FKA-671_WaistLFront,FKA-671_WaistRFront,pelvis_waist,0.251576,0,0.0,0,FKA-671_WaistLFront,WaistLFront,FKA-671,FKA-671_WaistRFront,WaistRFront,FKA-671
FKA-671_LAnkleOut__FKA-671_LShin,FKA-671_LAnkleOut,FKA-671_LShin,shank_ankle,0.128899,0,0.0,0,FKA-671_LAnkleOut,LAnkleOut,FKA-671,FKA-671_LShin,LShin,FKA-671
FKA-671_RAnkleOut__FKA-671_RShin,FKA-671_RAnkleOut,FKA-671_RShin,shank_ankle,0.209435,0,0.0,0,FKA-671_RAnkleOut,RAnkleOut,FKA-671,FKA-671_RShin,RShin,FKA-671
FKA-671_RShoulderTop__FKA-671_RUArmHigh,FKA-671_RShoulderTop,FKA-671_RUArmHigh,shoulder_upper_arm,0.19687,29,0.095147,1,FKA-671_RShoulderTop,RShoulderTop,FKA-671,FKA-671_RUArmHigh,RUArmHigh,FKA-671
FKA-671_LKneeOut__FKA-671_LThighFront,FKA-671_LKneeOut,FKA-671_LThighFront,thigh_knee,0.374821,412,1.35175,12,FKA-671_LKneeOut,LKneeOut,FKA-671,FKA-671_LThighFront,LThighFront,FKA-671
FKA-671_LThighFront__FKA-671_LThighSide,FKA-671_LThighFront,FKA-671_LThighSide,thigh_knee,0.194698,0,0.0,0,FKA-671_LThighFront,LThighFront,FKA-671,FKA-671_LThighSide,LThighSide,FKA-671
FKA-671_RThighFront__FKA-671_RThighSide,FKA-671_RThighFront,FKA-671_RThighSide,thigh_knee,0.18922,0,0.0,0,FKA-671_RThighFront,RThighFront,FKA-671,FKA-671_RThighSide,RThighSide,FKA-671
FKA-671_BackTop__FKA-671_ChestLow,FKA-671_BackTop,FKA-671_ChestLow,torso_chest_back,0.321681,0,0.0,0,FKA-671_BackTop,BackTop,FKA-671,FKA-671_ChestLow,ChestLow,FKA-671
FKA-671_ChestLow__FKA-671_RShoulderBack,FKA-671_ChestLow,FKA-671_RShoulderBack,torso_chest_back,0.327345,0,0.0,0,FKA-671_ChestLow,ChestLow,FKA-671,FKA-671_RShoulderBack,RShoulderBack,FKA-671
FKA-671_ChestTop__FKA-671_WaistCBack,FKA-671_ChestTop,FKA-671_WaistCBack,torso_chest_back,0.364461,8,0.026248,1,FKA-671_ChestTop,ChestTop,FKA-671,FKA-671_WaistCBack,WaistCBack,FKA-671
FKA-671_ChestLow__FKA-671_LShoulderBack,FKA-671_ChestLow,FKA-671_LShoulderBack,torso_chest_back,0.324249,0,0.0,0,FKA-671_ChestLow,ChestLow,FKA-671,FKA-671_LShoulderBack,LShoulderBack,FKA-671
FKA-671_WaistLBack__FKA-671_WaistRBack,FKA-671_WaistLBack,FKA-671_WaistRBack,torso_chest_back,0.240882,0,0.0,0,FKA-671_WaistLBack,WaistLBack,FKA-671,FKA-671_WaistRBack,WaistRBack,FKA-671
FKA-671_RHandIn__FKA-671_RHandOut,FKA-671_RHandIn,FKA-671_RHandOut,wrist_hand,0.122696,85,0.278881,19,FKA-671_RHandIn,RHandIn,FKA-671,FKA-671_RHandOut,RHandOut,FKA-671
FKA-671_RHandIn__FKA-671_RWristOut,FKA-671_RHandIn,FKA-671_RWristOut,wrist_hand,0.157014,36,0.118114,10,FKA-671_RHandIn,RHandIn,FKA-671,FKA-671_RWristOut,RWristOut,FKA-671
