start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
640,647,5.3333,5.3917,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
648,717,5.4,5.975,0.575,GAP_GE_0P5,gaps_over_0p5,FKA-671_LThighFront,True,False,False,False,False
718,725,5.9833,6.0417,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
880,887,7.3333,7.3917,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
888,1230,7.4,10.25,2.85,GAP_GE_0P5,gaps_over_0p5,FKA-671_ChestLow;FKA-671_ChestTop,True,False,False,False,False
1231,1231,10.2583,10.2583,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,FKA-671_ChestTop;FKA-671_LThighFront,True,False,True,False,False
1232,1266,10.2667,10.55,0.2833,GAP_GE_0P5,gaps_over_0p5,FKA-671_ChestTop,True,False,False,False,False
1267,1267,10.5583,10.5583,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,FKA-671_ChestTop;FKA-671_WaistLFront,True,False,True,False,False
1268,1366,10.5667,11.3833,0.8167,GAP_GE_0P5,gaps_over_0p5,FKA-671_ChestTop,True,False,False,False,False
1367,1367,11.3917,11.3917,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,FKA-671_ChestTop;FKA-671_WaistRFront,True,False,True,False,False
1368,1534,11.4,12.7833,1.3833,GAP_GE_0P5,gaps_over_0p5,FKA-671_ChestTop,True,False,False,False,False
1535,1542,12.7917,12.85,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
4354,4354,36.2833,36.2833,0.0,ARTIFACT_SIGMA,artifact_sigma,FKA-671_ChestTop,False,False,True,False,False
5898,5898,49.15,49.15,0.0,ARTIFACT_SIGMA,artifact_sigma,FKA-671_BackTop,False,False,True,False,False
11038,11082,91.9833,92.35,0.3667,GAP_GE_0P2,gaps_over_0p2,FKA-671_LThighFront,False,True,False,False,False
14249,14249,118.7417,118.7417,0.0,ARTIFACT_SIGMA,artifact_sigma,FKA-671_ChestLow,False,False,True,False,False
14359,14389,119.6583,119.9083,0.25,GAP_GE_0P2,gaps_over_0p2,FKA-671_ChestLow,False,True,False,False,False
14467,14467,120.5583,120.5583,0.0,ARTIFACT_SIGMA,artifact_sigma,FKA-671_LHandIn,False,False,True,False,False
14665,14690,122.2083,122.4167,0.2083,GAP_GE_0P2,gaps_over_0p2,FKA-671_LHandIn,False,True,False,False,False
14768,14775,123.0667,123.125,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
14776,14786,123.1333,123.2167,0.0833,GAP_GE_0P5,gaps_over_0p5,FKA-671_LHandOut,True,False,False,False,False
14787,14787,123.225,123.225,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,FKA-671_LHandOut;FKA-671_RHandOut,True,False,True,False,False
14788,14803,123.2333,123.3583,0.125,GAP_GE_0P5,gaps_over_0p5,FKA-671_LHandOut,True,False,False,False,False
