participant_id,session_id,timepoint,part_id,repetition_id,source_file,start_frame,end_frame,time_sec,end_time_sec,gap_flag,jump_flag,swap_candidate_flag,artifact_flag,unlabeled_burden_flag,marker_set_id,marker_set_mismatch_or_prefix_change_flag,dominant_reason,affected_markers,affected_marker_count
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,640,647,5.3333,5.3917,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,648,717,5.4,5.975,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LThighFront,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,718,725,5.9833,6.0417,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,880,887,7.3333,7.3917,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,888,1230,7.4,10.25,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestLow;FKA-671_ChestTop,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1231,1231,10.2583,10.2583,True,False,False,True,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop;FKA-671_LThighFront,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1232,1266,10.2667,10.55,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1267,1267,10.5583,10.5583,True,False,False,True,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop;FKA-671_WaistLFront,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1268,1366,10.5667,11.3833,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1367,1367,11.3917,11.3917,True,False,False,True,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop;FKA-671_WaistRFront,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1368,1534,11.4,12.7833,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,1535,1542,12.7917,12.85,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,4354,4354,36.2833,36.2833,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,5898,5898,49.15,49.15,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_BackTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,11038,11082,91.9833,92.35,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_LThighFront,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14249,14249,118.7417,118.7417,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14359,14389,119.6583,119.9083,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14467,14467,120.5583,120.5583,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_LHandIn,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14665,14690,122.2083,122.4167,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_LHandIn,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14768,14775,123.0667,123.125,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14776,14786,123.1333,123.2167,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LHandOut,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14787,14787,123.225,123.225,True,False,False,True,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LHandOut;FKA-671_RHandOut,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14788,14803,123.2333,123.3583,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LHandOut,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14804,14804,123.3667,123.3667,True,False,False,True,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LHandOut;FKA-671_RHandOut,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14805,14969,123.375,124.7417,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_ChestLow;FKA-671_LHandOut;FKA-671_RWristOut,3
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,14970,14977,124.75,124.8083,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15116,15159,125.9667,126.325,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestLow;FKA-671_LHandOut,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15279,15279,127.325,127.325,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_RHandIn,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15298,15305,127.4833,127.5417,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15306,15380,127.55,128.1667,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p5,FKA-671_LHandOut,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15381,15383,128.175,128.1917,False,False,False,False,False,f843d515a491ec5b,True,edge_effect,,0
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15384,15387,128.2,128.225,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15388,15388,128.2333,128.2333,True,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestLow;FKA-671_LHandIn,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15389,15399,128.2417,128.325,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15400,15400,128.3333,128.3333,True,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestLow;FKA-671_ChestTop,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15401,15425,128.3417,128.5417,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15483,15525,129.025,129.375,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15546,15571,129.55,129.7583,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_LHandIn;FKA-671_LHandOut,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15584,15584,129.8667,129.8667,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15643,15643,130.3583,130.3583,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_RHandIn,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15644,15646,130.3667,130.3833,False,False,True,False,False,f843d515a491ec5b,True,segment_swap,FKA-671_RHandIn__FKA-671_RHandOut;FKA-671_RHandIn__FKA-671_RWristOut,2
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15659,15659,130.4917,130.4917,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestLow,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15662,15690,130.5167,130.75,True,False,False,False,False,f843d515a491ec5b,True,gaps_over_0p2,FKA-671_RHandIn,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15711,15711,130.925,130.925,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestTop,1
671,T2_P1_R2,T2,P1,R2,671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,15778,15778,131.4833,131.4833,False,False,False,True,False,f843d515a491ec5b,True,artifact_sigma,FKA-671_ChestLow;FKA-671_LHandIn,2
