link_id,parent_canonical,child_canonical,jump_event_frame,context_window_frames,context_start_frame,context_end_frame,stage07_jump_magnitude_rad,stage07_row_qc_status,session_id,run_label,stage08_analysis_eligible,stage08_filter_status,stage08_mask_reason,reason
J023,LHand,LThumb1,17307,30,17277,17337,1.142264993826455,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J029,RUArm,RFArm,17307,30,17277,17337,0.7187676308631565,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J031,RFArm,RHand,17307,30,17277,17337,0.7017348056699987,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,True,filtered_but_jump_context_flagged,,value_kept_numeric_row_flagged_for_downstream_review
J032,RHand,RIndex1,17307,30,17277,17337,1.6511186095817627,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J033,RIndex1,RIndex2,17307,30,17277,17337,1.9718061304534047,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J034,RIndex2,RIndex3,17307,30,17277,17337,0.8215848270749663,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J035,RHand,RMiddle1,17307,30,17277,17337,1.2610165622862854,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J036,RMiddle1,RMiddle2,17307,30,17277,17337,1.5115201715580584,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J037,RMiddle2,RMiddle3,17307,30,17277,17337,0.6297983938464198,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J038,RHand,RPinky1,17307,30,17277,17337,0.5157438194666941,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J039,RPinky1,RPinky2,17307,30,17277,17337,0.5937067339667228,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J041,RHand,RRing1,17307,30,17277,17337,0.8797141637988538,warning,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
J042,RRing1,RRing2,17307,30,17277,17337,1.0539911722473223,fail,671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,False,excluded_from_analysis,excluded_feature_scope,value_kept_numeric_row_flagged_for_downstream_review
