link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,branch_cut_context_frames,analysis_eligible_frames,stage08_filter_status
J002,30356,30356,30356,30356,0,0,0,provisional_manual_review
J003,30356,30356,30356,30356,0,0,0,provisional_manual_review
J004,30356,30356,30356,30356,0,0,30356,pass
J005,30356,30356,30356,30356,0,0,30356,pass
J006,30356,30356,30356,30356,0,0,30356,pass
J007,30356,30356,30356,30356,0,0,30356,pass
J008,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J009,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J010,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J011,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J012,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J013,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J014,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J015,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J016,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J017,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J018,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J019,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J020,30356,30356,30356,30356,0,0,30356,pass
J021,30356,30356,30356,30356,0,0,30356,pass
J022,30356,30356,30356,30356,0,0,30356,pass
J023,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J024,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J025,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J026,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J027,30356,30356,30356,30356,0,0,30356,pass
J028,30356,30356,30356,30356,0,0,30356,pass
J029,30356,30356,30356,30356,61,0,30295,filtered_but_jump_context_flagged
J030,30356,30356,30356,30356,0,0,30356,pass
J031,30356,30356,30356,30356,61,0,30295,filtered_but_jump_context_flagged
J032,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J033,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J034,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J035,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J036,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J037,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J038,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J039,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J040,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J041,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J042,30356,30356,30356,30356,61,0,0,excluded_from_analysis
J043,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J044,30356,30356,30356,30356,0,0,30356,pass
J045,30356,30356,30356,30356,0,0,30356,pass
J046,30356,30356,30356,30356,0,0,30356,pass
J047,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J048,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J049,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J050,30356,30356,30356,30356,0,0,0,excluded_from_analysis
J051,30356,30356,30356,30356,0,0,30356,pass
