participant_id,comparison_scope,session_ids_compared,canonical_link_name,parent_canonical,child_canonical,axis,present_in_sessions,missing_in_sessions,directly_comparable,requires_composite_mapping,not_comparable,native_link_ids_by_session,topology_warning,recommended_action,requires_user_decision,classification
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,Neck->Head,Neck,Head,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2,671_T3_P1_R1;671_T3_P1_R2,False,True,False,671_T1_P1_R1=J004; 671_T1_P1_R2=J004; 671_T2_P1_R1=J004; 671_T2_P1_R2=J004; 671_T3_P1_R1=; 671_T3_P1_R2=,direct link in some sessions but only a multi-segment chain in others (e.g. Neck->Head vs Neck->Neck2->Head); composite mapping required,do not treat as direct; requires explicit harmonization manifest,True,requires_composite_mapping
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,Chest->Neck,Chest,Neck,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J028; 671_T1_P1_R2=J028; 671_T2_P1_R1=J028; 671_T2_P1_R2=J028; 671_T3_P1_R1=J027; 671_T3_P1_R2=J027,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,Chest->LShoulder,Chest,LShoulder,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J021; 671_T1_P1_R2=J021; 671_T2_P1_R1=J021; 671_T2_P1_R2=J021; 671_T3_P1_R1=J020; 671_T3_P1_R2=J020,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,LShoulder->LUArm,LShoulder,LUArm,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J027; 671_T1_P1_R2=J027; 671_T2_P1_R1=J027; 671_T2_P1_R2=J027; 671_T3_P1_R1=J026; 671_T3_P1_R2=J026,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,LUArm->LFArm,LUArm,LFArm,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J005; 671_T1_P1_R2=J005; 671_T2_P1_R1=J005; 671_T2_P1_R2=J005; 671_T3_P1_R1=J004; 671_T3_P1_R2=J004,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,LFArm->LHand,LFArm,LHand,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J007; 671_T1_P1_R2=J007; 671_T2_P1_R1=J007; 671_T2_P1_R2=J007; 671_T3_P1_R1=J006; 671_T3_P1_R2=J006,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,Chest->RShoulder,Chest,RShoulder,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J045; 671_T1_P1_R2=J045; 671_T2_P1_R1=J045; 671_T2_P1_R2=J045; 671_T3_P1_R1=J045; 671_T3_P1_R2=J045,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,RShoulder->RUArm,RShoulder,RUArm,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J051; 671_T1_P1_R2=J051; 671_T2_P1_R1=J051; 671_T2_P1_R2=J051; 671_T3_P1_R1=J051; 671_T3_P1_R2=J051,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,RUArm->RFArm,RUArm,RFArm,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J029; 671_T1_P1_R2=J029; 671_T2_P1_R1=J029; 671_T2_P1_R2=J029; 671_T3_P1_R1=J029; 671_T3_P1_R2=J029,,include (direct canonical match across sessions),False,directly_comparable
671,6_session_compare,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,RFArm->RHand,RFArm,RHand,rx;ry;rz,671_T1_P1_R1;671_T1_P1_R2;671_T2_P1_R1;671_T2_P1_R2;671_T3_P1_R1;671_T3_P1_R2,,True,False,False,671_T1_P1_R1=J031; 671_T1_P1_R2=J031; 671_T2_P1_R1=J031; 671_T2_P1_R2=J031; 671_T3_P1_R1=J031; 671_T3_P1_R2=J031,,include (direct canonical match across sessions),False,directly_comparable
