line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T3_P1_R1_Take 2026-02-03 08.05.01 PM_000|Take Notes|
2,blank,True,0,
3,type,False,771,|Type|Bone|Bone|Bone|Bone
4,name,False,771,|Name|T3_671:T3_671|T3_671:T3_671|T3_671:T3_671|T3_671:T3_671
5,id,False,771,|ID|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180|47C68B89012911F1:90AFB54A3B8C3180
6,parent,False,771,|Parent|Root|Root|Root|Root
7,property,False,771,||Rotation|Rotation|Rotation|Rotation
8,component,False,771,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,771,0|0.000000|0.006507|0.026196|-0.000201|0.999636
10,data,False,771,1|0.008333|0.006485|0.026201|-0.000205|0.999636
11,data,False,771,2|0.016667|0.006464|0.026197|-0.000208|0.999636
12,data,False,771,3|0.025000|0.006443|0.026187|-0.000216|0.999636
13,data,False,771,4|0.033333|0.006429|0.026187|-0.000218|0.999636
14,data,False,771,5|0.041667|0.006418|0.026184|-0.000222|0.999637
15,data,False,771,6|0.050000|0.006405|0.026171|-0.000224|0.999637
16,data,False,771,7|0.058333|0.006401|0.026171|-0.000229|0.999637
17,data,False,771,8|0.066667|0.006394|0.026160|-0.000237|0.999637
18,data,False,771,9|0.075000|0.006395|0.026159|-0.000243|0.999637
19,data,False,771,10|0.083333|0.006397|0.026155|-0.000245|0.999637
20,data,False,771,11|0.091667|0.006400|0.026154|-0.000250|0.999637
