parent_bone,child_bone,source_parent_bone,source_child_bone,exclusion_reason,selection_rule,requires_manual_review
LHand,LIndex1,T3_671:LHand,T3_671:LIndex1,distal_keyword:Index,distal_exclusion.keywords,False
LIndex1,LIndex2,T3_671:LIndex1,T3_671:LIndex2,distal_keyword:Index,distal_exclusion.keywords,False
LIndex2,LIndex3,T3_671:LIndex2,T3_671:LIndex3,distal_keyword:Index,distal_exclusion.keywords,False
LHand,LMiddle1,T3_671:LHand,T3_671:LMiddle1,distal_keyword:Middle,distal_exclusion.keywords,False
LMiddle1,LMiddle2,T3_671:LMiddle1,T3_671:LMiddle2,distal_keyword:Middle,distal_exclusion.keywords,False
LMiddle2,LMiddle3,T3_671:LMiddle2,T3_671:LMiddle3,distal_keyword:Middle,distal_exclusion.keywords,False
LHand,LPinky1,T3_671:LHand,T3_671:LPinky1,distal_keyword:Pinky,distal_exclusion.keywords,False
LPinky1,LPinky2,T3_671:LPinky1,T3_671:LPinky2,distal_keyword:Pinky,distal_exclusion.keywords,False
LPinky2,LPinky3,T3_671:LPinky2,T3_671:LPinky3,distal_keyword:Pinky,distal_exclusion.keywords,False
LHand,LRing1,T3_671:LHand,T3_671:LRing1,distal_keyword:Ring,distal_exclusion.keywords,False
LRing1,LRing2,T3_671:LRing1,T3_671:LRing2,distal_keyword:Ring,distal_exclusion.keywords,False
LRing2,LRing3,T3_671:LRing2,T3_671:LRing3,distal_keyword:Ring,distal_exclusion.keywords,False
LHand,LThumb1,T3_671:LHand,T3_671:LThumb1,distal_keyword:Thumb,distal_exclusion.keywords,False
LThumb1,LThumb2,T3_671:LThumb1,T3_671:LThumb2,distal_keyword:Thumb,distal_exclusion.keywords,False
LThumb2,LThumb3,T3_671:LThumb2,T3_671:LThumb3,distal_keyword:Thumb,distal_exclusion.keywords,False
LFoot,LToe,T3_671:LFoot,T3_671:LToe,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
RHand,RIndex1,T3_671:RHand,T3_671:RIndex1,distal_keyword:Index,distal_exclusion.keywords,False
RIndex1,RIndex2,T3_671:RIndex1,T3_671:RIndex2,distal_keyword:Index,distal_exclusion.keywords,False
RIndex2,RIndex3,T3_671:RIndex2,T3_671:RIndex3,distal_keyword:Index,distal_exclusion.keywords,False
RHand,RMiddle1,T3_671:RHand,T3_671:RMiddle1,distal_keyword:Middle,distal_exclusion.keywords,False
RMiddle1,RMiddle2,T3_671:RMiddle1,T3_671:RMiddle2,distal_keyword:Middle,distal_exclusion.keywords,False
RMiddle2,RMiddle3,T3_671:RMiddle2,T3_671:RMiddle3,distal_keyword:Middle,distal_exclusion.keywords,False
RHand,RPinky1,T3_671:RHand,T3_671:RPinky1,distal_keyword:Pinky,distal_exclusion.keywords,False
RPinky1,RPinky2,T3_671:RPinky1,T3_671:RPinky2,distal_keyword:Pinky,distal_exclusion.keywords,False
RPinky2,RPinky3,T3_671:RPinky2,T3_671:RPinky3,distal_keyword:Pinky,distal_exclusion.keywords,False
RHand,RRing1,T3_671:RHand,T3_671:RRing1,distal_keyword:Ring,distal_exclusion.keywords,False
RRing1,RRing2,T3_671:RRing1,T3_671:RRing2,distal_keyword:Ring,distal_exclusion.keywords,False
RRing2,RRing3,T3_671:RRing2,T3_671:RRing3,distal_keyword:Ring,distal_exclusion.keywords,False
RHand,RThumb1,T3_671:RHand,T3_671:RThumb1,distal_keyword:Thumb,distal_exclusion.keywords,False
RThumb1,RThumb2,T3_671:RThumb1,T3_671:RThumb2,distal_keyword:Thumb,distal_exclusion.keywords,False
RThumb2,RThumb3,T3_671:RThumb2,T3_671:RThumb3,distal_keyword:Thumb,distal_exclusion.keywords,False
RFoot,RToe,T3_671:RFoot,T3_671:RToe,cautious_keyword:Toe,distal_exclusion.cautious_keywords,True
