session_id,run_label,template_name,link_id,parent_canonical,child_canonical,feature_scope,stage04_parent_qc_status,stage04_child_qc_status,stage05_parent_sign_status,stage05_child_sign_status,stage06_reconstruction_status,stage06_max_reconstruction_error_deg,stage06_relative_sign_status,stage07_branch_cut_status,stage07_max_rotvec_norm,stage07_jump_status,stage07_max_jump_rad,stage08_policy,notes
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J018,LRing1,LRing2,excluded_distal,pass,pass,pass,pass,pass,3.138165539017168e-14,pass,pass,1.2542001053936684,pass,0.13866204771261023,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J019,LRing2,LRing3,excluded_distal,pass,pass,pass,pass,pass,2.9465214745382417e-14,pass,pass,0.5225843181299843,pass,0.05777647484349741,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J020,LThigh,LShin,core_candidate,pass,pass,pass,pass,pass,2.6521597060172603e-14,pass,pass,2.331875509533233,pass,0.1659525048778973,allow_filter,shin core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J021,Chest,LShoulder,core_candidate,pass,pass,pass,pass,pass,2.3252838416582694e-14,pass,pass,0.618048488606199,pass,0.06682712444510129,allow_filter,shoulder core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J022,671,LThigh,core_candidate,pass,pass,pass,pass,pass,3.0515774635236097e-14,pass,pass,1.6700651593967923,pass,0.09184254208127386,allow_filter,Defensible Motive hip/top-segment-to-thigh link: asset-name-labeled Motive hip/top skeleton segment (`671`); Motive documents this as the skeleton hip; export naming may follow Asset Hip Name
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J023,LHand,LThumb1,excluded_distal,pass,pass,pass,pass,pass,2.9510782792360775e-14,pass,pass,1.6877595771581737,fail,1.142264993826455,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J024,LThumb1,LThumb2,excluded_distal,pass,pass,pass,pass,pass,3.1622702953374756e-14,pass,pass,0.9794717495350429,pass,0.4168427815655797,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J025,LThumb2,LThumb3,excluded_distal,pass,pass,pass,pass,pass,2.936756889999407e-14,pass,pass,0.500001755568619,pass,0.41684292497773606,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J026,LFoot,LToe,excluded_toe,pass,pass,pass,pass,pass,2.6009296895324325e-14,pass,pass,0.3907521733412318,pass,0.044519423230637546,excluded_from_analysis,toe link excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J027,LShoulder,LUArm,core_candidate,pass,pass,pass,pass,pass,2.8402626683173062e-14,pass,pass,1.5378721093675822,pass,0.21655700699992994,allow_filter,upper arm core candidate
