joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,non_finite_rotvec_rows,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,branch_cut_status,stage08_may_proceed_for_link
J001,T3_671,Ab,review_provisional,False,False,31674,0,0.3657581228102247,0.2890862430117083,0.35720299197219824,0,0.0,pass,True
J002,Spine4,Chest,review_provisional,False,False,31674,0,0.15949923610406438,0.12148139041253443,0.15152432564875762,0,0.0,pass,True
J003,Neck2,Head,core_candidate,True,False,31674,0,0.458039172630674,0.4304824342885571,0.452077487829426,0,0.0,pass,True
J004,LUArm,LFArm,core_candidate,True,False,31674,0,2.690689758744655,2.375814502429854,2.5002138756197905,0,0.0,pass,False
J005,LShin,LFoot,core_candidate,True,False,31674,0,1.0408332545166794,0.6684783859169178,0.9298900683997732,0,0.0,pass,True
J006,LFArm,LHand,core_candidate,True,False,31674,0,2.00360030943926,1.6388371032042413,1.7465809773138126,0,0.0,pass,False
J007,LHand,LIndex1,excluded,False,True,31674,0,1.747758158517163,1.698059244673696,1.7074764000198448,0,0.0,pass,False
J008,LIndex1,LIndex2,excluded,False,True,31674,0,2.040002685539131,2.0399987182714137,2.040000879057006,0,0.0,pass,False
J009,LIndex2,LIndex3,excluded,False,True,31674,0,0.8500025685626147,0.8499984458914136,0.8500007539075669,0,0.0,pass,True
J010,LHand,LMiddle1,excluded,False,True,31674,0,1.612987761492517,1.1113334431905035,1.2966009859186607,0,0.0,pass,False
J011,LMiddle1,LMiddle2,excluded,False,True,31674,0,1.9187978332836118,1.318636184000177,1.5420037768905828,0,0.0,pass,False
J012,LMiddle2,LMiddle3,excluded,False,True,31674,0,0.7994995485484135,0.5494313952844916,0.6425014845382517,0,0.0,pass,True
J013,LHand,LPinky1,excluded,False,True,31674,0,1.7939323183587885,1.0563687475725296,1.5264466944439876,0,0.0,pass,True
J014,LPinky1,LPinky2,excluded,False,True,31674,0,2.0400024626955235,0.7815641432468139,1.6486262349056036,0,0.0,pass,True
