joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,link_group,total_frames,finite_rotvec_rows,non_finite_rotvec_rows,min_rotvec_norm,mean_rotvec_norm,median_rotvec_norm,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,max_frame_to_frame_jump,p95_frame_to_frame_jump,p99_frame_to_frame_jump,large_jump_count,large_jump_percent,first_large_jump_frame,branch_cut_status,jump_status,stage08_may_proceed_for_link
J001,T3_671,Ab,T3_671:T3_671,T3_671:Ab,False,provisional_v0,True,trunk_spine,False,False,review_provisional,31674,31674,0,0.10918365634274907,0.20018918113629922,0.18267895800149392,0.3657581228102247,0.2890862430117083,0.35720299197219824,0,0.0,0.017239832092369633,0.005261834960608995,0.009570641104627582,0,0.0,,pass,pass,True
J002,Spine4,Chest,T3_671:Spine4,T3_671:Chest,False,provisional_v0,True,trunk_spine,False,False,review_provisional,31674,31674,0,0.0006603573485243755,0.06873020430248072,0.06439676807126432,0.15949923610406438,0.12148139041253443,0.15152432564875762,0,0.0,0.019234186445023376,0.005938305613643598,0.010156729523764606,0,0.0,,pass,pass,True
J003,Neck2,Head,T3_671:Neck2,T3_671:Head,True,provisional_v0,False,head_neck,True,False,core_candidate,31674,31674,0,0.010130415933321993,0.18306320107582982,0.1645801025032519,0.458039172630674,0.4304824342885571,0.452077487829426,0,0.0,0.17175497685265578,0.00897371813796108,0.013314328741390864,0,0.0,,pass,pass,True
J004,LUArm,LFArm,T3_671:LUArm,T3_671:LFArm,True,provisional_v0,False,forearm,True,False,core_candidate,31674,31674,0,0.16463974440847326,1.4076959767159318,1.148319500428427,2.690689758744655,2.375814502429854,2.5002138756197905,0,0.0,1.3331956407914098,0.10371775228860754,0.1990557764354747,1,0.003157263284185268,18914.0,pass,fail,False
J005,LShin,LFoot,T3_671:LShin,T3_671:LFoot,True,provisional_v0,False,foot,True,False,core_candidate,31674,31674,0,0.032036163876456046,0.3031624434166241,0.2337780188947819,1.0408332545166794,0.6684783859169178,0.9298900683997732,0,0.0,0.16357349659181483,0.022229366374812178,0.044776038985944205,0,0.0,,pass,pass,True
J006,LFArm,LHand,T3_671:LFArm,T3_671:LHand,True,provisional_v0,False,hand,True,False,core_candidate,31674,31674,0,0.387777828867277,1.1658541603953887,1.0835359719233721,2.00360030943926,1.6388371032042413,1.7465809773138126,0,0.0,1.4497434147009356,0.08430364327763587,0.1545748110277196,1,0.003157263284185268,18914.0,pass,fail,False
J007,LHand,LIndex1,T3_671:LHand,T3_671:LIndex1,False,provisional_v0,False,finger,False,True,excluded,31674,31674,0,0.17601123686236397,0.6352847415489663,0.4623997876262408,1.747758158517163,1.698059244673696,1.7074764000198448,0,0.0,1.6819577328661888,0.02651487071787343,0.04698177864456807,2,0.006314526568370536,18914.0,pass,fail,False
J008,LIndex1,LIndex2,T3_671:LIndex1,T3_671:LIndex2,False,provisional_v0,False,finger,False,True,excluded,31674,31674,0,0.002431018090759193,0.7003872878415501,0.49606941261367576,2.040002685539131,2.0399987182714137,2.040000879057006,0,0.0,2.0068197335255222,0.022695562342235874,0.04413788603858689,2,0.006314526568370536,18914.0,pass,fail,False
J009,LIndex2,LIndex3,T3_671:LIndex2,T3_671:LIndex3,False,provisional_v0,False,finger,False,True,excluded,31674,31674,0,0.001013259242604794,0.2918280057618785,0.20669637479920133,0.8500025685626147,0.8499984458914136,0.8500007539075669,0,0.0,0.8361732123135457,0.009455746671584058,0.01838999586021971,1,0.003157263284185268,26397.0,pass,warning,True
J010,LHand,LMiddle1,T3_671:LHand,T3_671:LMiddle1,False,provisional_v0,False,finger,False,True,excluded,31674,31674,0,0.0932683673225187,0.4332310660037757,0.27168799469991955,1.612987761492517,1.1113334431905035,1.2966009859186607,0,0.0,1.081783432611202,0.024050835172438483,0.04255768728342372,1,0.003157263284185268,26397.0,pass,fail,False
