joint_id,parent_bone,child_bone,link_group,core_candidate,excluded_candidate,total_frames,non_finite_rotvec_rows,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,branch_cut_status,stage08_may_proceed_for_link
J002,671,Ab,review_provisional,False,False,30235,0,0.37766037348076076,0.25098551346830617,0.3618980342861968,0,0.0,pass,True
J003,Ab,Chest,review_provisional,False,False,30235,0,0.38299701566624444,0.2537022874669622,0.3648827674321248,0,0.0,pass,True
J004,Neck,Head,core_candidate,True,False,30235,0,0.8157894931144439,0.6697709956449105,0.8082024966796535,0,0.0,pass,True
J005,LUArm,LFArm,core_candidate,True,False,30235,0,2.646642894157299,2.1953514353900094,2.460055275519464,0,0.0,pass,True
J006,LShin,LFoot,core_candidate,True,False,30235,0,1.0824575221598847,0.749624463573333,1.0029613978050982,0,0.0,pass,True
J007,LFArm,LHand,core_candidate,True,False,30235,0,1.728982837647918,1.2398602829831835,1.454257568131806,0,0.0,pass,True
J008,LHand,LIndex1,excluded,False,True,30235,0,1.7524332501619186,1.7138759925676643,1.752430988976977,0,0.0,pass,True
J009,LIndex1,LIndex2,excluded,False,True,30235,0,2.0400027590262098,2.0399267390863134,2.0400009220202944,0,0.0,pass,True
J010,LIndex2,LIndex3,excluded,False,True,30235,0,0.8500024903857198,0.84996942590798,0.8500007022560543,0,0.0,pass,True
J011,LHand,LMiddle1,excluded,False,True,30235,0,1.71118767371522,1.279711971419668,1.4893118478850325,0,0.0,pass,True
J012,LMiddle1,LMiddle2,excluded,False,True,30235,0,2.0157374986125314,1.4961404329028776,1.7410836157465723,0,0.0,pass,True
J013,LMiddle2,LMiddle3,excluded,False,True,30235,0,0.8398911345826165,0.6233901316963464,0.7254513110464547,0,0.0,pass,True
J014,LHand,LPinky1,excluded,False,True,30235,0,1.7326021961147882,1.4757625423994793,1.7266303490927808,0,0.0,pass,True
J015,LPinky1,LPinky2,excluded,False,True,30235,0,2.040003100254256,1.7569621355114706,2.040000196215879,0,0.0,pass,True
J016,LPinky2,LPinky3,excluded,False,True,30235,0,0.8500020411832111,0.7320670030123204,0.8499998512719366,0,0.0,pass,True
J017,LHand,LRing1,excluded,False,True,30235,0,1.686904905144313,1.2121039372343094,1.4282236304747646,0,0.0,pass,True
J018,LRing1,LRing2,excluded,False,True,30235,0,1.9916211567100108,1.4344834750207829,1.685291817433035,0,0.0,pass,True
J019,LRing2,LRing3,excluded,False,True,30235,0,0.829839870509987,0.5977025157827895,0.7022049562069437,0,0.0,pass,True
J020,LThigh,LShin,core_candidate,True,False,30235,0,2.082742697440791,1.183207023051267,1.7824406876095036,0,0.0,pass,True
J021,Chest,LShoulder,core_candidate,True,False,30235,0,0.5899388959966426,0.4759366135621706,0.562144078358345,0,0.0,pass,True
J022,671,LThigh,core_candidate,True,False,30235,0,2.0610527513526717,0.7549179340145192,1.360766864638702,0,0.0,pass,True
