index,1,2,3,4,ee_pos1,ee_pos2,ee_pos3
0.0,0.22482176748425975,-0.0968020041269067,-0.1702482249570973,1.625577385070384,0.08387433901890552,0.1977927045278234,-0.3724714649722331
0.0010000000000000009,0.22482161347990445,-0.09680194730176941,-0.1702303194029373,1.6256762185914728,0.0838677624220976,0.19780290877606718,-0.37244320862228414
0.0020000000000000018,0.2248214723565213,-0.09680188838751347,-0.17021190319554116,1.6257770359163508,0.08386105077608336,0.1978133713047464,-0.3724143538717213
0.0030000000000000027,0.22482134484173585,-0.09680182734870228,-0.17019296760469674,1.6258798678538922,0.08385420207642065,0.19782409615755334,-0.37238489118621043
0.0040000000000000036,0.22482123168249502,-0.09680176415043341,-0.1701735038823819,1.625984745590123,0.08384721430084076,0.19783508738304986,-0.3723548109292993
0.0050000000000000044,0.22482113364519088,-0.09680169875839802,-0.17015350326580866,1.626091700690643,0.08384008540934551,0.1978463490331066,-0.3723241033622638
0.006000000000000005,0.22482105151577053,-0.0968016311389425,-0.17013295697985412,1.6262007651025523,0.08383281334419633,0.19785788516144798,-0.3722927586440696
0.007000000000000006,0.22482098609983142,-0.09680156125913221,-0.1701118562388845,1.6263119711569896,0.08382539602979727,0.19786969982235983,-0.3722607668310913
0.008000000000000007,0.22482093822270077,-0.09680148908681738,-0.17009019224873184,1.6264253515722469,0.08381783137259574,0.19788179706943432,-0.37222811787666216
0.009000000000000008,0.224820908729499,-0.0968014145907012,-0.1700679562088332,1.626540939456304,0.08381011726118565,0.19789418095434774,-0.3721948016308268
0.010000000000000009,0.22482089848518602,-0.0968013377404102,-0.17004513931379447,1.6266587683079936,0.08380225156649321,0.19790685552585038,-0.3721608078403091
0.01100000000000001,0.2248209083749657,-0.09680125850656685,-0.17002173275438587,1.6267788720175178,0.08379423214186481,0.1979198248290251,-0.3721261261483988
0.01200000000000001,0.22482093930580063,-0.09680117686086437,-0.16999772771835067,1.6269012848674127,0.0837860568232417,0.1979330929046888,-0.372090746094646
0.013000000000000012,0.22482099220828342,-0.09680109277614407,-0.16997311539066112,1.6270260415339268,0.08377772342942358,0.1979466637889333,-0.3720546571144341
0.014000000000000012,0.22482106803660595,-0.09680100622647486,-0.16994788695322835,1.6271531770880332,0.08376922976193601,0.1979605415127403,-0.3720178485386858
0.015000000000000013,0.2248211677666261,-0.09680091718723517,-0.1699220335848259,1.6272827269960355,0.08376057360444283,0.1979747301014232,-0.37198030959377204
0.016000000000000014,0.22482129239428836,-0.09680082563519736,-0.16989554646123733,1.627414727120112,0.0837517527223147,0.19798923357395232,-0.37194202940139154
0.017000000000000015,0.22482144293514972,-0.09680073154861446,-0.16986841675451048,1.6275492137183842,0.08374276486259975,0.1980040559427087,-0.3719029969783098
0.018000000000000016,0.22482162042425782,-0.0968006349073094,-0.16984063563057536,1.6276862234444824,0.0837336077540328,0.19801920121396563,-0.3718632012359066
0.019000000000000017,0.22482182591600391,-0.09680053569276671,-0.1698121942459838,1.6278257933469433,0.08372427910684188,0.19803467338860806,-0.3718226309796645
0.020000000000000018,0.22482206048394915,-0.09680043388822664,-0.1697830837449076,1.6279679608680266,0.08371477661247621,0.19805047646259805,-0.37178127490891494
