source_bone_name,canonical_bone_name,component,column_index,flat_name
671:671,671,X,2,col0002__Bone__671_671__Rotation__X
671:671,671,Y,3,col0003__Bone__671_671__Rotation__Y
671:671,671,Z,4,col0004__Bone__671_671__Rotation__Z
671:671,671,W,5,col0005__Bone__671_671__Rotation__W
671:Ab,Ab,X,9,col0009__Bone__671_Ab__Rotation__X
671:Ab,Ab,Y,10,col0010__Bone__671_Ab__Rotation__Y
671:Ab,Ab,Z,11,col0011__Bone__671_Ab__Rotation__Z
671:Ab,Ab,W,12,col0012__Bone__671_Ab__Rotation__W
671:Chest,Chest,X,16,col0016__Bone__671_Chest__Rotation__X
671:Chest,Chest,Y,17,col0017__Bone__671_Chest__Rotation__Y
671:Chest,Chest,Z,18,col0018__Bone__671_Chest__Rotation__Z
671:Chest,Chest,W,19,col0019__Bone__671_Chest__Rotation__W
671:Neck,Neck,X,23,col0023__Bone__671_Neck__Rotation__X
671:Neck,Neck,Y,24,col0024__Bone__671_Neck__Rotation__Y
671:Neck,Neck,Z,25,col0025__Bone__671_Neck__Rotation__Z
671:Neck,Neck,W,26,col0026__Bone__671_Neck__Rotation__W
671:Head,Head,X,30,col0030__Bone__671_Head__Rotation__X
671:Head,Head,Y,31,col0031__Bone__671_Head__Rotation__Y
671:Head,Head,Z,32,col0032__Bone__671_Head__Rotation__Z
671:Head,Head,W,33,col0033__Bone__671_Head__Rotation__W
671:LShoulder,LShoulder,X,37,col0037__Bone__671_LShoulder__Rotation__X
671:LShoulder,LShoulder,Y,38,col0038__Bone__671_LShoulder__Rotation__Y
671:LShoulder,LShoulder,Z,39,col0039__Bone__671_LShoulder__Rotation__Z
671:LShoulder,LShoulder,W,40,col0040__Bone__671_LShoulder__Rotation__W
671:LUArm,LUArm,X,44,col0044__Bone__671_LUArm__Rotation__X
671:LUArm,LUArm,Y,45,col0045__Bone__671_LUArm__Rotation__Y
671:LUArm,LUArm,Z,46,col0046__Bone__671_LUArm__Rotation__Z
671:LUArm,LUArm,W,47,col0047__Bone__671_LUArm__Rotation__W
671:LFArm,LFArm,X,51,col0051__Bone__671_LFArm__Rotation__X
671:LFArm,LFArm,Y,52,col0052__Bone__671_LFArm__Rotation__Y
671:LFArm,LFArm,Z,53,col0053__Bone__671_LFArm__Rotation__Z
671:LFArm,LFArm,W,54,col0054__Bone__671_LFArm__Rotation__W
671:LHand,LHand,X,58,col0058__Bone__671_LHand__Rotation__X
671:LHand,LHand,Y,59,col0059__Bone__671_LHand__Rotation__Y
671:LHand,LHand,Z,60,col0060__Bone__671_LHand__Rotation__Z
671:LHand,LHand,W,61,col0061__Bone__671_LHand__Rotation__W
671:LThumb1,LThumb1,X,65,col0065__Bone__671_LThumb1__Rotation__X
671:LThumb1,LThumb1,Y,66,col0066__Bone__671_LThumb1__Rotation__Y
671:LThumb1,LThumb1,Z,67,col0067__Bone__671_LThumb1__Rotation__Z
671:LThumb1,LThumb1,W,68,col0068__Bone__671_LThumb1__Rotation__W
671:LThumb2,LThumb2,X,72,col0072__Bone__671_LThumb2__Rotation__X
671:LThumb2,LThumb2,Y,73,col0073__Bone__671_LThumb2__Rotation__Y
671:LThumb2,LThumb2,Z,74,col0074__Bone__671_LThumb2__Rotation__Z
671:LThumb2,LThumb2,W,75,col0075__Bone__671_LThumb2__Rotation__W
671:LThumb3,LThumb3,X,79,col0079__Bone__671_LThumb3__Rotation__X
671:LThumb3,LThumb3,Y,80,col0080__Bone__671_LThumb3__Rotation__Y
671:LThumb3,LThumb3,Z,81,col0081__Bone__671_LThumb3__Rotation__Z
671:LThumb3,LThumb3,W,82,col0082__Bone__671_LThumb3__Rotation__W
671:LIndex1,LIndex1,X,86,col0086__Bone__671_LIndex1__Rotation__X
671:LIndex1,LIndex1,Y,87,col0087__Bone__671_LIndex1__Rotation__Y
671:LIndex1,LIndex1,Z,88,col0088__Bone__671_LIndex1__Rotation__Z
671:LIndex1,LIndex1,W,89,col0089__Bone__671_LIndex1__Rotation__W
671:LIndex2,LIndex2,X,93,col0093__Bone__671_LIndex2__Rotation__X
671:LIndex2,LIndex2,Y,94,col0094__Bone__671_LIndex2__Rotation__Y
671:LIndex2,LIndex2,Z,95,col0095__Bone__671_LIndex2__Rotation__Z
671:LIndex2,LIndex2,W,96,col0096__Bone__671_LIndex2__Rotation__W
671:LIndex3,LIndex3,X,100,col0100__Bone__671_LIndex3__Rotation__X
671:LIndex3,LIndex3,Y,101,col0101__Bone__671_LIndex3__Rotation__Y
671:LIndex3,LIndex3,Z,102,col0102__Bone__671_LIndex3__Rotation__Z
671:LIndex3,LIndex3,W,103,col0103__Bone__671_LIndex3__Rotation__W
671:LMiddle1,LMiddle1,X,107,col0107__Bone__671_LMiddle1__Rotation__X
671:LMiddle1,LMiddle1,Y,108,col0108__Bone__671_LMiddle1__Rotation__Y
671:LMiddle1,LMiddle1,Z,109,col0109__Bone__671_LMiddle1__Rotation__Z
671:LMiddle1,LMiddle1,W,110,col0110__Bone__671_LMiddle1__Rotation__W
671:LMiddle2,LMiddle2,X,114,col0114__Bone__671_LMiddle2__Rotation__X
671:LMiddle2,LMiddle2,Y,115,col0115__Bone__671_LMiddle2__Rotation__Y
671:LMiddle2,LMiddle2,Z,116,col0116__Bone__671_LMiddle2__Rotation__Z
671:LMiddle2,LMiddle2,W,117,col0117__Bone__671_LMiddle2__Rotation__W
671:LMiddle3,LMiddle3,X,121,col0121__Bone__671_LMiddle3__Rotation__X
671:LMiddle3,LMiddle3,Y,122,col0122__Bone__671_LMiddle3__Rotation__Y
671:LMiddle3,LMiddle3,Z,123,col0123__Bone__671_LMiddle3__Rotation__Z
671:LMiddle3,LMiddle3,W,124,col0124__Bone__671_LMiddle3__Rotation__W
671:LRing1,LRing1,X,128,col0128__Bone__671_LRing1__Rotation__X
671:LRing1,LRing1,Y,129,col0129__Bone__671_LRing1__Rotation__Y
671:LRing1,LRing1,Z,130,col0130__Bone__671_LRing1__Rotation__Z
671:LRing1,LRing1,W,131,col0131__Bone__671_LRing1__Rotation__W
671:LRing2,LRing2,X,135,col0135__Bone__671_LRing2__Rotation__X
671:LRing2,LRing2,Y,136,col0136__Bone__671_LRing2__Rotation__Y
671:LRing2,LRing2,Z,137,col0137__Bone__671_LRing2__Rotation__Z
671:LRing2,LRing2,W,138,col0138__Bone__671_LRing2__Rotation__W
671:LRing3,LRing3,X,142,col0142__Bone__671_LRing3__Rotation__X
671:LRing3,LRing3,Y,143,col0143__Bone__671_LRing3__Rotation__Y
671:LRing3,LRing3,Z,144,col0144__Bone__671_LRing3__Rotation__Z
671:LRing3,LRing3,W,145,col0145__Bone__671_LRing3__Rotation__W
671:LPinky1,LPinky1,X,149,col0149__Bone__671_LPinky1__Rotation__X
671:LPinky1,LPinky1,Y,150,col0150__Bone__671_LPinky1__Rotation__Y
671:LPinky1,LPinky1,Z,151,col0151__Bone__671_LPinky1__Rotation__Z
671:LPinky1,LPinky1,W,152,col0152__Bone__671_LPinky1__Rotation__W
671:LPinky2,LPinky2,X,156,col0156__Bone__671_LPinky2__Rotation__X
671:LPinky2,LPinky2,Y,157,col0157__Bone__671_LPinky2__Rotation__Y
671:LPinky2,LPinky2,Z,158,col0158__Bone__671_LPinky2__Rotation__Z
671:LPinky2,LPinky2,W,159,col0159__Bone__671_LPinky2__Rotation__W
671:LPinky3,LPinky3,X,163,col0163__Bone__671_LPinky3__Rotation__X
671:LPinky3,LPinky3,Y,164,col0164__Bone__671_LPinky3__Rotation__Y
671:LPinky3,LPinky3,Z,165,col0165__Bone__671_LPinky3__Rotation__Z
671:LPinky3,LPinky3,W,166,col0166__Bone__671_LPinky3__Rotation__W
671:RShoulder,RShoulder,X,170,col0170__Bone__671_RShoulder__Rotation__X
671:RShoulder,RShoulder,Y,171,col0171__Bone__671_RShoulder__Rotation__Y
671:RShoulder,RShoulder,Z,172,col0172__Bone__671_RShoulder__Rotation__Z
671:RShoulder,RShoulder,W,173,col0173__Bone__671_RShoulder__Rotation__W
671:RUArm,RUArm,X,177,col0177__Bone__671_RUArm__Rotation__X
671:RUArm,RUArm,Y,178,col0178__Bone__671_RUArm__Rotation__Y
671:RUArm,RUArm,Z,179,col0179__Bone__671_RUArm__Rotation__Z
671:RUArm,RUArm,W,180,col0180__Bone__671_RUArm__Rotation__W
671:RFArm,RFArm,X,184,col0184__Bone__671_RFArm__Rotation__X
671:RFArm,RFArm,Y,185,col0185__Bone__671_RFArm__Rotation__Y
671:RFArm,RFArm,Z,186,col0186__Bone__671_RFArm__Rotation__Z
671:RFArm,RFArm,W,187,col0187__Bone__671_RFArm__Rotation__W
671:RHand,RHand,X,191,col0191__Bone__671_RHand__Rotation__X
671:RHand,RHand,Y,192,col0192__Bone__671_RHand__Rotation__Y
671:RHand,RHand,Z,193,col0193__Bone__671_RHand__Rotation__Z
671:RHand,RHand,W,194,col0194__Bone__671_RHand__Rotation__W
671:RThumb1,RThumb1,X,198,col0198__Bone__671_RThumb1__Rotation__X
671:RThumb1,RThumb1,Y,199,col0199__Bone__671_RThumb1__Rotation__Y
671:RThumb1,RThumb1,Z,200,col0200__Bone__671_RThumb1__Rotation__Z
671:RThumb1,RThumb1,W,201,col0201__Bone__671_RThumb1__Rotation__W
671:RThumb2,RThumb2,X,205,col0205__Bone__671_RThumb2__Rotation__X
671:RThumb2,RThumb2,Y,206,col0206__Bone__671_RThumb2__Rotation__Y
671:RThumb2,RThumb2,Z,207,col0207__Bone__671_RThumb2__Rotation__Z
671:RThumb2,RThumb2,W,208,col0208__Bone__671_RThumb2__Rotation__W
671:RThumb3,RThumb3,X,212,col0212__Bone__671_RThumb3__Rotation__X
