line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009|Take Notes|
2,blank,True,0,
3,type,False,752,|Type|Bone|Bone|Bone|Bone
4,name,False,752,|Name|671:671|671:671|671:671|671:671
5,id,False,752,|ID|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080
6,parent,False,752,|Parent|Root|Root|Root|Root
7,property,False,752,||Rotation|Rotation|Rotation|Rotation
8,component,False,752,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,752,0|0.000000|0.007586|-0.042809|-0.003830|-0.999047
10,data,False,752,1|0.008333|0.007470|-0.043392|-0.004192|-0.999021
11,data,False,752,2|0.016667|0.007351|-0.044011|-0.004578|-0.998994
12,data,False,752,3|0.025000|0.007180|-0.044603|-0.004946|-0.998967
13,data,False,752,4|0.033333|0.006986|-0.045223|-0.005364|-0.998938
14,data,False,752,5|0.041667|0.006781|-0.045907|-0.005788|-0.998906
15,data,False,752,6|0.050000|0.006550|-0.046578|-0.006235|-0.998874
16,data,False,752,7|0.058333|0.006278|-0.047279|-0.006690|-0.998840
17,data,False,752,8|0.066667|0.005987|-0.047997|-0.007156|-0.998804
18,data,False,752,9|0.075000|0.005660|-0.048723|-0.007625|-0.998767
19,data,False,752,10|0.083333|0.005315|-0.049434|-0.008102|-0.998730
20,data,False,752,11|0.091667|0.004953|-0.050211|-0.008600|-0.998689
