raw_marker_or_region,normalized_marker_or_region,component_markers,attached_bone,attached_bone_canonical,marker_family,related_joint_family,candidate_layer2_links,candidate_layer2_link_ids,mapping_source,mapping_status,candidate_mapping_level,included_in_review,review_note
671:LShoulderTop,LShoulderTop,,671_LShoulder,LShoulder,shoulder_upper_arm,left_shoulder_arm,J021 Chest->LShoulder; J027 LShoulder->LUArm,J021; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LThighFront,LThighFront,,671_LThigh,LThigh,thigh_knee,left_thigh_knee,J020 LThigh->LShin; J022 671->LThigh,J020; J022,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LThighSide,LThighSide,,671_LThigh,LThigh,thigh_knee,left_thigh_knee,J020 LThigh->LShin; J022 671->LThigh,J020; J022,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LToeIn,LToeIn,,671_LFoot,LFoot,foot,left_foot,J006 LShin->LFoot; J026 LFoot->LToe,J006; J026,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LToeOut,LToeOut,,671_LFoot,LFoot,foot,left_foot,J006 LShin->LFoot; J026 LFoot->LToe,J006; J026,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LUArmHigh,LUArmHigh,,671_LUArm,LUArm,shoulder_upper_arm,left_shoulder_arm,J005 LUArm->LFArm; J027 LShoulder->LUArm,J005; J027,datadescriptions,mapped,bone_adjacency_candidate,True,
671:LWristOut,LWristOut,,671_LFArm,LFArm,wrist_hand,left_wrist_hand,J005 LUArm->LFArm; J007 LFArm->LHand,J005; J007,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RAnkleOut,RAnkleOut,,671_RShin,RShin,shank_ankle,right_shank_ankle,J030 RShin->RFoot; J044 RThigh->RShin,J030; J044,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RElbowOut,RElbowOut,,671_RUArm,RUArm,elbow_forearm,right_elbow_forearm,J029 RUArm->RFArm; J051 RShoulder->RUArm,J029; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RFArm,RFArm,,671_RFArm,RFArm,shoulder_upper_arm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,J029; J031,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RHandIn,RHandIn,,671_RHand,RHand,wrist_hand,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,J031; J032; J035; J038; J041; J047,datadescriptions,mapped,bone_adjacency_candidate,True,
RHandIn__RHandOut,RHandIn__RHandOut,RHandIn; RHandOut,mixed,mixed,wrist_hand,right_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J029 RUArm->RFArm; J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J045 Chest->RShoulder; J046 671->RThigh; J047 RHand->RThumb1; J051 RShoulder->RUArm,J001; J002; J003; J021; J022; J028; J029; J031; J032; J035; J038; J041; J045; J046; J047; J051,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
RHandIn__RWristOut,RHandIn__RWristOut,RHandIn; RWristOut,mixed,mixed,wrist_hand,right_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J029 RUArm->RFArm; J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J045 Chest->RShoulder; J046 671->RThigh; J047 RHand->RThumb1; J051 RShoulder->RUArm,J001; J002; J003; J021; J022; J028; J029; J031; J032; J035; J038; J041; J045; J046; J047; J051,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:RHandOut,RHandOut,,671_RHand,RHand,wrist_hand,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,J031; J032; J035; J038; J041; J047,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RHeel,RHeel,,671_RFoot,RFoot,foot,right_foot,J030 RShin->RFoot; J050 RFoot->RToe,J030; J050,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RKneeOut,RKneeOut,,671_RThigh,RThigh,thigh_knee,right_thigh_knee,J044 RThigh->RShin; J046 671->RThigh,J044; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
RKneeOut__RThighSide,RKneeOut__RThighSide,RKneeOut; RThighSide,mixed,mixed,thigh_knee,right_thigh_knee,J001 Root->671; J002 671->Ab; J022 671->LThigh; J044 RThigh->RShin; J046 671->RThigh,J001; J002; J022; J044; J046,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:RShin,RShin,,671_RShin,RShin,shank_ankle,right_shank_ankle,J030 RShin->RFoot; J044 RThigh->RShin,J030; J044,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RShoulderBack,RShoulderBack,,671_RShoulder,RShoulder,torso_chest_back,right_trunk_chest,J045 Chest->RShoulder; J051 RShoulder->RUArm,J045; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RShoulderTop,RShoulderTop,,671_RShoulder,RShoulder,shoulder_upper_arm,right_shoulder_arm,J045 Chest->RShoulder; J051 RShoulder->RUArm,J045; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RThighFront,RThighFront,,671_RThigh,RThigh,thigh_knee,right_thigh_knee,J044 RThigh->RShin; J046 671->RThigh,J044; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RThighSide,RThighSide,,671_RThigh,RThigh,thigh_knee,right_thigh_knee,J044 RThigh->RShin; J046 671->RThigh,J044; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RToeIn,RToeIn,,671_RFoot,RFoot,foot,right_foot,J030 RShin->RFoot; J050 RFoot->RToe,J030; J050,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RToeOut,RToeOut,,671_RFoot,RFoot,foot,right_foot,J030 RShin->RFoot; J050 RFoot->RToe,J030; J050,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RUArmHigh,RUArmHigh,,671_RUArm,RUArm,shoulder_upper_arm,right_shoulder_arm,J029 RUArm->RFArm; J051 RShoulder->RUArm,J029; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RWristOut,RWristOut,,671_RFArm,RFArm,wrist_hand,right_wrist_hand,J029 RUArm->RFArm; J031 RFArm->RHand,J029; J031,datadescriptions,mapped,bone_adjacency_candidate,True,
671:WaistCBack,WaistCBack,,671_671,671,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,J001; J002; J022; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:WaistLBack,WaistLBack,,671_671,671,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,J001; J002; J022; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:WaistLFront,WaistLFront,,671_671,671,pelvis_waist,pelvis_hip,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,J001; J002; J022; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:WaistRBack,WaistRBack,,671_671,671,torso_chest_back,trunk_chest,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,J001; J002; J022; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
671:WaistRFront,WaistRFront,,671_671,671,pelvis_waist,pelvis_hip,J001 Root->671; J002 671->Ab; J022 671->LThigh; J046 671->RThigh,J001; J002; J022; J046,datadescriptions,mapped,bone_adjacency_candidate,True,
