source_bone_name,canonical_bone_name,row_index,frame
671:RIndex2,RIndex2,17465,17465
671:RIndex2,RIndex2,17466,17466
671:RIndex2,RIndex2,17467,17467
671:RIndex2,RIndex2,17468,17468
671:RIndex2,RIndex2,17469,17469
671:RIndex2,RIndex2,17470,17470
671:RIndex2,RIndex2,17471,17471
671:RIndex2,RIndex2,17472,17472
671:RIndex2,RIndex2,17473,17473
671:RIndex2,RIndex2,17474,17474
671:RIndex2,RIndex2,17475,17475
671:RIndex2,RIndex2,17476,17476
671:RIndex2,RIndex2,17477,17477
671:RIndex2,RIndex2,17478,17478
671:RIndex2,RIndex2,17479,17479
671:RIndex2,RIndex2,17480,17480
671:RIndex2,RIndex2,17481,17481
671:RIndex2,RIndex2,17482,17482
671:RIndex2,RIndex2,17483,17483
671:RIndex2,RIndex2,17484,17484
671:RIndex2,RIndex2,17485,17485
671:RIndex2,RIndex2,17486,17486
671:RIndex2,RIndex2,17487,17487
671:RIndex2,RIndex2,17488,17488
671:RIndex2,RIndex2,17489,17489
671:RIndex2,RIndex2,17490,17490
671:RIndex2,RIndex2,17491,17491
671:RIndex2,RIndex2,17492,17492
671:RIndex2,RIndex2,17493,17493
671:RIndex2,RIndex2,17494,17494
671:RIndex2,RIndex2,17495,17495
671:RIndex2,RIndex2,17496,17496
671:RIndex2,RIndex2,17497,17497
671:RIndex2,RIndex2,17498,17498
671:RIndex2,RIndex2,17499,17499
671:RIndex2,RIndex2,17500,17500
671:RIndex2,RIndex2,17501,17501
671:RIndex2,RIndex2,17502,17502
671:RIndex2,RIndex2,17503,17503
671:RIndex2,RIndex2,17504,17504
671:RIndex2,RIndex2,17505,17505
671:RIndex2,RIndex2,17506,17506
671:RIndex2,RIndex2,17507,17507
671:RIndex2,RIndex2,17508,17508
671:RIndex2,RIndex2,17509,17509
671:RIndex2,RIndex2,17510,17510
671:RIndex2,RIndex2,17511,17511
671:RIndex2,RIndex2,17512,17512
671:RIndex2,RIndex2,17513,17513
671:RIndex2,RIndex2,17514,17514
671:RIndex2,RIndex2,17515,17515
671:RIndex2,RIndex2,17516,17516
671:RIndex2,RIndex2,17517,17517
671:RIndex2,RIndex2,17518,17518
671:RIndex2,RIndex2,17519,17519
671:RIndex2,RIndex2,17520,17520
671:RIndex2,RIndex2,17521,17521
671:RIndex2,RIndex2,17522,17522
671:RIndex2,RIndex2,17523,17523
671:RIndex2,RIndex2,17524,17524
671:RIndex2,RIndex2,17525,17525
671:RIndex2,RIndex2,17526,17526
671:RIndex2,RIndex2,17527,17527
671:RIndex2,RIndex2,17528,17528
671:RIndex2,RIndex2,17529,17529
671:RIndex2,RIndex2,17530,17530
671:RIndex2,RIndex2,17531,17531
671:RIndex2,RIndex2,17532,17532
671:RIndex2,RIndex2,17533,17533
671:RIndex2,RIndex2,17534,17534
671:RIndex2,RIndex2,17535,17535
671:RIndex2,RIndex2,17536,17536
671:RIndex2,RIndex2,17537,17537
671:RIndex2,RIndex2,17538,17538
671:RIndex2,RIndex2,17539,17539
671:RIndex2,RIndex2,17540,17540
671:RIndex2,RIndex2,17541,17541
671:RIndex2,RIndex2,17542,17542
671:RIndex2,RIndex2,17543,17543
671:RIndex2,RIndex2,17544,17544
671:RIndex2,RIndex2,17545,17545
671:RIndex2,RIndex2,17546,17546
671:RIndex2,RIndex2,17547,17547
671:RIndex2,RIndex2,17548,17548
671:RIndex2,RIndex2,17549,17549
671:RIndex2,RIndex2,17550,17550
671:RIndex2,RIndex2,17551,17551
671:RIndex2,RIndex2,17552,17552
671:RIndex2,RIndex2,17553,17553
671:RIndex2,RIndex2,17554,17554
671:RIndex2,RIndex2,17555,17555
671:RIndex2,RIndex2,17556,17556
671:RIndex2,RIndex2,17557,17557
671:RIndex2,RIndex2,17558,17558
671:RIndex2,RIndex2,17559,17559
671:RIndex2,RIndex2,17560,17560
671:RIndex2,RIndex2,17561,17561
671:RIndex2,RIndex2,17562,17562
671:RIndex2,RIndex2,17563,17563
671:RIndex2,RIndex2,17564,17564
671:RIndex2,RIndex2,17565,17565
671:RIndex2,RIndex2,17566,17566
671:RIndex2,RIndex2,17567,17567
671:RIndex2,RIndex2,17568,17568
671:RIndex2,RIndex2,17569,17569
671:RIndex2,RIndex2,17570,17570
671:RIndex2,RIndex2,17571,17571
671:RIndex2,RIndex2,17572,17572
671:RIndex2,RIndex2,17573,17573
671:RIndex2,RIndex2,17574,17574
671:RIndex2,RIndex2,17575,17575
671:RIndex2,RIndex2,17576,17576
671:RIndex2,RIndex2,17577,17577
671:RIndex2,RIndex2,17578,17578
671:RIndex2,RIndex2,17579,17579
671:RIndex2,RIndex2,17580,17580
671:RIndex2,RIndex2,17581,17581
671:RIndex2,RIndex2,17582,17582
671:RIndex2,RIndex2,17583,17583
671:RIndex2,RIndex2,17584,17584
671:RIndex2,RIndex2,17585,17585
671:RIndex2,RIndex2,17586,17586
671:RIndex2,RIndex2,17587,17587
671:RIndex2,RIndex2,17588,17588
671:RIndex2,RIndex2,17589,17589
671:RIndex2,RIndex2,17590,17590
671:RIndex2,RIndex2,17591,17591
671:RIndex2,RIndex2,17592,17592
671:RIndex2,RIndex2,17593,17593
671:RIndex2,RIndex2,17594,17594
671:RIndex2,RIndex2,17595,17595
671:RIndex2,RIndex2,17596,17596
671:RIndex2,RIndex2,17597,17597
671:RIndex2,RIndex2,17598,17598
671:RIndex2,RIndex2,17599,17599
671:RIndex2,RIndex2,17600,17600
671:RIndex2,RIndex2,17601,17601
671:RIndex2,RIndex2,17602,17602
671:RIndex2,RIndex2,17603,17603
671:RIndex2,RIndex2,17604,17604
671:RIndex2,RIndex2,17605,17605
671:RIndex2,RIndex2,17606,17606
671:RIndex2,RIndex2,17607,17607
671:RIndex2,RIndex2,17608,17608
671:RIndex2,RIndex2,17609,17609
671:RIndex2,RIndex2,17610,17610
671:RIndex2,RIndex2,17611,17611
671:RIndex2,RIndex2,17612,17612
671:RIndex2,RIndex2,17613,17613
671:RIndex2,RIndex2,17614,17614
671:RIndex2,RIndex2,17615,17615
671:RIndex2,RIndex2,17616,17616
671:RIndex2,RIndex2,17617,17617
671:RIndex2,RIndex2,17618,17618
671:RIndex2,RIndex2,17619,17619
671:RIndex2,RIndex2,17620,17620
671:RIndex2,RIndex2,17621,17621
671:RIndex2,RIndex2,17622,17622
671:RIndex2,RIndex2,17623,17623
671:RIndex2,RIndex2,17624,17624
671:RIndex2,RIndex2,17625,17625
671:RIndex2,RIndex2,17626,17626
671:RIndex2,RIndex2,17627,17627
671:RIndex2,RIndex2,17628,17628
671:RIndex2,RIndex2,17629,17629
671:RIndex2,RIndex2,17630,17630
671:RIndex2,RIndex2,17631,17631
671:RIndex2,RIndex2,17632,17632
671:RIndex2,RIndex2,17633,17633
671:RIndex2,RIndex2,17634,17634
671:RIndex2,RIndex2,17635,17635
671:RIndex2,RIndex2,17636,17636
671:RIndex2,RIndex2,17637,17637
671:RIndex2,RIndex2,17638,17638
671:RIndex2,RIndex2,17639,17639
671:RIndex2,RIndex2,17640,17640
671:RIndex2,RIndex2,17641,17641
671:RIndex2,RIndex2,17642,17642
671:RIndex2,RIndex2,17643,17643
671:RIndex2,RIndex2,17644,17644
671:RIndex2,RIndex2,17645,17645
671:RIndex2,RIndex2,17646,17646
671:RIndex2,RIndex2,17647,17647
671:RIndex2,RIndex2,17648,17648
671:RIndex2,RIndex2,17649,17649
671:RIndex2,RIndex2,17650,17650
671:RIndex2,RIndex2,17651,17651
671:RIndex2,RIndex2,17652,17652
671:RIndex2,RIndex2,17653,17653
671:RIndex2,RIndex2,17654,17654
671:RIndex2,RIndex2,17655,17655
671:RIndex2,RIndex2,17656,17656
671:RIndex2,RIndex2,17657,17657
671:RIndex2,RIndex2,17658,17658
671:RIndex2,RIndex2,17659,17659
671:RIndex2,RIndex2,17660,17660
671:RIndex2,RIndex2,17661,17661
671:RIndex2,RIndex2,17662,17662
671:RIndex2,RIndex2,17663,17663
671:RIndex2,RIndex2,17664,17664
671:RIndex2,RIndex2,17665,17665
671:RIndex2,RIndex2,17666,17666
671:RIndex2,RIndex2,17667,17667
671:RIndex2,RIndex2,17668,17668
671:RIndex2,RIndex2,17669,17669
671:RIndex2,RIndex2,17670,17670
671:RIndex2,RIndex2,17671,17671
671:RIndex2,RIndex2,17672,17672
671:RIndex2,RIndex2,17673,17673
671:RIndex2,RIndex2,17674,17674
671:RIndex2,RIndex2,17675,17675
671:RIndex2,RIndex2,17676,17676
671:RIndex2,RIndex2,17677,17677
671:RIndex2,RIndex2,17678,17678
671:RIndex2,RIndex2,17679,17679
671:RIndex2,RIndex2,17680,17680
671:RIndex2,RIndex2,17681,17681
671:RIndex2,RIndex2,17682,17682
671:RIndex2,RIndex2,17683,17683
671:RIndex2,RIndex2,17684,17684
671:RIndex2,RIndex2,17685,17685
671:RIndex2,RIndex2,17686,17686
671:RIndex2,RIndex2,17687,17687
671:RIndex2,RIndex2,17688,17688
671:RIndex2,RIndex2,17689,17689
671:RIndex2,RIndex2,17690,17690
671:RIndex2,RIndex2,17691,17691
671:RIndex2,RIndex2,17692,17692
671:RIndex2,RIndex2,17693,17693
671:RIndex2,RIndex2,17694,17694
671:RIndex2,RIndex2,17695,17695
671:RIndex2,RIndex2,17696,17696
671:RIndex2,RIndex2,17697,17697
671:RIndex2,RIndex2,17698,17698
671:RIndex2,RIndex2,17699,17699
671:RIndex2,RIndex2,17700,17700
671:RIndex2,RIndex2,17701,17701
671:RIndex2,RIndex2,17702,17702
671:RIndex2,RIndex2,17703,17703
671:RIndex2,RIndex2,17704,17704
671:RIndex2,RIndex2,17705,17705
671:RIndex2,RIndex2,17706,17706
671:RIndex2,RIndex2,17707,17707
671:RIndex2,RIndex2,17708,17708
671:RIndex2,RIndex2,17709,17709
671:RIndex2,RIndex2,17710,17710
671:RIndex2,RIndex2,17711,17711
671:RIndex2,RIndex2,17712,17712
671:RIndex2,RIndex2,17713,17713
671:RIndex2,RIndex2,17714,17714
671:RIndex2,RIndex2,17715,17715
671:RIndex2,RIndex2,17716,17716
671:RIndex2,RIndex2,17717,17717
671:RIndex2,RIndex2,17718,17718
671:RIndex2,RIndex2,17719,17719
671:RIndex2,RIndex2,17720,17720
671:RIndex2,RIndex2,17721,17721
671:RIndex2,RIndex2,17722,17722
671:RIndex2,RIndex2,17723,17723
671:RIndex2,RIndex2,17724,17724
671:RIndex2,RIndex2,17725,17725
671:RIndex2,RIndex2,17726,17726
671:RIndex2,RIndex2,17727,17727
671:RIndex2,RIndex2,17728,17728
671:RIndex2,RIndex2,17729,17729
671:RIndex2,RIndex2,17730,17730
671:RIndex2,RIndex2,17731,17731
671:RIndex2,RIndex2,17732,17732
671:RIndex2,RIndex2,17733,17733
671:RIndex2,RIndex2,17734,17734
671:RIndex2,RIndex2,17735,17735
671:RIndex2,RIndex2,17736,17736
671:RIndex2,RIndex2,17737,17737
671:RIndex2,RIndex2,17738,17738
671:RIndex2,RIndex2,17739,17739
671:RIndex2,RIndex2,17740,17740
671:RIndex2,RIndex2,17741,17741
671:RIndex2,RIndex2,17742,17742
671:RIndex2,RIndex2,17743,17743
671:RIndex2,RIndex2,17744,17744
671:RIndex2,RIndex2,17745,17745
671:RIndex2,RIndex2,17746,17746
671:RIndex2,RIndex2,17747,17747
671:RIndex2,RIndex2,17748,17748
671:RIndex2,RIndex2,17749,17749
671:RIndex2,RIndex2,17750,17750
671:RIndex2,RIndex2,17751,17751
671:RIndex2,RIndex2,17752,17752
671:RIndex2,RIndex2,17753,17753
671:RIndex2,RIndex2,17754,17754
671:RIndex2,RIndex2,17755,17755
671:RIndex2,RIndex2,17756,17756
671:RIndex2,RIndex2,17757,17757
671:RIndex2,RIndex2,17758,17758
671:RIndex2,RIndex2,17759,17759
671:RIndex2,RIndex2,17760,17760
671:RIndex2,RIndex2,17761,17761
671:RIndex2,RIndex2,17762,17762
671:RIndex2,RIndex2,17763,17763
671:RIndex2,RIndex2,17764,17764
671:RIndex2,RIndex2,17765,17765
671:RIndex2,RIndex2,17766,17766
671:RIndex2,RIndex2,17767,17767
671:RIndex2,RIndex2,17768,17768
671:RIndex2,RIndex2,17769,17769
671:RIndex2,RIndex2,17770,17770
671:RIndex2,RIndex2,17771,17771
671:RIndex2,RIndex2,17772,17772
671:RIndex2,RIndex2,17773,17773
671:RIndex2,RIndex2,17774,17774
671:RIndex2,RIndex2,17775,17775
671:RIndex2,RIndex2,17776,17776
671:RIndex2,RIndex2,17777,17777
671:RIndex2,RIndex2,17778,17778
671:RIndex2,RIndex2,17779,17779
671:RIndex2,RIndex2,17780,17780
671:RIndex2,RIndex2,17781,17781
671:RIndex2,RIndex2,17782,17782
671:RIndex2,RIndex2,17783,17783
671:RIndex2,RIndex2,17784,17784
671:RIndex2,RIndex2,17785,17785
671:RIndex2,RIndex2,17786,17786
671:RIndex2,RIndex2,17787,17787
671:RIndex2,RIndex2,17788,17788
671:RIndex2,RIndex2,17789,17789
671:RIndex2,RIndex2,17790,17790
671:RIndex2,RIndex2,17791,17791
671:RIndex2,RIndex2,17792,17792
671:RIndex2,RIndex2,17793,17793
671:RIndex2,RIndex2,17794,17794
671:RIndex2,RIndex2,17795,17795
671:RIndex2,RIndex2,17796,17796
671:RIndex2,RIndex2,17797,17797
671:RIndex2,RIndex2,17798,17798
671:RIndex2,RIndex2,17799,17799
671:RIndex2,RIndex2,17800,17800
671:RIndex2,RIndex2,17801,17801
671:RIndex2,RIndex2,17802,17802
671:RIndex2,RIndex2,17803,17803
671:RIndex2,RIndex2,17804,17804
671:RIndex2,RIndex2,17805,17805
671:RIndex2,RIndex2,17806,17806
671:RIndex2,RIndex2,17807,17807
671:RIndex2,RIndex2,17808,17808
671:RIndex2,RIndex2,17809,17809
671:RIndex2,RIndex2,17810,17810
671:RIndex2,RIndex2,17811,17811
671:RIndex2,RIndex2,17812,17812
671:RIndex2,RIndex2,17813,17813
671:RIndex2,RIndex2,17814,17814
671:RIndex2,RIndex2,17815,17815
671:RIndex2,RIndex2,17816,17816
671:RIndex2,RIndex2,17817,17817
671:RIndex2,RIndex2,17818,17818
671:RIndex2,RIndex2,17819,17819
671:RIndex2,RIndex2,17820,17820
671:RIndex2,RIndex2,17821,17821
671:RIndex2,RIndex2,17822,17822
671:RIndex2,RIndex2,17823,17823
671:RIndex2,RIndex2,17824,17824
671:RIndex2,RIndex2,17825,17825
671:RIndex2,RIndex2,17826,17826
671:RIndex2,RIndex2,17827,17827
671:RIndex2,RIndex2,17828,17828
671:RIndex2,RIndex2,17829,17829
671:RIndex2,RIndex2,17830,17830
671:RIndex2,RIndex2,17831,17831
671:RIndex2,RIndex2,17832,17832
671:RIndex2,RIndex2,17833,17833
671:RIndex2,RIndex2,17834,17834
671:RIndex2,RIndex2,17835,17835
671:RIndex2,RIndex2,17836,17836
671:RIndex2,RIndex2,17837,17837
671:RIndex2,RIndex2,17838,17838
671:RIndex2,RIndex2,17839,17839
671:RIndex2,RIndex2,17840,17840
671:RIndex2,RIndex2,17841,17841
671:RIndex2,RIndex2,17842,17842
671:RIndex2,RIndex2,17843,17843
671:RIndex2,RIndex2,17844,17844
671:RIndex2,RIndex2,17845,17845
671:RIndex2,RIndex2,17846,17846
671:RIndex2,RIndex2,17847,17847
671:RIndex2,RIndex2,17848,17848
671:RIndex2,RIndex2,17849,17849
671:RIndex2,RIndex2,17850,17850
671:RIndex2,RIndex2,17851,17851
671:RIndex2,RIndex2,17852,17852
671:RIndex2,RIndex2,17853,17853
671:RIndex2,RIndex2,17854,17854
671:RIndex2,RIndex2,17855,17855
671:RIndex2,RIndex2,17856,17856
671:RIndex2,RIndex2,17857,17857
671:RIndex2,RIndex2,17858,17858
671:RIndex2,RIndex2,17859,17859
671:RIndex2,RIndex2,17860,17860
671:RIndex2,RIndex2,17861,17861
671:RIndex2,RIndex2,17862,17862
671:RIndex2,RIndex2,17863,17863
671:RIndex2,RIndex2,17864,17864
671:RIndex2,RIndex2,17865,17865
671:RIndex2,RIndex2,17866,17866
671:RIndex2,RIndex2,17867,17867
671:RIndex2,RIndex2,17868,17868
671:RIndex2,RIndex2,17869,17869
671:RIndex2,RIndex2,17870,17870
671:RIndex2,RIndex2,17871,17871
671:RIndex2,RIndex2,17872,17872
671:RIndex2,RIndex2,17873,17873
671:RIndex2,RIndex2,17874,17874
671:RIndex2,RIndex2,17875,17875
671:RIndex2,RIndex2,17876,17876
671:RIndex2,RIndex2,17877,17877
671:RIndex2,RIndex2,17878,17878
671:RIndex2,RIndex2,17879,17879
671:RIndex2,RIndex2,17880,17880
671:RIndex2,RIndex2,17881,17881
671:RIndex2,RIndex2,17882,17882
671:RIndex2,RIndex2,17883,17883
671:RIndex2,RIndex2,17884,17884
671:RIndex2,RIndex2,17885,17885
671:RIndex2,RIndex2,17886,17886
671:RIndex2,RIndex2,17887,17887
671:RIndex2,RIndex2,17888,17888
671:RIndex2,RIndex2,17889,17889
671:RIndex2,RIndex2,17890,17890
671:RIndex2,RIndex2,17891,17891
671:RIndex2,RIndex2,17892,17892
671:RIndex2,RIndex2,17893,17893
671:RIndex2,RIndex2,17894,17894
671:RIndex2,RIndex2,17895,17895
671:RIndex2,RIndex2,17896,17896
671:RIndex2,RIndex2,17897,17897
671:RIndex2,RIndex2,17898,17898
671:RIndex2,RIndex2,17899,17899
671:RIndex2,RIndex2,17900,17900
671:RIndex2,RIndex2,17901,17901
671:RIndex2,RIndex2,17902,17902
671:RIndex2,RIndex2,17903,17903
671:RIndex2,RIndex2,17904,17904
671:RIndex2,RIndex2,17905,17905
671:RIndex2,RIndex2,17906,17906
671:RIndex2,RIndex2,17907,17907
671:RIndex2,RIndex2,17908,17908
671:RIndex2,RIndex2,17909,17909
671:RIndex2,RIndex2,17910,17910
671:RIndex2,RIndex2,17911,17911
671:RIndex2,RIndex2,17912,17912
671:RIndex2,RIndex2,17913,17913
671:RIndex2,RIndex2,17914,17914
671:RIndex2,RIndex2,17915,17915
671:RIndex2,RIndex2,17916,17916
671:RIndex2,RIndex2,17917,17917
671:RIndex2,RIndex2,17918,17918
671:RIndex2,RIndex2,17919,17919
671:RIndex2,RIndex2,17920,17920
671:RIndex2,RIndex2,17921,17921
671:RIndex2,RIndex2,17922,17922
671:RIndex2,RIndex2,17923,17923
671:RIndex2,RIndex2,17924,17924
671:RIndex2,RIndex2,17925,17925
671:RIndex2,RIndex2,17926,17926
671:RIndex2,RIndex2,17927,17927
671:RIndex2,RIndex2,17928,17928
671:RIndex2,RIndex2,17929,17929
671:RIndex2,RIndex2,17930,17930
671:RIndex2,RIndex2,17931,17931
671:RIndex2,RIndex2,17932,17932
671:RIndex2,RIndex2,17933,17933
671:RIndex2,RIndex2,17934,17934
671:RIndex2,RIndex2,17935,17935
671:RIndex2,RIndex2,17936,17936
671:RIndex2,RIndex2,17937,17937
671:RIndex2,RIndex2,17938,17938
671:RIndex2,RIndex2,17939,17939
671:RIndex2,RIndex2,17940,17940
671:RIndex2,RIndex2,17941,17941
671:RIndex2,RIndex2,17942,17942
671:RIndex2,RIndex2,17943,17943
671:RIndex2,RIndex2,17944,17944
671:RIndex2,RIndex2,17945,17945
671:RIndex2,RIndex2,17946,17946
671:RIndex2,RIndex2,17947,17947
671:RIndex2,RIndex2,17948,17948
671:RIndex2,RIndex2,17949,17949
671:RIndex2,RIndex2,17950,17950
671:RIndex2,RIndex2,17951,17951
671:RIndex2,RIndex2,17952,17952
671:RIndex2,RIndex2,17953,17953
671:RIndex2,RIndex2,17954,17954
671:RIndex2,RIndex2,17955,17955
671:RIndex2,RIndex2,17956,17956
671:RIndex2,RIndex2,17957,17957
671:RIndex2,RIndex2,17958,17958
671:RIndex2,RIndex2,17959,17959
