relative_path,size_bytes,checksum,possible_duplicate_group,duplicate_of,confidence,recommendation,notes
Layer2_Motive_Kinematics/outputs/671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,492030114,889dcd370533529f4f6f7bbce6c80a4419031aef520d5d34384741397e772328,l2_671_671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Layer2_Motive_Kinematics/outputs/archive/671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,high,unknown,full_sha256
Layer2_Motive_Kinematics/outputs/archive/671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,492030114,889dcd370533529f4f6f7bbce6c80a4419031aef520d5d34384741397e772328,l2_671_671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005,Layer2_Motive_Kinematics/outputs/671_T3_P1_R2_Take_2026-02-03_08.05.01_PM_005/07_rotation_vectors/relative_rotation_vectors.csv,high,archive_later,full_sha256
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T1_P1_R1/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,745564219,sample:132ded621967c07cfc5da4d4e1e8eba0731bf5f80900c400a31b88fc746f9b38,l2_audit_audit_rerun_T1_P1_R1,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T1_P1_R2/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,728751821,sample:2a81224f83cc710a9e9a02c1f4436df1ed9d897d667258edb9dfcb422ca2dab0,l2_audit_audit_rerun_T1_P1_R2,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T2_P1_R1/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,736310877,sample:20b25c86590e4496b1b7d460615fe9442e95972d5515dbaae8d2376ac7438e5a,l2_audit_audit_rerun_T2_P1_R1,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T2_P1_R2/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,733873778,sample:bab9f5af6694e90c4fccdcee05f6db9b296d6e4a044b5e8bf0086e1d4f39d0d0,l2_audit_audit_rerun_T2_P1_R2,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T3_P1_R1/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,831330292,sample:b95708381e4134a66b58f9eb1af1731eed1ef585ef5ea3bfd4a790074f1b530f,l2_audit_audit_rerun_T3_P1_R1,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer2_Motive_Kinematics/outputs/archive/audit_rerun_T3_P1_R2/08_filtered_rotvecs/filtered_relative_rotation_vectors.csv,819979592,sample:0b54298533ca79e9f92507ab6061bf3589eff147371e14f93a7c18131c7e9c9a,l2_audit_audit_rerun_T3_P1_R2,,high,verify_manually,sampled_checksum_large_file; partial hash only
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_174553/batch_manifest.csv,428,ad34417e85025adb58aa65b82eef5844fe0da379941ee3456487d4da51209612,l3_batch_gaga_batch_jcvpca_20260626_174553,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_174553/batch_summary.md,361,a64f0cc5f7b4f0495841caad6a02fa0cffb37c6cff361c5d152c83e5dc68f563,l3_batch_gaga_batch_jcvpca_20260626_174553,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_174553/comparison_plan.csv,1891,1b449fa30a3b5204ad689d870aa6e3e1451cd5119d6c6a6c804c4494506cc842,l3_batch_gaga_batch_jcvpca_20260626_174553,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_174553/comparison_status.csv,6473,d8527dfe449f19f6c0ad489e4240ca5231393bfc559dfd299fc6c79b722ef7db,l3_batch_gaga_batch_jcvpca_20260626_174553,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_174553/jcvpca_link_results.csv,43395,943f5d635b16803fc9405d9f38baa4b628f320900ce5f5174bc51b8852f80188,l3_batch_gaga_batch_jcvpca_20260626_174553,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_175138/batch_manifest.csv,571,954ad0da5b08943e9b55a844fd2b86c335142de4aed698ff3c9569e423b8b6d8,l3_batch_gaga_batch_jcvpca_20260626_175138,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_175138/batch_summary.md,358,f6de0095143f89069b210fa938f6d1b2e75d3e71ff5acd4846d74e8cfc0da4e3,l3_batch_gaga_batch_jcvpca_20260626_175138,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_175138/comparison_plan.csv,1891,1b449fa30a3b5204ad689d870aa6e3e1451cd5119d6c6a6c804c4494506cc842,l3_batch_gaga_batch_jcvpca_20260626_175138,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_175138/comparison_status.csv,4539,ba425e5f28122aa5d67a90211ef5033696e347b4cc617dc2bef45562cd622a1a,l3_batch_gaga_batch_jcvpca_20260626_175138,,high,archive_later,full_sha256
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_175138/jcvpca_link_results.csv,43395,943f5d635b16803fc9405d9f38baa4b628f320900ce5f5174bc51b8852f80188,l3_batch_gaga_batch_jcvpca_20260626_175138,,high,archive_later,full_sha256
