joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included,requires_manual_review
J001,Root,671,Root,671:671,False,True
J002,671,Ab,671:671,671:Ab,False,True
J003,Ab,Chest,671:Ab,671:Chest,False,True
J004,Neck,Head,671:Neck,671:Head,True,False
J005,LUArm,LFArm,671:LUArm,671:LFArm,True,False
J006,LShin,LFoot,671:LShin,671:LFoot,True,False
J007,LFArm,LHand,671:LFArm,671:LHand,True,False
J008,LHand,LIndex1,671:LHand,671:LIndex1,False,False
J009,LIndex1,LIndex2,671:LIndex1,671:LIndex2,False,False
J010,LIndex2,LIndex3,671:LIndex2,671:LIndex3,False,False
J011,LHand,LMiddle1,671:LHand,671:LMiddle1,False,False
J012,LMiddle1,LMiddle2,671:LMiddle1,671:LMiddle2,False,False
J013,LMiddle2,LMiddle3,671:LMiddle2,671:LMiddle3,False,False
J014,LHand,LPinky1,671:LHand,671:LPinky1,False,False
J015,LPinky1,LPinky2,671:LPinky1,671:LPinky2,False,False
J016,LPinky2,LPinky3,671:LPinky2,671:LPinky3,False,False
J017,LHand,LRing1,671:LHand,671:LRing1,False,False
J018,LRing1,LRing2,671:LRing1,671:LRing2,False,False
J019,LRing2,LRing3,671:LRing2,671:LRing3,False,False
J020,LThigh,LShin,671:LThigh,671:LShin,True,False
J021,Chest,LShoulder,671:Chest,671:LShoulder,True,False
J022,671,LThigh,671:671,671:LThigh,True,False
J023,LHand,LThumb1,671:LHand,671:LThumb1,False,False
J024,LThumb1,LThumb2,671:LThumb1,671:LThumb2,False,False
J025,LThumb2,LThumb3,671:LThumb2,671:LThumb3,False,False
J026,LFoot,LToe,671:LFoot,671:LToe,False,True
J027,LShoulder,LUArm,671:LShoulder,671:LUArm,True,False
J028,Chest,Neck,671:Chest,671:Neck,True,False
J029,RUArm,RFArm,671:RUArm,671:RFArm,True,False
J030,RShin,RFoot,671:RShin,671:RFoot,True,False
J031,RFArm,RHand,671:RFArm,671:RHand,True,False
J032,RHand,RIndex1,671:RHand,671:RIndex1,False,False
J033,RIndex1,RIndex2,671:RIndex1,671:RIndex2,False,False
J034,RIndex2,RIndex3,671:RIndex2,671:RIndex3,False,False
J035,RHand,RMiddle1,671:RHand,671:RMiddle1,False,False
J036,RMiddle1,RMiddle2,671:RMiddle1,671:RMiddle2,False,False
J037,RMiddle2,RMiddle3,671:RMiddle2,671:RMiddle3,False,False
J038,RHand,RPinky1,671:RHand,671:RPinky1,False,False
J039,RPinky1,RPinky2,671:RPinky1,671:RPinky2,False,False
J040,RPinky2,RPinky3,671:RPinky2,671:RPinky3,False,False
J041,RHand,RRing1,671:RHand,671:RRing1,False,False
J042,RRing1,RRing2,671:RRing1,671:RRing2,False,False
J043,RRing2,RRing3,671:RRing2,671:RRing3,False,False
J044,RThigh,RShin,671:RThigh,671:RShin,True,False
J045,Chest,RShoulder,671:Chest,671:RShoulder,True,False
J046,671,RThigh,671:671,671:RThigh,True,False
J047,RHand,RThumb1,671:RHand,671:RThumb1,False,False
J048,RThumb1,RThumb2,671:RThumb1,671:RThumb2,False,False
J049,RThumb2,RThumb3,671:RThumb2,671:RThumb3,False,False
J050,RFoot,RToe,671:RFoot,671:RToe,False,True
J051,RShoulder,RUArm,671:RShoulder,671:RUArm,True,False
