start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
22749,22749,189.575,189.575,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistRFront,False,False,True,False,False
22761,22765,189.675,189.7083,0.0333,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,RKneeOut__RThighSide,False,False,False,True,True
22766,22766,189.7167,189.7167,0.0,ARTIFACT_SIGMA;SEGMENT_SWAP;EDGE_EFFECT,segment_swap,671:LElbowOut;RKneeOut__RThighSide,False,False,True,True,True
22767,22768,189.725,189.7333,0.0083,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,RKneeOut__RThighSide,False,False,False,True,True
22769,22846,189.7417,190.3833,0.6417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:LElbowOut;671:RHandIn;RKneeOut__RThighSide,True,False,False,True,False
22847,22854,190.3917,190.45,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
22907,22907,190.8917,190.8917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RFArm,False,False,True,False,False
22950,23054,191.25,192.1167,0.8667,SEGMENT_SWAP,segment_swap,RKneeOut__RThighSide,False,False,False,True,False
23147,23147,192.8917,192.8917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RAnkleOut,False,False,True,False,False
23150,23151,192.9167,192.925,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:RAnkleOut;671:RToeOut,False,False,True,False,False
23152,23152,192.9333,192.9333,0.0,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23153,23153,192.9417,192.9417,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RToeOut,False,True,True,False,False
23154,23155,192.95,192.9583,0.0083,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23156,23157,192.9667,192.975,0.0083,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RToeIn;671:RToeTip;671:WaistLBack,False,True,True,False,False
23158,23158,192.9833,192.9833,0.0,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23159,23159,192.9917,192.9917,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RToeTip,False,True,True,False,False
23160,23166,193.0,193.05,0.05,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23167,23167,193.0583,193.0583,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RKneeOut,False,True,True,False,False
23168,23168,193.0667,193.0667,0.0,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23169,23169,193.075,193.075,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RKneeOut,False,True,True,False,False
23170,23171,193.0833,193.0917,0.0083,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23172,23172,193.1,193.1,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop;671:RKneeOut,False,True,True,False,False
23173,23173,193.1083,193.1083,0.0,GAP_GE_0P2,gaps_over_0p2,671:LShoulderTop,False,True,False,False,False
23174,23192,193.1167,193.2667,0.15,GAP_GE_0P2;SEGMENT_SWAP,segment_swap,671:LShoulderTop;RKneeOut__RThighSide,False,True,False,True,False
23193,23209,193.275,193.4083,0.1333,SEGMENT_SWAP,segment_swap,671:RHandIn;RHandIn__RHandOut;RKneeOut__RThighSide,False,False,False,True,False
23210,23210,193.4167,193.4167,0.0,ARTIFACT_SIGMA;SEGMENT_SWAP,segment_swap,671:RShoulderTop;RKneeOut__RThighSide,False,False,True,True,False
