pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
LHeel__LToeTip,671:LHeel,671:LToeTip,foot,0.301246,0,0.0,0,671:LHeel,LHeel,671,671:LToeTip,LToeTip,671
LHeel__LToeIn,671:LHeel,671:LToeIn,foot,0.183516,0,0.0,0,671:LHeel,LHeel,671,671:LToeIn,LToeIn,671
LHeel__LToeOut,671:LHeel,671:LToeOut,foot,0.195669,0,0.0,0,671:LHeel,LHeel,671,671:LToeOut,LToeOut,671
RHeel__RToeIn,671:RHeel,671:RToeIn,foot,0.2013,0,0.0,0,671:RHeel,RHeel,671,671:RToeIn,RToeIn,671
RHeel__RToeOut,671:RHeel,671:RToeOut,foot,0.205269,0,0.0,0,671:RHeel,RHeel,671,671:RToeOut,RToeOut,671
RHeel__RToeTip,671:RHeel,671:RToeTip,foot,0.294829,0,0.0,0,671:RHeel,RHeel,671,671:RToeTip,RToeTip,671
HeadFront__HeadTop,671:HeadFront,671:HeadTop,head_neck,0.147355,0,0.0,0,671:HeadFront,HeadFront,671,671:HeadTop,HeadTop,671
WaistLFront__WaistRFront,671:WaistLFront,671:WaistRFront,pelvis_waist,0.268444,0,0.0,0,671:WaistLFront,WaistLFront,671,671:WaistRFront,WaistRFront,671
LAnkleOut__LShin,671:LAnkleOut,671:LShin,shank_ankle,0.170567,0,0.0,0,671:LAnkleOut,LAnkleOut,671,671:LShin,LShin,671
RAnkleOut__RShin,671:RAnkleOut,671:RShin,shank_ankle,0.260278,0,0.0,0,671:RAnkleOut,RAnkleOut,671,671:RShin,RShin,671
LThighFront__LThighSide,671:LThighFront,671:LThighSide,thigh_knee,0.197976,0,0.0,0,671:LThighFront,LThighFront,671,671:LThighSide,LThighSide,671
RKneeOut__RThighSide,671:RKneeOut,671:RThighSide,thigh_knee,0.371265,387,1.279974,8,671:RKneeOut,RKneeOut,671,671:RThighSide,RThighSide,671
RThighFront__RThighSide,671:RThighFront,671:RThighSide,thigh_knee,0.207978,0,0.0,0,671:RThighFront,RThighFront,671,671:RThighSide,RThighSide,671
BackTop__ChestLow,671:BackTop,671:ChestLow,torso_chest_back,0.317694,0,0.0,0,671:BackTop,BackTop,671,671:ChestLow,ChestLow,671
ChestLow__ChestTop,671:ChestLow,671:ChestTop,torso_chest_back,0.087418,31,0.10253,8,671:ChestLow,ChestLow,671,671:ChestTop,ChestTop,671
ChestTop__WaistCBack,671:ChestTop,671:WaistCBack,torso_chest_back,0.368869,0,0.0,0,671:ChestTop,ChestTop,671,671:WaistCBack,WaistCBack,671
WaistLBack__WaistRBack,671:WaistLBack,671:WaistRBack,torso_chest_back,0.271479,0,0.0,0,671:WaistLBack,WaistLBack,671,671:WaistRBack,WaistRBack,671
LHandIn__LHandOut,671:LHandIn,671:LHandOut,wrist_hand,0.11767,42,0.138912,10,671:LHandIn,LHandIn,671,671:LHandOut,LHandOut,671
LHandIn__LWristOut,671:LHandIn,671:LWristOut,wrist_hand,0.168246,20,0.066149,4,671:LHandIn,LHandIn,671,671:LWristOut,LWristOut,671
RHandIn__RWristOut,671:RHandIn,671:RWristOut,wrist_hand,0.151553,179,0.592029,14,671:RHandIn,RHandIn,671,671:RWristOut,RWristOut,671
RHandIn__RHandOut,671:RHandIn,671:RHandOut,wrist_hand,0.112861,379,1.253514,16,671:RHandIn,RHandIn,671,671:RHandOut,RHandOut,671
