Skeleton,671,0,
Bone,671_RPinky2,50,49,-0.036757,0.000000,0.000000,671
Bone,671_RPinky3,51,50,-0.018378,0.000000,0.000000,671
Bone,671_LThigh,14,1,0.096728,0.000000,0.000000,671
Bone Marker,LKneeOut,671_LThigh,671,0.058930,-0.500256,0.000853,
Bone Marker,LThighFront,671_LThigh,671,0.049598,-0.182644,0.138319,
Bone Marker,LThighSide,671_LThigh,671,0.077703,-0.148427,-0.052161,
Bone,671_LShin,15,14,-0.000000,-0.511597,0.000000,671
Bone Marker,LAnkleOut,671_LShin,671,0.038467,-0.329872,-0.000919,
Bone Marker,LShin,671_LShin,671,0.029310,-0.190564,0.085908,
Bone,671_LFoot,16,15,-0.000000,-0.322650,0.000000,671
Bone Marker,LToeOut,671_LFoot,671,0.067639,-0.054325,0.115848,
Bone Marker,LToeIn,671_LFoot,671,-0.067639,-0.058019,0.108772,
Bone Marker,LHeel,671_LFoot,671,-0.003767,-0.051267,-0.066815,
Bone,671_LToe,17,16,-0.000000,-0.062873,0.145092,671
Bone Marker,LToeTip,671_LToe,671,-0.011568,0.010959,0.091414,
Bone,671_RThigh,18,1,-0.096728,0.000000,0.000000,671
Bone Marker,RKneeOut,671_RThigh,671,-0.031421,-0.533101,-0.000099,
Bone Marker,RThighFront,671_RThigh,671,-0.012823,-0.314149,0.068717,
Bone Marker,RThighSide,671_RThigh,671,-0.068589,-0.178215,-0.073260,
Bone,671_RShin,19,18,-0.000000,-0.511597,0.000000,671
Bone Marker,RAnkleOut,671_RShin,671,-0.038620,-0.321764,0.000601,
Bone Marker,RShin,671_RShin,671,-0.067804,-0.091126,-0.092576,
Bone,671_RFoot,20,19,-0.000000,-0.322650,0.000000,671
Bone Marker,RToeOut,671_RFoot,671,-0.068518,-0.056255,0.115438,
Bone Marker,RToeIn,671_RFoot,671,0.068518,-0.052469,0.132862,
Bone Marker,RHeel,671_RFoot,671,0.021576,-0.029975,-0.067810,
Bone,671_RToe,21,20,-0.000000,-0.062873,0.145092,671
Bone Marker,RToeTip,671_RToe,671,0.008066,0.011398,0.085168,
Marker set,671,
Marker,671_WaistLFront,671,
Marker,671_WaistLBack,671,
Marker,671_WaistCBack,671,
Marker,671_WaistRBack,671,
Marker,671_WaistRFront,671,
Marker,671_BackTop,671,
Marker,671_BackLeft,671,
Marker,671_BackRight,671,
Marker,671_ChestTop,671,
Marker,671_ChestLow,671,
Marker,671_HeadFront,671,
Marker,671_HeadLeft,671,
Marker,671_HeadTop,671,
Marker,671_HeadRight,671,
Marker,671_LShoulderBack,671,
Marker,671_LShoulderTop,671,
Marker,671_LUArmHigh,671,
Marker,671_LElbowOut,671,
Marker,671_LFArm,671,
Marker,671_LWristOut,671,
Marker,671_LHandOut,671,
Marker,671_LHandIn,671,
Marker,671_LThumb,671,
Marker,671_LIndex,671,
Marker,671_LPinky,671,
Marker,671_RShoulderBack,671,
Marker,671_RShoulderTop,671,
Marker,671_RUArmHigh,671,
Marker,671_RElbowOut,671,
Marker,671_RFArm,671,
Marker,671_RWristOut,671,
Marker,671_RHandOut,671,
Marker,671_RHandIn,671,
Marker,671_RThumb,671,
Marker,671_RIndex,671,
Marker,671_RPinky,671,
Marker,671_LThighFront,671,
Marker,671_LThighSide,671,
Marker,671_LKneeOut,671,
Marker,671_LShin,671,
Marker,671_LAnkleOut,671,
Marker,671_LHeel,671,
Marker,671_LToeIn,671,
Marker,671_LToeOut,671,
Marker,671_LToeTip,671,
Marker,671_RThighFront,671,
Marker,671_RThighSide,671,
Marker,671_RKneeOut,671,
Marker,671_RShin,671,
Marker,671_RAnkleOut,671,
Marker,671_RHeel,671,
Marker,671_RToeIn,671,
Marker,671_RToeOut,671,
Marker,671_RToeTip,671,
Marker set,all,
Marker,671_WaistLFront,all,
Marker,671_WaistLBack,all,
Marker,671_WaistCBack,all,
Marker,671_WaistRBack,all,
Marker,671_WaistRFront,all,
Marker,671_BackTop,all,
Marker,671_BackLeft,all,
Marker,671_BackRight,all,
Marker,671_ChestTop,all,
Marker,671_ChestLow,all,
Marker,671_HeadFront,all,
Marker,671_HeadLeft,all,
Marker,671_HeadTop,all,
Marker,671_HeadRight,all,
Marker,671_LShoulderBack,all,
Marker,671_LShoulderTop,all,
Marker,671_LUArmHigh,all,
Marker,671_LElbowOut,all,
Marker,671_LFArm,all,
Marker,671_LWristOut,all,
Marker,671_LHandOut,all,
Marker,671_LHandIn,all,
Marker,671_LThumb,all,
Marker,671_LIndex,all,
Marker,671_LPinky,all,
Marker,671_RShoulderBack,all,
Marker,671_RShoulderTop,all,
Marker,671_RUArmHigh,all,
Marker,671_RElbowOut,all,
Marker,671_RFArm,all,
Marker,671_RWristOut,all,
Marker,671_RHandOut,all,
Marker,671_RHandIn,all,
Marker,671_RThumb,all,
Marker,671_RIndex,all,
Marker,671_RPinky,all,
Marker,671_LThighFront,all,
Marker,671_LThighSide,all,
Marker,671_LKneeOut,all,
Marker,671_LShin,all,
Marker,671_LAnkleOut,all,
Marker,671_LHeel,all,
Marker,671_LToeIn,all,
Marker,671_LToeOut,all,
Marker,671_LToeTip,all,
Marker,671_RThighFront,all,
Marker,671_RThighSide,all,
Marker,671_RKneeOut,all,
Marker,671_RShin,all,
Marker,671_RAnkleOut,all,
Marker,671_RHeel,all,
Marker,671_RToeIn,all,
Marker,671_RToeOut,all,
Marker,671_RToeTip,all,
Camera,Prime 17W #82387,2.582345,1.579821,2.926675,-0.302736,0.195619,-0.655817,0.663316,
Camera,Prime 17W #82389,2.803214,1.558367,-2.232098,0.687980,-0.586092,0.281392,-0.322486,
Camera,Prime 17W #82391,3.063994,1.500281,0.296222,0.410461,0.531069,0.577729,0.464454,
Camera,Prime 17W #82392,-2.825325,1.433669,-2.629266,0.666248,0.636541,-0.275601,-0.273813,
Camera,Prime 17W #82393,0.126845,1.679900,-3.014237,-0.020797,0.987940,0.153034,0.011061,
Camera,Prime 17W #82395,-2.811870,1.584231,2.506785,-0.353063,-0.227165,0.618288,0.664427,
Camera,Prime 17W #82401,-3.036889,1.577838,0.361539,-0.540868,-0.380794,0.466044,0.587589,
Camera,PrimeX 22 #118514,0.258522,1.265695,3.773895,-0.084984,0.010276,-0.005438,0.996314,
