Skeleton,T3_671,51,
Bone,T3_671_RMiddle3,45,44,-0.027791,0.000000,0.000000,T3_671
Bone,T3_671_RRing1,46,13,-0.094993,0.000000,-0.011651,T3_671
Bone,T3_671_RRing2,47,46,-0.046318,0.000000,0.000000,T3_671
Bone,T3_671_RRing3,48,47,-0.023159,0.000000,0.000000,T3_671
Bone,T3_671_RPinky1,49,13,-0.089405,0.000000,-0.035153,T3_671
Bone Marker,RPinky,T3_671_RPinky1,T3_671,-0.037055,0.000000,-0.009751,
Bone,T3_671_RPinky2,50,49,-0.037055,0.000000,0.000000,T3_671
Bone,T3_671_RPinky3,51,50,-0.018527,0.000000,0.000000,T3_671
Bone,T3_671_LThigh,14,1,0.090255,-0.000007,0.003644,T3_671
Bone Marker,LKneeOut,T3_671_LThigh,T3_671,0.080024,-0.474072,-0.041739,
Bone Marker,LThighFront,T3_671_LThigh,T3_671,0.041716,-0.178083,0.128062,
Bone Marker,LThighSide,T3_671_LThigh,T3_671,0.105542,-0.204704,-0.028925,
Bone,T3_671_LShin,15,14,-0.000000,-0.466858,0.000000,T3_671
Bone Marker,LAnkleOut,T3_671_LShin,T3_671,0.061363,-0.376021,-0.000320,
Bone Marker,LShin,T3_671_LShin,T3_671,0.038163,-0.201414,0.065610,
Bone,T3_671_LFoot,16,15,-0.000000,-0.373121,0.000000,T3_671
Bone Marker,LToeOut,T3_671_LFoot,T3_671,0.072460,-0.050198,0.141501,
Bone Marker,LToeIn,T3_671_LFoot,T3_671,-0.053341,-0.053253,0.135190,
Bone Marker,LHeel,T3_671_LFoot,T3_671,0.012950,-0.037666,-0.067286,
Bone,T3_671_LToe,17,16,0.000000,-0.062184,0.143501,T3_671
Bone Marker,LToeTip,T3_671_LToe,T3_671,-0.000112,0.021586,0.065301,
Bone,T3_671_RThigh,18,1,-0.090249,0.000002,0.003646,T3_671
Bone Marker,RKneeOut,T3_671_RThigh,T3_671,-0.080634,-0.467846,-0.006610,
Bone Marker,RThighFront,T3_671_RThigh,T3_671,-0.005105,-0.309967,0.109255,
Bone Marker,RThighSide,T3_671_RThigh,T3_671,-0.069920,-0.207411,-0.046520,
Bone,T3_671_RShin,19,18,-0.000000,-0.466846,0.000000,T3_671
Bone Marker,RAnkleOut,T3_671_RShin,T3_671,-0.054514,-0.372291,0.001560,
Bone Marker,RShin,T3_671_RShin,T3_671,-0.032624,-0.051194,0.068437,
Bone,T3_671_RFoot,20,19,-0.000000,-0.373110,0.000000,T3_671
Bone Marker,RToeOut,T3_671_RFoot,T3_671,-0.065059,-0.053462,0.130007,
Bone Marker,RToeIn,T3_671_RFoot,T3_671,0.060238,-0.054073,0.137354,
Bone Marker,RHeel,T3_671_RFoot,T3_671,-0.012737,-0.036400,-0.075858,
Bone,T3_671_RToe,21,20,0.000000,-0.062184,0.143501,T3_671
Bone Marker,RToeTip,T3_671_RToe,T3_671,-0.000187,0.022154,0.056969,
Marker set,T3_671,
Marker,T3_671_WaistLFront,T3_671,
Marker,T3_671_WaistLBack,T3_671,
Marker,T3_671_WaistRBack,T3_671,
Marker,T3_671_WaistRFront,T3_671,
Marker,T3_671_WaistCBack,T3_671,
Marker,T3_671_BackTop,T3_671,
Marker,T3_671_BackLeft,T3_671,
Marker,T3_671_BackRight,T3_671,
Marker,T3_671_ChestTop,T3_671,
Marker,T3_671_ChestLow,T3_671,
Marker,T3_671_HeadFront,T3_671,
Marker,T3_671_HeadLeft,T3_671,
Marker,T3_671_HeadTop,T3_671,
Marker,T3_671_HeadRight,T3_671,
Marker,T3_671_LShoulderBack,T3_671,
Marker,T3_671_LShoulderTop,T3_671,
Marker,T3_671_LUArmHigh,T3_671,
Marker,T3_671_LElbowOut,T3_671,
Marker,T3_671_LFArm,T3_671,
Marker,T3_671_LWristOut,T3_671,
Marker,T3_671_LHandOut,T3_671,
Marker,T3_671_LHandIn,T3_671,
Marker,T3_671_LThumb,T3_671,
Marker,T3_671_LIndex,T3_671,
Marker,T3_671_LPinky,T3_671,
Marker,T3_671_RShoulderBack,T3_671,
Marker,T3_671_RShoulderTop,T3_671,
Marker,T3_671_RUArmHigh,T3_671,
Marker,T3_671_RElbowOut,T3_671,
Marker,T3_671_RFArm,T3_671,
Marker,T3_671_RWristOut,T3_671,
Marker,T3_671_RHandOut,T3_671,
Marker,T3_671_RHandIn,T3_671,
Marker,T3_671_RThumb,T3_671,
Marker,T3_671_RIndex,T3_671,
Marker,T3_671_RPinky,T3_671,
Marker,T3_671_LThighFront,T3_671,
Marker,T3_671_LThighSide,T3_671,
Marker,T3_671_LKneeOut,T3_671,
Marker,T3_671_LShin,T3_671,
Marker,T3_671_LAnkleOut,T3_671,
Marker,T3_671_LHeel,T3_671,
Marker,T3_671_LToeIn,T3_671,
Marker,T3_671_LToeOut,T3_671,
Marker,T3_671_LToeTip,T3_671,
Marker,T3_671_RThighFront,T3_671,
Marker,T3_671_RThighSide,T3_671,
Marker,T3_671_RKneeOut,T3_671,
Marker,T3_671_RShin,T3_671,
Marker,T3_671_RAnkleOut,T3_671,
Marker,T3_671_RHeel,T3_671,
Marker,T3_671_RToeIn,T3_671,
Marker,T3_671_RToeOut,T3_671,
Marker,T3_671_RToeTip,T3_671,
Marker set,all,
Marker,T3_671_WaistLFront,all,
Marker,T3_671_WaistLBack,all,
Marker,T3_671_WaistRBack,all,
Marker,T3_671_WaistRFront,all,
Marker,T3_671_WaistCBack,all,
Marker,T3_671_BackTop,all,
Marker,T3_671_BackLeft,all,
Marker,T3_671_BackRight,all,
Marker,T3_671_ChestTop,all,
Marker,T3_671_ChestLow,all,
Marker,T3_671_HeadFront,all,
Marker,T3_671_HeadLeft,all,
Marker,T3_671_HeadTop,all,
Marker,T3_671_HeadRight,all,
Marker,T3_671_LShoulderBack,all,
Marker,T3_671_LShoulderTop,all,
Marker,T3_671_LUArmHigh,all,
Marker,T3_671_LElbowOut,all,
Marker,T3_671_LFArm,all,
Marker,T3_671_LWristOut,all,
Marker,T3_671_LHandOut,all,
Marker,T3_671_LHandIn,all,
Marker,T3_671_LThumb,all,
Marker,T3_671_LIndex,all,
Marker,T3_671_LPinky,all,
Marker,T3_671_RShoulderBack,all,
Marker,T3_671_RShoulderTop,all,
Marker,T3_671_RUArmHigh,all,
Marker,T3_671_RElbowOut,all,
Marker,T3_671_RFArm,all,
Marker,T3_671_RWristOut,all,
