joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,total_frames,raw_sign_flip_count,corrected_sign_flip_count,min_raw_consecutive_dot,min_corrected_consecutive_dot,post_correction_valid,correction_applied
J001,T3_671:T3_671,T3_671:Ab,T3_671,Ab,31674,0,0,0.9999628636336315,0.9999628636336315,True,False
J002,T3_671:Spine4,T3_671:Chest,Spine4,Chest,31674,0,0,0.9999537657089059,0.9999537657089059,True,False
J003,T3_671:Neck2,T3_671:Head,Neck2,Head,31674,0,0,0.9963157322346271,0.9963157322346271,True,False
J004,T3_671:LUArm,T3_671:LFArm,LUArm,LFArm,31674,0,0,0.8355712116177001,0.8355712116177001,True,False
J005,T3_671:LShin,T3_671:LFoot,LShin,LFoot,31674,0,0,0.9966760636465198,0.9966760636465198,True,False
J006,T3_671:LFArm,T3_671:LHand,LFArm,LHand,31674,0,0,0.751407893308764,0.751407893308764,True,False
J007,T3_671:LHand,T3_671:LIndex1,LHand,LIndex1,31674,0,0,0.6675924023130577,0.6675924023130577,True,False
J008,T3_671:LIndex1,T3_671:LIndex2,LIndex1,LIndex2,31674,1,0,-0.5374298663894552,0.5374298663894552,True,True
J009,T3_671:LIndex2,T3_671:LIndex3,LIndex2,LIndex3,31674,0,0,0.913867474733148,0.913867474733148,True,False
J010,T3_671:LHand,T3_671:LMiddle1,LHand,LMiddle1,31674,0,0,0.8573489291072318,0.8573489291072318,True,False
J011,T3_671:LMiddle1,T3_671:LMiddle2,LMiddle1,LMiddle2,31674,0,0,0.8003723511937083,0.8003723511937083,True,False
J012,T3_671:LMiddle2,T3_671:LMiddle3,LMiddle2,LMiddle3,31674,0,0,0.9643377343892022,0.9643377343892022,True,False
J013,T3_671:LHand,T3_671:LPinky1,LHand,LPinky1,31674,0,0,0.9875673398319441,0.9875673398319441,True,False
J014,T3_671:LPinky1,T3_671:LPinky2,LPinky1,LPinky2,31674,0,0,0.9971117833414612,0.9971117833414612,True,False
