start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
2140,2147,17.8333,17.8917,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
2148,2337,17.9,19.475,1.575,GAP_GE_0P5,gaps_over_0p5,T3_671:ChestTop,True,False,False,False,False
2338,2499,19.4833,20.825,1.3417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,ChestLow__WaistCBack;T3_671:ChestTop,True,False,False,True,False
2500,2665,20.8333,22.2083,1.375,GAP_GE_0P5,gaps_over_0p5,T3_671:ChestTop,True,False,False,False,False
2666,2673,22.2167,22.275,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
8158,8189,67.9833,68.2417,0.2583,SEGMENT_SWAP,segment_swap,BackRight__RShoulderBack,False,False,False,True,False
12284,12309,102.3667,102.575,0.2083,GAP_GE_0P2,gaps_over_0p2,T3_671:LThighFront,False,True,False,False,False
12376,12409,103.1333,103.4083,0.275,GAP_GE_0P2,gaps_over_0p2,T3_671:LThighFront,False,True,False,False,False
12482,12505,104.0167,104.2083,0.1917,GAP_GE_0P2,gaps_over_0p2,T3_671:LThighFront,False,True,False,False,False
15915,15922,132.625,132.6833,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
15923,16042,132.6917,133.6833,0.9917,GAP_GE_0P5,gaps_over_0p5,T3_671:LHandIn;T3_671:RHandIn,True,False,False,False,False
16043,16050,133.6917,133.75,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
16665,16665,138.875,138.875,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:ChestTop,False,False,True,False,False
16937,16940,141.1417,141.1667,0.025,SEGMENT_SWAP,segment_swap,RHandIn__RWristOut,False,False,False,True,False
17280,17280,144.0,144.0,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:RFArm,False,False,True,False,False
17286,17303,144.05,144.1917,0.1417,GAP_GE_0P2,gaps_over_0p2,T3_671:RFArm;T3_671:RHandIn,False,True,False,False,False
17304,17304,144.2,144.2,0.0,GAP_GE_0P2;SEGMENT_SWAP,segment_swap,LHandIn__LHandOut;T3_671:RFArm;T3_671:RHandIn,False,True,False,True,False
17305,17305,144.2083,144.2083,0.0,GAP_GE_0P2;ARTIFACT_SIGMA;SEGMENT_SWAP,segment_swap,LHandIn__LHandOut;T3_671:ChestLow;T3_671:RFArm;T3_671:RHandIn,False,True,True,True,False
17306,17306,144.2167,144.2167,0.0,GAP_GE_0P2;SEGMENT_SWAP,segment_swap,LHandIn__LHandOut;T3_671:RFArm;T3_671:RHandIn,False,True,False,True,False
17307,17309,144.225,144.2417,0.0167,GAP_GE_0P2,gaps_over_0p2,T3_671:LHandIn;T3_671:RFArm;T3_671:RHandIn,False,True,False,False,False
17336,17336,144.4667,144.4667,0.0,SEGMENT_SWAP,segment_swap,LHandIn__LHandOut,False,False,False,True,False
17342,17342,144.5167,144.5167,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:ChestLow,False,False,True,False,False
17473,17528,145.6083,146.0667,0.4583,GAP_GE_0P2,gaps_over_0p2,T3_671:LFArm;T3_671:LHandIn,False,True,False,False,False
17585,17585,146.5417,146.5417,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:LHandIn;T3_671:RHandOut,False,False,True,False,False
17816,17841,148.4667,148.675,0.2083,GAP_GE_0P2,gaps_over_0p2,T3_671:RFArm,False,True,False,False,False
17854,17854,148.7833,148.7833,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:RHandOut,False,False,True,False,False
18025,18025,150.2083,150.2083,0.0,ARTIFACT_SIGMA,artifact_sigma,T3_671:RFArm,False,False,True,False,False
18251,18258,152.0917,152.15,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
18259,18259,152.1583,152.1583,0.0,GAP_GE_0P5,gaps_over_0p5,T3_671:RHandOut,True,False,False,False,False
18260,18284,152.1667,152.3667,0.2,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:RFArm;T3_671:RHandIn;T3_671:RHandOut,True,True,False,False,False
