pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
LHeel__LToeIn,T3_671:LHeel,T3_671:LToeIn,foot,0.213086,0,0.0,0,T3_671:LHeel,LHeel,T3_671,T3_671:LToeIn,LToeIn,T3_671
LHeel__LToeOut,T3_671:LHeel,T3_671:LToeOut,foot,0.217786,0,0.0,0,T3_671:LHeel,LHeel,T3_671,T3_671:LToeOut,LToeOut,T3_671
LHeel__LToeTip,T3_671:LHeel,T3_671:LToeTip,foot,0.277035,0,0.0,0,T3_671:LHeel,LHeel,T3_671,T3_671:LToeTip,LToeTip,T3_671
RHeel__RToeIn,T3_671:RHeel,T3_671:RToeIn,foot,0.224906,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeIn,RToeIn,T3_671
RHeel__RToeOut,T3_671:RHeel,T3_671:RToeOut,foot,0.213066,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeOut,RToeOut,T3_671
RHeel__RToeTip,T3_671:RHeel,T3_671:RToeTip,foot,0.27559,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeTip,RToeTip,T3_671
HeadFront__HeadTop,T3_671:HeadFront,T3_671:HeadTop,head_neck,0.148439,0,0.0,0,T3_671:HeadFront,HeadFront,T3_671,T3_671:HeadTop,HeadTop,T3_671
WaistLFront__WaistRFront,T3_671:WaistLFront,T3_671:WaistRFront,pelvis_waist,0.235045,0,0.0,0,T3_671:WaistLFront,WaistLFront,T3_671,T3_671:WaistRFront,WaistRFront,T3_671
LAnkleOut__LShin,T3_671:LAnkleOut,T3_671:LShin,shank_ankle,0.19677,0,0.0,0,T3_671:LAnkleOut,LAnkleOut,T3_671,T3_671:LShin,LShin,T3_671
RAnkleOut__RShin,T3_671:RAnkleOut,T3_671:RShin,shank_ankle,0.346272,0,0.0,0,T3_671:RAnkleOut,RAnkleOut,T3_671,T3_671:RShin,RShin,T3_671
LShoulderTop__LUArmHigh,T3_671:LShoulderTop,T3_671:LUArmHigh,shoulder_upper_arm,0.196289,0,0.0,0,T3_671:LShoulderTop,LShoulderTop,T3_671,T3_671:LUArmHigh,LUArmHigh,T3_671
LThighFront__LThighSide,T3_671:LThighFront,T3_671:LThighSide,thigh_knee,0.174432,0,0.0,0,T3_671:LThighFront,LThighFront,T3_671,T3_671:LThighSide,LThighSide,T3_671
RKneeOut__RThighSide,T3_671:RKneeOut,T3_671:RThighSide,thigh_knee,0.270774,29,0.091558,2,T3_671:RKneeOut,RKneeOut,T3_671,T3_671:RThighSide,RThighSide,T3_671
RThighFront__RThighSide,T3_671:RThighFront,T3_671:RThighSide,thigh_knee,0.20043,0,0.0,0,T3_671:RThighFront,RThighFront,T3_671,T3_671:RThighSide,RThighSide,T3_671
BackLeft__LShoulderBack,T3_671:BackLeft,T3_671:LShoulderBack,torso_chest_back,0.150011,0,0.0,0,T3_671:BackLeft,BackLeft,T3_671,T3_671:LShoulderBack,LShoulderBack,T3_671
BackRight__RShoulderBack,T3_671:BackRight,T3_671:RShoulderBack,torso_chest_back,0.138324,53,0.16733,2,T3_671:BackRight,BackRight,T3_671,T3_671:RShoulderBack,RShoulderBack,T3_671
BackTop__WaistCBack,T3_671:BackTop,T3_671:WaistCBack,torso_chest_back,0.339306,0,0.0,0,T3_671:BackTop,BackTop,T3_671,T3_671:WaistCBack,WaistCBack,T3_671
ChestLow__WaistCBack,T3_671:ChestLow,T3_671:WaistCBack,torso_chest_back,0.315231,162,0.511461,1,T3_671:ChestLow,ChestLow,T3_671,T3_671:WaistCBack,WaistCBack,T3_671
ChestTop__WaistCBack,T3_671:ChestTop,T3_671:WaistCBack,torso_chest_back,0.335852,0,0.0,0,T3_671:ChestTop,ChestTop,T3_671,T3_671:WaistCBack,WaistCBack,T3_671
WaistLBack__WaistRBack,T3_671:WaistLBack,T3_671:WaistRBack,torso_chest_back,0.25537,0,0.0,0,T3_671:WaistLBack,WaistLBack,T3_671,T3_671:WaistRBack,WaistRBack,T3_671
LHandIn__LHandOut,T3_671:LHandIn,T3_671:LHandOut,wrist_hand,0.113486,54,0.170487,17,T3_671:LHandIn,LHandIn,T3_671,T3_671:LHandOut,LHandOut,T3_671
RHandIn__RWristOut,T3_671:RHandIn,T3_671:RWristOut,wrist_hand,0.228486,117,0.369388,7,T3_671:RHandIn,RHandIn,T3_671,T3_671:RWristOut,RWristOut,T3_671
