source_bone_name,column_index_x,column_index_y,column_index_z,column_index_w,has_complete_xyzw_columns,motive_component_labels,scipy_component_order,selected_scipy_order,labels_compatible_with_scipy,sample_size,constructible_count,construction_error_count,non_finite_row_count,constructability_status,primary_constructibility_rate,alternative_order_label,alternative_constructible_count,alternative_construction_error_count,alternative_constructibility_rate,first_construction_error,missing_components,stage03_may_proceed,notes
671:671,2,3,4,5,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:Ab,9,10,11,12,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:Chest,16,17,18,19,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:Head,30,31,32,33,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LFArm,51,52,53,54,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LFoot,317,318,319,320,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LHand,58,59,60,61,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LIndex1,86,87,88,89,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LIndex2,93,94,95,96,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LIndex3,100,101,102,103,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LMiddle1,107,108,109,110,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LMiddle2,114,115,116,117,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LMiddle3,121,122,123,124,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LPinky1,149,150,151,152,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LPinky2,156,157,158,159,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LPinky3,163,164,165,166,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LRing1,128,129,130,131,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LRing2,135,136,137,138,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LRing3,142,143,144,145,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LShin,310,311,312,313,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LShoulder,37,38,39,40,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LThigh,303,304,305,306,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LThumb1,65,66,67,68,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LThumb2,72,73,74,75,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LThumb3,79,80,81,82,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LToe,324,325,326,327,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:LUArm,44,45,46,47,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:Neck,23,24,25,26,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:RFArm,184,185,186,187,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
671:RFoot,345,346,347,348,True,"X,Y,Z,W","x,y,z,w","x,y,z,w",True,30356,30356,0,0,pass,1.0,motive_xyzw_as_wxyz_alternative,30356,0,1.0,,,True,Component-order / SciPy constructability pass
