input_file,joint_id,parent_bone,child_bone,reason_skipped,affects_core_candidate,blocks_stage07
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J001,Root,671,CSV virtual parent `Root` has no global quaternion; `Root→671` is non-computable and skipped in Stage 06,False,False
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R2_Take 2026-01-06 03.57.12 PM_003.csv,J001,Root,671,CSV virtual parent `Root` has no global quaternion; `Root→671` is non-computable and skipped in Stage 06,False,False
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005.csv,J001,Root,671,CSV virtual parent `Root` has no global quaternion; `Root→671` is non-computable and skipped in Stage 06,False,False
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T2_P1_R2_Take 2026-01-15 04.35.25 PM_009.csv,J001,Root,671,CSV virtual parent `Root` has no global quaternion; `Root→671` is non-computable and skipped in Stage 06,False,False
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T3_P1_R1_Take 2026-02-03 08.05.01 PM_000.csv,J055,Root,T3_671,CSV virtual parent `Root` has no global quaternion; `Root→T3_671` is non-computable and skipped in Stage 06,False,False
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T3_P1_R2_Take 2026-02-03 08.05.01 PM_005.csv,J055,Root,T3_671,CSV virtual parent `Root` has no global quaternion; `Root→T3_671` is non-computable and skipped in Stage 06,False,False
