input_file,joint_id,source_parent_bone,source_child_bone,parent_bone,child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,parent_segment_role,child_segment_role,terminology_note,motive_skeleton_template,reconstruction_max_error_deg,reconstruction_p99_error_deg,raw_relative_sign_flip_count,corrected_relative_sign_flip_count,post_correction_valid,gate_status
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J013,671:LMiddle2,671:LMiddle3,LMiddle2,LMiddle3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.9729276143844906e-14,1.9182387248911452e-14,1,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J014,671:LHand,671:LPinky1,LHand,LPinky1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.2258046667655644e-14,1.9476624963508302e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J015,671:LPinky1,671:LPinky2,LPinky1,LPinky2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),4.1081380140780184e-14,1.962926806365761e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J016,671:LPinky2,671:LPinky3,LPinky2,LPinky3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.120171931029154e-14,1.8864203777728543e-14,1,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J017,671:LHand,671:LRing1,LHand,LRing1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.0562287270237515e-14,1.9371755814471694e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J018,671:LRing1,671:LRing2,LRing1,LRing2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.1302814329061343e-14,1.961650861033116e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J019,671:LRing2,671:LRing3,LRing2,LRing3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.873791889892969e-14,1.8733904256089916e-14,1,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J020,671:LThigh,671:LShin,LThigh,LShin,True,provisional_v0,False,shin,True,False,core_limb_or_head_neck,core_limb_or_head_neck,shin core candidate,Core + Passive Fingers (54),2.5712440179202488e-14,1.2650390205285262e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J021,671:Chest,671:LShoulder,Chest,LShoulder,True,provisional_v0,False,shoulder,True,False,trunk_spine_provisional,core_limb_or_head_neck,shoulder core candidate,Core + Passive Fingers (54),2.3065821691743896e-14,1.1842500398996958e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J022,671:671,671:LThigh,671,LThigh,True,provisional_v0,False,hip_top_segment_to_thigh,True,False,motive_hip_top_segment,core_limb_or_head_neck,Defensible Motive hip/top-segment-to-thigh link: asset-name-labeled Motive hip/top skeleton segment (`671`); Motive documents this as the skeleton hip; export naming may follow Asset Hip Name,Core + Passive Fingers (54),2.0932495857306593e-14,1.0632881846784601e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J023,671:LHand,671:LThumb1,LHand,LThumb1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.0123049606883684e-14,2.0135150166306756e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J024,671:LThumb1,671:LThumb2,LThumb1,LThumb2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.9388550246747396e-14,2.0139494481704535e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J025,671:LThumb2,671:LThumb3,LThumb2,LThumb3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.6826739864865032e-14,1.9418248075314577e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J026,671:LFoot,671:LToe,LFoot,LToe,False,provisional_v0,True,toe,False,True,core_limb_or_head_neck,toe_excluded,toe link excluded from likely V0 analysis set,Core + Passive Fingers (54),2.195474279853124e-14,1.038428048231282e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J027,671:LShoulder,671:LUArm,LShoulder,LUArm,True,provisional_v0,False,upper_arm,True,False,core_limb_or_head_neck,core_limb_or_head_neck,upper arm core candidate,Core + Passive Fingers (54),3.2328835989495264e-14,1.9662862433774064e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J028,671:Chest,671:Neck,Chest,Neck,True,provisional_v0,False,head_neck,True,False,trunk_spine_provisional,core_limb_or_head_neck,head/neck core candidate,Core + Passive Fingers (54),2.3335210334195728e-14,1.2596460911722282e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J029,671:RUArm,671:RFArm,RUArm,RFArm,True,provisional_v0,False,forearm,True,False,core_limb_or_head_neck,core_limb_or_head_neck,forearm core candidate,Core + Passive Fingers (54),3.379735010581317e-14,1.9931486991309224e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J030,671:RShin,671:RFoot,RShin,RFoot,True,provisional_v0,False,foot,True,False,core_limb_or_head_neck,core_limb_or_head_neck,foot core candidate,Core + Passive Fingers (54),2.4115305076435114e-14,1.131050244579474e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J031,671:RFArm,671:RHand,RFArm,RHand,True,provisional_v0,False,hand,True,False,core_limb_or_head_neck,core_limb_or_head_neck,hand core candidate (provisional V0),Core + Passive Fingers (54),3.108342619689931e-14,1.9648594350019244e-14,0,0,True,core_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J032,671:RHand,671:RIndex1,RHand,RIndex1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.113582514300555e-14,1.9637806763434343e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J033,671:RIndex1,671:RIndex2,RIndex1,RIndex2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.137708287390749e-14,1.9360935679306942e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J034,671:RIndex2,671:RIndex3,RIndex2,RIndex3,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),3.096729431607543e-14,1.9856572984995975e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J035,671:RHand,671:RMiddle1,RHand,RMiddle1,False,provisional_v0,False,finger,False,True,core_limb_or_head_neck,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.921591789876523e-14,1.8970226596202913e-14,0,0,True,excluded_pass
/Users/drorhazan/Desktop/gaga_psilo/projects/3Layers_project/Layer2_Motive_Kinematics/data/671/671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv,J036,671:RMiddle1,671:RMiddle2,RMiddle1,RMiddle2,False,provisional_v0,False,finger,False,True,finger_excluded,finger_excluded,distal finger chain excluded from likely V0 analysis set,Core + Passive Fingers (54),2.975592429338705e-14,1.9398568470484757e-14,0,0,True,excluded_pass
