source_bone_name,canonical_bone_name,total_frames,sign_flip_count,min_consecutive_dot,post_correction_valid
671:671,671,30604,0,0.9995021230200001,True
671:Ab,Ab,30604,0,0.999558282865,True
671:Chest,Chest,30604,0,0.999004435852,True
671:Head,Head,30604,0,0.998543912127,True
671:LFArm,LFArm,30604,0,0.976433280514,True
671:LFoot,LFoot,30604,0,0.995363602581,True
671:LHand,LHand,30604,0,0.845648439913,True
671:LIndex1,LIndex1,30604,0,0.84705381488,True
671:LIndex2,LIndex2,30604,0,0.07867187884900004,True
671:LIndex3,LIndex3,30604,14270,0.32081484315700004,True
671:LMiddle1,LMiddle1,30604,0,0.880479209942,True
671:LMiddle2,LMiddle2,30604,0,0.14508555793800004,True
671:LMiddle3,LMiddle3,30604,14270,0.250968453944,True
671:LPinky1,LPinky1,30604,0,0.930958897379,True
671:LPinky2,LPinky2,30604,0,0.30095431800499994,True
671:LPinky3,LPinky3,30604,14270,0.06716906266199994,True
671:LRing1,LRing1,30604,0,0.909536616594,True
671:LRing2,LRing2,30604,0,0.22245736981699996,True
671:LRing3,LRing3,30604,14270,0.16308225142100005,True
671:LShin,LShin,30604,0,0.997672369101,True
671:LShoulder,LShoulder,30604,0,0.994749331107,True
671:LThigh,LThigh,30604,0,0.9992811958410001,True
671:LThumb1,LThumb1,30604,0,0.9476026496150001,True
671:LThumb2,LThumb2,30604,0,0.905095527254,True
671:LThumb3,LThumb3,30604,0,0.7587369683009999,True
671:LToe,LToe,30604,0,0.995428300533,True
671:LUArm,LUArm,30604,0,0.993629941281,True
671:Neck,Neck,30604,0,0.999568181373,True
671:RFArm,RFArm,30604,0,0.9600328263000001,True
671:RFoot,RFoot,30604,0,0.9958976262689999,True
671:RHand,RHand,30604,0,0.966749089937,True
671:RIndex1,RIndex1,30604,0,0.966870519766,True
671:RIndex2,RIndex2,30604,0,0.960268084614,True
671:RIndex3,RIndex3,30604,0,0.9570741706650001,True
671:RMiddle1,RMiddle1,30604,0,0.9669800122219999,True
671:RMiddle2,RMiddle2,30604,0,0.9630130352419999,True
671:RMiddle3,RMiddle3,30604,0,0.960961092422,True
671:RPinky1,RPinky1,30604,0,0.967387547672,True
671:RPinky2,RPinky2,30604,0,0.9599585006629999,True
671:RPinky3,RPinky3,30604,0,0.928588315215,True
671:RRing1,RRing1,30604,0,0.96717248743,True
671:RRing2,RRing2,30604,0,0.965525956949,True
671:RRing3,RRing3,30604,0,0.9577407423180001,True
671:RShin,RShin,30604,0,0.9986587021219999,True
671:RShoulder,RShoulder,30604,0,0.9964701911290001,True
671:RThigh,RThigh,30604,0,0.999202461724,True
671:RThumb1,RThumb1,30604,0,0.952743711092,True
671:RThumb2,RThumb2,30604,0,0.9070886513249999,True
671:RThumb3,RThumb3,30604,0,0.8386635754660001,True
671:RToe,RToe,30604,0,0.995870414328,True
671:RUArm,RUArm,30604,0,0.994586553854,True
