link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,branch_cut_context_frames,analysis_eligible_frames,stage08_filter_status
J002,30235,30235,30235,30235,0,0,0,provisional_manual_review
J003,30235,30235,30235,30235,0,0,0,provisional_manual_review
J004,30235,30235,30235,30235,0,0,30235,pass
J005,30235,30235,30235,30235,0,0,30235,pass
J006,30235,30235,30235,30235,0,0,30235,pass
J007,30235,30235,30235,30235,0,0,30235,pass
J008,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J009,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J010,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J011,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J012,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J013,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J014,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J015,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J016,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J017,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J018,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J019,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J020,30235,30235,30235,30235,0,0,30235,pass
J021,30235,30235,30235,30235,0,0,30235,pass
J022,30235,30235,30235,30235,0,0,30235,pass
J023,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J024,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J025,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J026,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J027,30235,30235,30235,30235,0,0,30235,pass
J028,30235,30235,30235,30235,0,0,30235,pass
J029,30235,30235,30235,30235,0,0,30235,pass
J030,30235,30235,30235,30235,0,0,30235,pass
J031,30235,30235,30235,30235,0,0,30235,pass
J032,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J033,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J034,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J035,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J036,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J037,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J038,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J039,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J040,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J041,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J042,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J043,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J044,30235,30235,30235,30235,0,0,30235,pass
J045,30235,30235,30235,30235,0,0,30235,pass
J046,30235,30235,30235,30235,0,0,30235,pass
J047,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J048,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J049,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J050,30235,30235,30235,30235,0,0,0,excluded_from_analysis
J051,30235,30235,30235,30235,0,0,30235,pass
