gap_id,marker_name,is_labeled,is_unlabeled,body_region_group,gap_start_frame,gap_end_frame,gap_start_time_seconds,gap_end_time_seconds,duration_frames,duration_seconds,thresholds_crossed,severity_label,prev_valid_frame,next_valid_frame,touches_start_or_end,recommended_status
G000036,671:LHandIn,True,False,wrist_hand,27942,27944,232.85,232.86666666666667,3,0.025,tiny,tiny,27941.0,27945.0,False,document
G000037,671:LHandIn,True,False,wrist_hand,28079,28082,233.99166666666667,234.01666666666668,4,0.03333333333333333,tiny,tiny,28078.0,28083.0,False,document
G000038,671:LHandIn,True,False,wrist_hand,28334,28334,236.11666666666667,236.11666666666667,1,0.008333333333333333,,single_frame,28333.0,28335.0,False,document
G000039,671:LHandIn,True,False,wrist_hand,28336,28336,236.13333333333333,236.13333333333333,1,0.008333333333333333,,single_frame,28335.0,28337.0,False,document
G000040,671:LHandIn,True,False,wrist_hand,28359,28359,236.325,236.325,1,0.008333333333333333,,single_frame,28358.0,28360.0,False,document
G000041,671:LHandIn,True,False,wrist_hand,29090,29090,242.41666666666666,242.41666666666666,1,0.008333333333333333,,single_frame,29089.0,29091.0,False,document
G000042,671:LHandIn,True,False,wrist_hand,29454,29454,245.45,245.45,1,0.008333333333333333,,single_frame,29453.0,29455.0,False,document
G000043,671:LHandOut,True,False,wrist_hand,17286,17300,144.05,144.16666666666666,15,0.125,tiny;minor,minor,17285.0,17301.0,False,document
G000044,671:LIndex,True,False,fingers,4434,4434,36.95,36.95,1,0.008333333333333333,,single_frame,4433.0,4435.0,False,document
G000045,671:LIndex,True,False,fingers,14499,14500,120.825,120.83333333333333,2,0.016666666666666666,,tiny,14498.0,14501.0,False,document
G000046,671:LIndex,True,False,fingers,14707,14719,122.55833333333334,122.65833333333333,13,0.10833333333333334,tiny;minor,minor,14706.0,14720.0,False,document
G000047,671:LIndex,True,False,fingers,14940,14941,124.5,124.50833333333334,2,0.016666666666666666,,tiny,14939.0,14942.0,False,document
G000048,671:LIndex,True,False,fingers,25355,25355,211.29166666666666,211.29166666666666,1,0.008333333333333333,,single_frame,25354.0,25356.0,False,document
G000049,671:LIndex,True,False,fingers,28079,28083,233.99166666666667,234.025,5,0.041666666666666664,tiny,tiny,28078.0,28084.0,False,document
G000050,671:LPinky,True,False,fingers,14697,14699,122.475,122.49166666666666,3,0.025,tiny,tiny,14696.0,14700.0,False,document
G000051,671:LPinky,True,False,fingers,15021,15023,125.175,125.19166666666666,3,0.025,tiny,tiny,15020.0,15024.0,False,document
