line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001|Take Notes|
2,blank,True,0,
3,type,False,827,|Type|Bone|Bone|Bone|Bone
4,name,False,827,|Name|671:671|671:671|671:671|671:671
5,id,False,827,|ID|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080|FFBF704EB1411F0:90AFB54A3B8C3080
6,parent,False,827,|Parent|Root|Root|Root|Root
7,property,False,827,||Rotation|Rotation|Rotation|Rotation
8,component,False,827,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,827,0|0.000000|0.012422|-0.007742|0.007240|0.999867
10,data,False,827,1|0.008333|0.012414|-0.007809|0.007232|0.999866
11,data,False,827,2|0.016667|0.012402|-0.007918|0.007220|0.999866
12,data,False,827,3|0.025000|0.012379|-0.008038|0.007210|0.999865
13,data,False,827,4|0.033333|0.012348|-0.008182|0.007203|0.999864
14,data,False,827,5|0.041667|0.012312|-0.008367|0.007194|0.999863
15,data,False,827,6|0.050000|0.012265|-0.008570|0.007183|0.999862
16,data,False,827,7|0.058333|0.012213|-0.008798|0.007172|0.999861
17,data,False,827,8|0.066667|0.012153|-0.009054|0.007158|0.999860
18,data,False,827,9|0.075000|0.012091|-0.009328|0.007141|0.999858
19,data,False,827,10|0.083333|0.012028|-0.009622|0.007124|0.999856
20,data,False,827,11|0.091667|0.011961|-0.009935|0.007106|0.999854
