line_number,role,is_blank,num_columns,first_cells
1,metadata,False,24,Format Version|1.25|Take Name|671_T2_P1_R1_Take 2026-01-15 04.35.25 PM_005|Take Notes|
2,blank,True,0,
3,type,False,728,|Type|Bone|Bone|Bone|Bone
4,name,False,728,|Name|671:671|671:671|671:671|671:671
5,id,False,728,|ID|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080|FA716B48F22E11F0:90AFB54A3B8C3080
6,parent,False,728,|Parent|Root|Root|Root|Root
7,property,False,728,||Rotation|Rotation|Rotation|Rotation
8,component,False,728,Frame|Time (Seconds)|X|Y|Z|W
9,data,False,728,0|0.000000|-0.000498|0.032322|0.008067|0.999445
10,data,False,728,1|0.008333|-0.000432|0.032219|0.008085|0.999448
11,data,False,728,2|0.016667|-0.000374|0.032118|0.008102|0.999451
12,data,False,728,3|0.025000|-0.000324|0.032043|0.008122|0.999453
13,data,False,728,4|0.033333|-0.000284|0.031977|0.008143|0.999455
14,data,False,728,5|0.041667|-0.000243|0.031909|0.008160|0.999457
15,data,False,728,6|0.050000|-0.000202|0.031831|0.008172|0.999460
16,data,False,728,7|0.058333|-0.000159|0.031749|0.008184|0.999462
17,data,False,728,8|0.066667|-0.000124|0.031687|0.008194|0.999464
18,data,False,728,9|0.075000|-0.000093|0.031646|0.008207|0.999466
19,data,False,728,10|0.083333|-0.000058|0.031602|0.008217|0.999467
20,data,False,728,11|0.091667|-0.000022|0.031561|0.008220|0.999468
