source_bone_name,canonical_bone_name,component,column_index,flat_name
T3_671:LIndex2,LIndex2,Z,123,col0123__Bone__T3_671_LIndex2__Rotation__Z
T3_671:LIndex2,LIndex2,W,124,col0124__Bone__T3_671_LIndex2__Rotation__W
T3_671:LIndex3,LIndex3,X,128,col0128__Bone__T3_671_LIndex3__Rotation__X
T3_671:LIndex3,LIndex3,Y,129,col0129__Bone__T3_671_LIndex3__Rotation__Y
T3_671:LIndex3,LIndex3,Z,130,col0130__Bone__T3_671_LIndex3__Rotation__Z
T3_671:LIndex3,LIndex3,W,131,col0131__Bone__T3_671_LIndex3__Rotation__W
T3_671:LMiddle1,LMiddle1,X,135,col0135__Bone__T3_671_LMiddle1__Rotation__X
T3_671:LMiddle1,LMiddle1,Y,136,col0136__Bone__T3_671_LMiddle1__Rotation__Y
T3_671:LMiddle1,LMiddle1,Z,137,col0137__Bone__T3_671_LMiddle1__Rotation__Z
T3_671:LMiddle1,LMiddle1,W,138,col0138__Bone__T3_671_LMiddle1__Rotation__W
T3_671:LMiddle2,LMiddle2,X,142,col0142__Bone__T3_671_LMiddle2__Rotation__X
T3_671:LMiddle2,LMiddle2,Y,143,col0143__Bone__T3_671_LMiddle2__Rotation__Y
T3_671:LMiddle2,LMiddle2,Z,144,col0144__Bone__T3_671_LMiddle2__Rotation__Z
T3_671:LMiddle2,LMiddle2,W,145,col0145__Bone__T3_671_LMiddle2__Rotation__W
T3_671:LMiddle3,LMiddle3,X,149,col0149__Bone__T3_671_LMiddle3__Rotation__X
T3_671:LMiddle3,LMiddle3,Y,150,col0150__Bone__T3_671_LMiddle3__Rotation__Y
T3_671:LMiddle3,LMiddle3,Z,151,col0151__Bone__T3_671_LMiddle3__Rotation__Z
T3_671:LMiddle3,LMiddle3,W,152,col0152__Bone__T3_671_LMiddle3__Rotation__W
T3_671:LRing1,LRing1,X,156,col0156__Bone__T3_671_LRing1__Rotation__X
T3_671:LRing1,LRing1,Y,157,col0157__Bone__T3_671_LRing1__Rotation__Y
T3_671:LRing1,LRing1,Z,158,col0158__Bone__T3_671_LRing1__Rotation__Z
T3_671:LRing1,LRing1,W,159,col0159__Bone__T3_671_LRing1__Rotation__W
T3_671:LRing2,LRing2,X,163,col0163__Bone__T3_671_LRing2__Rotation__X
T3_671:LRing2,LRing2,Y,164,col0164__Bone__T3_671_LRing2__Rotation__Y
T3_671:LRing2,LRing2,Z,165,col0165__Bone__T3_671_LRing2__Rotation__Z
T3_671:LRing2,LRing2,W,166,col0166__Bone__T3_671_LRing2__Rotation__W
T3_671:LRing3,LRing3,X,170,col0170__Bone__T3_671_LRing3__Rotation__X
T3_671:LRing3,LRing3,Y,171,col0171__Bone__T3_671_LRing3__Rotation__Y
T3_671:LRing3,LRing3,Z,172,col0172__Bone__T3_671_LRing3__Rotation__Z
T3_671:LRing3,LRing3,W,173,col0173__Bone__T3_671_LRing3__Rotation__W
T3_671:LPinky1,LPinky1,X,177,col0177__Bone__T3_671_LPinky1__Rotation__X
T3_671:LPinky1,LPinky1,Y,178,col0178__Bone__T3_671_LPinky1__Rotation__Y
T3_671:LPinky1,LPinky1,Z,179,col0179__Bone__T3_671_LPinky1__Rotation__Z
T3_671:LPinky1,LPinky1,W,180,col0180__Bone__T3_671_LPinky1__Rotation__W
T3_671:LPinky2,LPinky2,X,184,col0184__Bone__T3_671_LPinky2__Rotation__X
T3_671:LPinky2,LPinky2,Y,185,col0185__Bone__T3_671_LPinky2__Rotation__Y
T3_671:LPinky2,LPinky2,Z,186,col0186__Bone__T3_671_LPinky2__Rotation__Z
T3_671:LPinky2,LPinky2,W,187,col0187__Bone__T3_671_LPinky2__Rotation__W
T3_671:LPinky3,LPinky3,X,191,col0191__Bone__T3_671_LPinky3__Rotation__X
T3_671:LPinky3,LPinky3,Y,192,col0192__Bone__T3_671_LPinky3__Rotation__Y
T3_671:LPinky3,LPinky3,Z,193,col0193__Bone__T3_671_LPinky3__Rotation__Z
T3_671:LPinky3,LPinky3,W,194,col0194__Bone__T3_671_LPinky3__Rotation__W
T3_671:RShoulder,RShoulder,X,198,col0198__Bone__T3_671_RShoulder__Rotation__X
T3_671:RShoulder,RShoulder,Y,199,col0199__Bone__T3_671_RShoulder__Rotation__Y
T3_671:RShoulder,RShoulder,Z,200,col0200__Bone__T3_671_RShoulder__Rotation__Z
T3_671:RShoulder,RShoulder,W,201,col0201__Bone__T3_671_RShoulder__Rotation__W
T3_671:RUArm,RUArm,X,205,col0205__Bone__T3_671_RUArm__Rotation__X
T3_671:RUArm,RUArm,Y,206,col0206__Bone__T3_671_RUArm__Rotation__Y
T3_671:RUArm,RUArm,Z,207,col0207__Bone__T3_671_RUArm__Rotation__Z
T3_671:RUArm,RUArm,W,208,col0208__Bone__T3_671_RUArm__Rotation__W
T3_671:RFArm,RFArm,X,212,col0212__Bone__T3_671_RFArm__Rotation__X
T3_671:RFArm,RFArm,Y,213,col0213__Bone__T3_671_RFArm__Rotation__Y
T3_671:RFArm,RFArm,Z,214,col0214__Bone__T3_671_RFArm__Rotation__Z
T3_671:RFArm,RFArm,W,215,col0215__Bone__T3_671_RFArm__Rotation__W
T3_671:RHand,RHand,X,219,col0219__Bone__T3_671_RHand__Rotation__X
T3_671:RHand,RHand,Y,220,col0220__Bone__T3_671_RHand__Rotation__Y
T3_671:RHand,RHand,Z,221,col0221__Bone__T3_671_RHand__Rotation__Z
T3_671:RHand,RHand,W,222,col0222__Bone__T3_671_RHand__Rotation__W
T3_671:RThumb1,RThumb1,X,226,col0226__Bone__T3_671_RThumb1__Rotation__X
T3_671:RThumb1,RThumb1,Y,227,col0227__Bone__T3_671_RThumb1__Rotation__Y
T3_671:RThumb1,RThumb1,Z,228,col0228__Bone__T3_671_RThumb1__Rotation__Z
T3_671:RThumb1,RThumb1,W,229,col0229__Bone__T3_671_RThumb1__Rotation__W
T3_671:RThumb2,RThumb2,X,233,col0233__Bone__T3_671_RThumb2__Rotation__X
T3_671:RThumb2,RThumb2,Y,234,col0234__Bone__T3_671_RThumb2__Rotation__Y
T3_671:RThumb2,RThumb2,Z,235,col0235__Bone__T3_671_RThumb2__Rotation__Z
T3_671:RThumb2,RThumb2,W,236,col0236__Bone__T3_671_RThumb2__Rotation__W
T3_671:RThumb3,RThumb3,X,240,col0240__Bone__T3_671_RThumb3__Rotation__X
T3_671:RThumb3,RThumb3,Y,241,col0241__Bone__T3_671_RThumb3__Rotation__Y
T3_671:RThumb3,RThumb3,Z,242,col0242__Bone__T3_671_RThumb3__Rotation__Z
T3_671:RThumb3,RThumb3,W,243,col0243__Bone__T3_671_RThumb3__Rotation__W
T3_671:RIndex1,RIndex1,X,247,col0247__Bone__T3_671_RIndex1__Rotation__X
T3_671:RIndex1,RIndex1,Y,248,col0248__Bone__T3_671_RIndex1__Rotation__Y
T3_671:RIndex1,RIndex1,Z,249,col0249__Bone__T3_671_RIndex1__Rotation__Z
T3_671:RIndex1,RIndex1,W,250,col0250__Bone__T3_671_RIndex1__Rotation__W
T3_671:RIndex2,RIndex2,X,254,col0254__Bone__T3_671_RIndex2__Rotation__X
T3_671:RIndex2,RIndex2,Y,255,col0255__Bone__T3_671_RIndex2__Rotation__Y
T3_671:RIndex2,RIndex2,Z,256,col0256__Bone__T3_671_RIndex2__Rotation__Z
T3_671:RIndex2,RIndex2,W,257,col0257__Bone__T3_671_RIndex2__Rotation__W
T3_671:RIndex3,RIndex3,X,261,col0261__Bone__T3_671_RIndex3__Rotation__X
