column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
52,col0052__Bone__T3_671_Neck2__Rotation__Y,Bone,T3_671:Neck2,47C68C38012911F1:90AFB54A3B8C3180,T3_671:Neck,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
53,col0053__Bone__T3_671_Neck2__Rotation__Z,Bone,T3_671:Neck2,47C68C38012911F1:90AFB54A3B8C3180,T3_671:Neck,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
54,col0054__Bone__T3_671_Neck2__Rotation__W,Bone,T3_671:Neck2,47C68C38012911F1:90AFB54A3B8C3180,T3_671:Neck,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
58,col0058__Bone__T3_671_Head__Rotation__X,Bone,T3_671:Head,47C68B8E012911F1:90AFB54A3B8C3180,T3_671:Neck2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
59,col0059__Bone__T3_671_Head__Rotation__Y,Bone,T3_671:Head,47C68B8E012911F1:90AFB54A3B8C3180,T3_671:Neck2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
60,col0060__Bone__T3_671_Head__Rotation__Z,Bone,T3_671:Head,47C68B8E012911F1:90AFB54A3B8C3180,T3_671:Neck2,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
61,col0061__Bone__T3_671_Head__Rotation__W,Bone,T3_671:Head,47C68B8E012911F1:90AFB54A3B8C3180,T3_671:Neck2,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
65,col0065__Bone__T3_671_LShoulder__Rotation__X,Bone,T3_671:LShoulder,47C68B8F012911F1:90AFB54A3B8C3180,T3_671:Chest,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
66,col0066__Bone__T3_671_LShoulder__Rotation__Y,Bone,T3_671:LShoulder,47C68B8F012911F1:90AFB54A3B8C3180,T3_671:Chest,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
67,col0067__Bone__T3_671_LShoulder__Rotation__Z,Bone,T3_671:LShoulder,47C68B8F012911F1:90AFB54A3B8C3180,T3_671:Chest,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
68,col0068__Bone__T3_671_LShoulder__Rotation__W,Bone,T3_671:LShoulder,47C68B8F012911F1:90AFB54A3B8C3180,T3_671:Chest,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
72,col0072__Bone__T3_671_LUArm__Rotation__X,Bone,T3_671:LUArm,47C68B90012911F1:90AFB54A3B8C3180,T3_671:LShoulder,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
73,col0073__Bone__T3_671_LUArm__Rotation__Y,Bone,T3_671:LUArm,47C68B90012911F1:90AFB54A3B8C3180,T3_671:LShoulder,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
74,col0074__Bone__T3_671_LUArm__Rotation__Z,Bone,T3_671:LUArm,47C68B90012911F1:90AFB54A3B8C3180,T3_671:LShoulder,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
75,col0075__Bone__T3_671_LUArm__Rotation__W,Bone,T3_671:LUArm,47C68B90012911F1:90AFB54A3B8C3180,T3_671:LShoulder,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
79,col0079__Bone__T3_671_LFArm__Rotation__X,Bone,T3_671:LFArm,47C68B91012911F1:90AFB54A3B8C3180,T3_671:LUArm,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
80,col0080__Bone__T3_671_LFArm__Rotation__Y,Bone,T3_671:LFArm,47C68B91012911F1:90AFB54A3B8C3180,T3_671:LUArm,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
81,col0081__Bone__T3_671_LFArm__Rotation__Z,Bone,T3_671:LFArm,47C68B91012911F1:90AFB54A3B8C3180,T3_671:LUArm,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
82,col0082__Bone__T3_671_LFArm__Rotation__W,Bone,T3_671:LFArm,47C68B91012911F1:90AFB54A3B8C3180,T3_671:LUArm,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
86,col0086__Bone__T3_671_LHand__Rotation__X,Bone,T3_671:LHand,47C68B92012911F1:90AFB54A3B8C3180,T3_671:LFArm,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
