warning_id,severity,category,participant_id,session_id,timepoint,part_id,repetition_id,window_id,start_frame,end_frame,canonical_link_name,parent_canonical,child_canonical,axis,affected_marker,source_layer,source_file,message,recommended_action,blocks_export,requires_user_approval,evidence_file
pairing.layer2_git_commit_unknown,warning,provenance,671,671_T2_P1_R2,T2,P1,R2,,,,,,,,,layer2,,Layer 2 git commit is unknown (provenance cannot be pinned).,Record git commit / config hash in Layer 2 exports.,False,False,
window.layer1_evidence_overlap,warning,layer1_evidence,671,671_T2_P1_R2,T2,P1,R2,671_T2_P1_R2_g4_s14040_e21360,14040,21360,,,,,,layer1,,Layer 1 flagged 1147 frames (gap/artifact) overlapping the selected window.,Inspect Layer 1 evidence for these frames.,False,False,
