marker_name,body_region_group,n_gaps,total_gap_seconds,longest_gap_seconds,gap_intervals_s,marker_name_raw,marker_name_canonical,asset_prefix
T3_671:LThighFront,thigh_knee,10,240.9167,103.3,0.00-13.13; 16.22-28.08; 44.51-65.83; 66.34-169.63; 169.65-174.71; 174.72-180.31; 180.47-182.24; 182.43-183.80; 184.07-202.72; 202.82-261.59,T3_671:LThighFront,LThighFront,T3_671
T3_671:ChestTop,torso_chest_back,2,5.5417,4.9417,15.96-20.89; 148.78-149.37,T3_671:ChestTop,ChestTop,T3_671
T3_671:LHandIn,wrist_hand,2,2.25,1.7,190.59-191.13; 199.80-201.49,T3_671:LHandIn,LHandIn,T3_671
T3_671:LHandOut,wrist_hand,2,1.45,0.7917,111.85-112.63; 180.68-181.32,T3_671:LHandOut,LHandOut,T3_671
T3_671:RFArm,shoulder_upper_arm,2,1.0333,0.525,137.47-137.97; 141.68-142.19,T3_671:RFArm,RFArm,T3_671
