start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
0,1576,0.0,13.1333,13.1333,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
1577,1584,13.1417,13.2,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
1907,1914,15.8917,15.95,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
1915,3370,15.9583,28.0833,12.125,GAP_GE_0P5,gaps_over_0p5,T3_671:ChestTop;T3_671:LThighFront;T3_671:RHandIn,True,False,False,False,False
3371,3378,28.0917,28.15,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
5333,5340,44.4417,44.5,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
5341,5374,44.5083,44.7833,0.275,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
5375,5375,44.7917,44.7917,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront,True,False,True,False,False
5376,5381,44.8,44.8417,0.0417,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
5382,5397,44.85,44.975,0.125,GAP_GE_0P5;GAP_GE_0P2;SEGMENT_SWAP,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront;T3_671:RFArm,True,True,False,True,False
5398,5400,44.9833,45.0,0.0167,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,True,True,False,False,False
5401,5401,45.0083,45.0083,0.0,GAP_GE_0P5;GAP_GE_0P2;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LFArm;T3_671:LThighFront;T3_671:RFArm,True,True,True,False,False
5402,5413,45.0167,45.1083,0.0917,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm;T3_671:RHandIn,True,True,False,False,False
5414,7900,45.1167,65.8333,20.7167,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront;T3_671:RHandIn,True,False,False,False,False
7901,7908,65.8417,65.9,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
7953,7960,66.275,66.3333,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
7961,8071,66.3417,67.2583,0.9167,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
8072,8072,67.2667,67.2667,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LThighFront;T3_671:RHandOut,True,False,True,False,False
8073,8542,67.275,71.1833,3.9083,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
8543,8553,71.1917,71.275,0.0833,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,BackLeft__LShoulderBack;T3_671:LThighFront,True,False,False,True,False
8554,8557,71.2833,71.3083,0.025,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
8558,8563,71.3167,71.3583,0.0417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,BackLeft__LShoulderBack;T3_671:LThighFront,True,False,False,True,False
8564,8576,71.3667,71.4667,0.1,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
8577,8592,71.475,71.6,0.125,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,BackLeft__LShoulderBack;T3_671:LThighFront,True,False,False,True,False
8593,15209,71.6083,126.7417,55.1333,GAP_GE_0P5,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront,True,False,False,False,False
15210,15210,126.75,126.75,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LFArm;T3_671:LThighFront,True,False,True,False,False
15211,15563,126.7583,129.6917,2.9333,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
15564,15587,129.7,129.8917,0.1917,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,True,True,False,False,False
15588,15626,129.9,130.2167,0.3167,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
15627,15630,130.225,130.25,0.025,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,True,False,False,True,False
15631,15683,130.2583,130.6917,0.4333,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
15684,15714,130.7,130.95,0.25,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,RHandIn__RWristOut;T3_671:LThighFront,True,False,False,True,False
15715,15760,130.9583,131.3333,0.375,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
15761,15783,131.3417,131.525,0.1833,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,LHandOut__LWristOut;T3_671:LThighFront,True,False,False,True,False
15784,15784,131.5333,131.5333,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront,True,False,True,False,False
15785,15908,131.5417,132.5667,1.025,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
15909,15938,132.575,132.8167,0.2417,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,True,True,False,False,False
15939,16101,132.825,134.175,1.35,GAP_GE_0P5,gaps_over_0p5,T3_671:LHandOut;T3_671:LThighFront;T3_671:RFArm,True,False,False,False,False
16102,16102,134.1833,134.1833,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LThighFront;T3_671:RHandOut,True,False,True,False,False
16103,16159,134.1917,134.6583,0.4667,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
16160,16160,134.6667,134.6667,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,True,False,True,False,False
16161,16462,134.675,137.1833,2.5083,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
16463,16463,137.1917,137.1917,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:ChestLow;T3_671:LThighFront,True,False,True,False,False
16464,16562,137.2,138.0167,0.8167,GAP_GE_0P5,gaps_over_0p5,T3_671:LHandIn;T3_671:LThighFront;T3_671:RFArm,True,False,False,False,False
16563,16563,138.025,138.025,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:LHandIn;T3_671:LThighFront,True,False,True,False,False
16564,16703,138.0333,139.1917,1.1583,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
16704,16704,139.2,139.2,0.0,GAP_GE_0P5;ARTIFACT_SIGMA,gaps_over_0p5,T3_671:ChestLow;T3_671:LThighFront,True,False,True,False,False
16705,16718,139.2083,139.3167,0.1083,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
16719,16751,139.325,139.5917,0.2667,GAP_GE_0P5;GAP_GE_0P2,gaps_over_0p5,T3_671:LThighFront;T3_671:RFArm,True,True,False,False,False
16752,16753,139.6,139.6083,0.0083,GAP_GE_0P5,gaps_over_0p5,T3_671:LThighFront,True,False,False,False,False
