frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
0,0.0,False,True,False,False,False,GAP_GE_0P5
1,0.008333,False,True,False,False,False,GAP_GE_0P5
2,0.016667,False,True,False,False,False,GAP_GE_0P5
3,0.025,False,True,False,False,False,GAP_GE_0P5
4,0.033333,False,True,False,False,False,GAP_GE_0P5
5,0.041667,False,True,False,False,False,GAP_GE_0P5
6,0.05,False,True,False,False,False,GAP_GE_0P5
7,0.058333,False,True,False,False,False,GAP_GE_0P5
8,0.066667,False,True,False,False,False,GAP_GE_0P5
9,0.075,False,True,False,False,False,GAP_GE_0P5
10,0.083333,False,True,False,False,False,GAP_GE_0P5
11,0.091667,False,True,False,False,False,GAP_GE_0P5
12,0.1,False,True,False,False,False,GAP_GE_0P5
13,0.108333,False,True,False,False,False,GAP_GE_0P5
14,0.116667,False,True,False,False,False,GAP_GE_0P5
15,0.125,False,True,False,False,False,GAP_GE_0P5
16,0.133333,False,True,False,False,False,GAP_GE_0P5
17,0.141667,False,True,False,False,False,GAP_GE_0P5
18,0.15,False,True,False,False,False,GAP_GE_0P5
19,0.158333,False,True,False,False,False,GAP_GE_0P5
20,0.166667,False,True,False,False,False,GAP_GE_0P5
21,0.175,False,True,False,False,False,GAP_GE_0P5
22,0.183333,False,True,False,False,False,GAP_GE_0P5
23,0.191667,False,True,False,False,False,GAP_GE_0P5
24,0.2,False,True,False,False,False,GAP_GE_0P5
25,0.208333,False,True,False,False,False,GAP_GE_0P5
26,0.216667,False,True,False,False,False,GAP_GE_0P5
27,0.225,False,True,False,False,False,GAP_GE_0P5
28,0.233333,False,True,False,False,False,GAP_GE_0P5
29,0.241667,False,True,False,False,False,GAP_GE_0P5
30,0.25,False,True,False,False,False,GAP_GE_0P5
31,0.258333,False,True,False,False,False,GAP_GE_0P5
32,0.266667,False,True,False,False,False,GAP_GE_0P5
33,0.275,False,True,False,False,False,GAP_GE_0P5
34,0.283333,False,True,False,False,False,GAP_GE_0P5
35,0.291667,False,True,False,False,False,GAP_GE_0P5
36,0.3,False,True,False,False,False,GAP_GE_0P5
37,0.308333,False,True,False,False,False,GAP_GE_0P5
38,0.316667,False,True,False,False,False,GAP_GE_0P5
39,0.325,False,True,False,False,False,GAP_GE_0P5
