pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
LHeel__LToeIn,T3_671:LHeel,T3_671:LToeIn,foot,0.212236,0,0.0,0,T3_671:LHeel,LHeel,T3_671,T3_671:LToeIn,LToeIn,T3_671
LToeIn__LToeOut,T3_671:LToeIn,T3_671:LToeOut,foot,0.124303,0,0.0,0,T3_671:LToeIn,LToeIn,T3_671,T3_671:LToeOut,LToeOut,T3_671
LHeel__LToeTip,T3_671:LHeel,T3_671:LToeTip,foot,0.275565,0,0.0,0,T3_671:LHeel,LHeel,T3_671,T3_671:LToeTip,LToeTip,T3_671
RHeel__RToeIn,T3_671:RHeel,T3_671:RToeIn,foot,0.223576,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeIn,RToeIn,T3_671
RHeel__RToeOut,T3_671:RHeel,T3_671:RToeOut,foot,0.212368,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeOut,RToeOut,T3_671
RHeel__RToeTip,T3_671:RHeel,T3_671:RToeTip,foot,0.275356,0,0.0,0,T3_671:RHeel,RHeel,T3_671,T3_671:RToeTip,RToeTip,T3_671
HeadFront__HeadTop,T3_671:HeadFront,T3_671:HeadTop,head_neck,0.148219,0,0.0,0,T3_671:HeadFront,HeadFront,T3_671,T3_671:HeadTop,HeadTop,T3_671
WaistLFront__WaistRFront,T3_671:WaistLFront,T3_671:WaistRFront,pelvis_waist,0.236604,0,0.0,0,T3_671:WaistLFront,WaistLFront,T3_671,T3_671:WaistRFront,WaistRFront,T3_671
LAnkleOut__LShin,T3_671:LAnkleOut,T3_671:LShin,shank_ankle,0.195612,0,0.0,0,T3_671:LAnkleOut,LAnkleOut,T3_671,T3_671:LShin,LShin,T3_671
RAnkleOut__RShin,T3_671:RAnkleOut,T3_671:RShin,shank_ankle,0.352587,0,0.0,0,T3_671:RAnkleOut,RAnkleOut,T3_671,T3_671:RShin,RShin,T3_671
RKneeOut__RThighFront,T3_671:RKneeOut,T3_671:RThighFront,thigh_knee,0.212117,87,0.277141,7,T3_671:RKneeOut,RKneeOut,T3_671,T3_671:RThighFront,RThighFront,T3_671
RThighFront__RThighSide,T3_671:RThighFront,T3_671:RThighSide,thigh_knee,0.201736,0,0.0,0,T3_671:RThighFront,RThighFront,T3_671,T3_671:RThighSide,RThighSide,T3_671
BackLeft__LShoulderBack,T3_671:BackLeft,T3_671:LShoulderBack,torso_chest_back,0.150082,54,0.172018,4,T3_671:BackLeft,BackLeft,T3_671,T3_671:LShoulderBack,LShoulderBack,T3_671
BackRight__RShoulderBack,T3_671:BackRight,T3_671:RShoulderBack,torso_chest_back,0.140445,0,0.0,0,T3_671:BackRight,BackRight,T3_671,T3_671:RShoulderBack,RShoulderBack,T3_671
BackTop__WaistCBack,T3_671:BackTop,T3_671:WaistCBack,torso_chest_back,0.338868,0,0.0,0,T3_671:BackTop,BackTop,T3_671,T3_671:WaistCBack,WaistCBack,T3_671
BackTop__ChestLow,T3_671:BackTop,T3_671:ChestLow,torso_chest_back,0.282337,0,0.0,0,T3_671:BackTop,BackTop,T3_671,T3_671:ChestLow,ChestLow,T3_671
ChestTop__WaistCBack,T3_671:ChestTop,T3_671:WaistCBack,torso_chest_back,0.337338,0,0.0,0,T3_671:ChestTop,ChestTop,T3_671,T3_671:WaistCBack,WaistCBack,T3_671
WaistLBack__WaistRBack,T3_671:WaistLBack,T3_671:WaistRBack,torso_chest_back,0.248586,0,0.0,0,T3_671:WaistLBack,WaistLBack,T3_671,T3_671:WaistRBack,WaistRBack,T3_671
LHandOut__LWristOut,T3_671:LHandOut,T3_671:LWristOut,wrist_hand,0.169105,347,1.105377,69,T3_671:LHandOut,LHandOut,T3_671,T3_671:LWristOut,LWristOut,T3_671
RHandIn__RWristOut,T3_671:RHandIn,T3_671:RWristOut,wrist_hand,0.227726,96,0.30581,4,T3_671:RHandIn,RHandIn,T3_671,T3_671:RWristOut,RWristOut,T3_671
