marker_name,marker_name_raw,marker_name_canonical,asset_prefix,body_region_group,n_gaps_ge_0p5,total_gap_seconds_ge_0p5,longest_gap_seconds,n_frames_in_gap_ge_0p5,pct_frames_in_gap_ge_0p5,pct_session_time_in_gap_ge_0p5
671:ChestTop,671:ChestTop,ChestTop,671,torso_chest_back,1,2.7917,2.7917,335,1.094628,1.094677
671:LElbowOut,671:LElbowOut,LElbowOut,671,elbow_forearm,3,2.0583,0.8167,247,0.807084,0.807097
671:LFArm,671:LFArm,LFArm,671,shoulder_upper_arm,1,0.7833,0.7833,94,0.307149,0.307146
671:LHandIn,671:LHandIn,LHandIn,671,wrist_hand,1,0.6417,0.6417,77,0.251601,0.251622
671:LShoulderTop,671:LShoulderTop,LShoulderTop,671,shoulder_upper_arm,1,3.25,3.25,390,1.274343,1.274385
671:RFArm,671:RFArm,RFArm,671,shoulder_upper_arm,2,1.7333,1.125,208,0.67965,0.679659
671:RHandIn,671:RHandIn,RHandIn,671,wrist_hand,1,1.425,1.425,171,0.55875,0.558769
671:WaistLFront,671:WaistLFront,WaistLFront,671,pelvis_waist,1,1.4167,1.4167,170,0.555483,0.555514
