start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
1136,1267,9.4667,10.5583,1.0917,SEGMENT_SWAP,segment_swap,ChestTop__WaistCBack;RHandIn__RHandOut,False,False,False,True,False
1268,1275,10.5667,10.625,0.0583,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,ChestTop__WaistCBack;RHandIn__RHandOut,False,False,False,True,True
1276,1531,10.6333,12.7583,2.125,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:ChestTop;671:WaistLFront;RHandIn__RHandOut,True,False,False,True,False
1532,1542,12.7667,12.85,0.0833,GAP_GE_0P5,gaps_over_0p5,671:ChestTop;671:WaistLFront,True,False,False,False,False
1543,1554,12.8583,12.95,0.0917,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:ChestTop;RHandIn__RHandOut,True,False,False,True,False
1555,1610,12.9583,13.4167,0.4583,GAP_GE_0P5,gaps_over_0p5,671:ChestTop,True,False,False,False,False
1611,1618,13.425,13.4833,0.0583,EDGE_EFFECT,edge_effect,,False,False,False,False,True
5116,5458,42.6333,45.4833,2.85,SEGMENT_SWAP,segment_swap,BackLeft__LShoulderBack;BackRight__RShoulderBack;BackTop__WaistCBack,False,False,False,True,False
5459,5466,45.4917,45.55,0.0583,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,BackLeft__LShoulderBack;BackRight__RShoulderBack;BackTop__WaistCBack,False,False,False,True,True
5467,5856,45.5583,48.8,3.2417,GAP_GE_0P5;SEGMENT_SWAP,gaps_over_0p5,671:LShoulderTop;BackLeft__LShoulderBack;BackRight__RShoulderBack;BackTop__WaistCBack,True,False,False,True,False
5857,5864,48.8083,48.8667,0.0583,SEGMENT_SWAP;EDGE_EFFECT,segment_swap,671:LShoulderTop;BackLeft__LShoulderBack;BackRight__RShoulderBack,False,False,False,True,True
5865,5881,48.875,49.0083,0.1333,SEGMENT_SWAP,segment_swap,BackLeft__LShoulderBack;BackRight__RShoulderBack,False,False,False,True,False
