frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
24955,207.958333,False,False,False,False,False,
24956,207.966667,False,False,False,False,False,
24957,207.975,False,False,False,False,False,
24958,207.983333,False,False,False,False,False,
24959,207.991667,False,False,False,False,False,
24960,208.0,False,False,False,False,False,
24961,208.008333,False,False,False,False,False,
24962,208.016667,False,False,False,False,False,
24963,208.025,False,False,False,False,False,
24964,208.033333,False,False,False,False,False,
24965,208.041667,False,False,False,False,False,
24966,208.05,False,False,False,False,False,
24967,208.058333,False,False,False,False,False,
24968,208.066667,False,False,False,False,False,
24969,208.075,False,False,False,False,False,
24970,208.083333,False,False,False,False,False,
24971,208.091667,False,False,False,False,False,
24972,208.1,False,False,False,False,False,
24973,208.108333,False,False,False,False,False,
24974,208.116667,False,False,False,False,False,
24975,208.125,False,False,False,False,False,
24976,208.133333,False,False,False,False,False,
24977,208.141667,False,False,False,False,False,
24978,208.15,False,False,False,False,False,
24979,208.158333,False,False,False,False,False,
24980,208.166667,False,False,False,False,False,
24981,208.175,False,False,False,False,False,
24982,208.183333,False,False,False,False,False,
24983,208.191667,False,False,False,False,False,
24984,208.2,False,False,False,False,False,
24985,208.208333,False,False,False,False,False,
24986,208.216667,False,False,False,False,False,
24987,208.225,False,False,False,False,False,
24988,208.233333,False,False,False,False,False,
24989,208.241667,False,False,False,False,False,
24990,208.25,False,False,False,False,False,
24991,208.258333,False,False,False,False,False,
24992,208.266667,False,False,False,False,False,
24993,208.275,False,False,False,False,False,
24994,208.283333,False,False,False,False,False,
24995,208.291667,False,False,False,False,False,
24996,208.3,False,False,False,False,False,
24997,208.308333,False,False,False,False,False,
24998,208.316667,False,False,False,False,False,
24999,208.325,False,False,False,False,False,
25000,208.333333,False,False,False,False,False,
25001,208.341667,False,False,False,False,False,
25002,208.35,False,False,False,False,False,
25003,208.358333,False,False,False,False,False,
25004,208.366667,False,False,False,False,False,
25005,208.375,False,False,False,False,False,
25006,208.383333,False,False,False,False,False,
25007,208.391667,False,False,False,False,False,
25008,208.4,False,False,False,False,False,
25009,208.408333,False,False,False,False,False,
25010,208.416667,False,False,False,False,False,
25011,208.425,False,False,False,False,False,
25012,208.433333,False,False,False,False,False,
25013,208.441667,False,False,False,False,False,
25014,208.45,False,False,False,False,False,
25015,208.458333,False,False,False,False,False,
25016,208.466667,False,False,False,False,False,
25017,208.475,False,False,False,False,False,
25018,208.483333,False,False,False,False,False,
25019,208.491667,False,False,False,False,False,
25020,208.5,False,False,False,False,False,
25021,208.508333,False,False,False,False,False,
25022,208.516667,False,False,False,False,False,
25023,208.525,False,False,False,False,False,
25024,208.533333,False,False,False,False,False,
25025,208.541667,False,False,False,False,False,
25026,208.55,False,False,False,False,False,
25027,208.558333,False,False,False,False,False,
25028,208.566667,False,False,False,False,False,
25029,208.575,False,False,False,False,False,
25030,208.583333,False,False,False,False,False,
25031,208.591667,False,False,False,False,False,
25032,208.6,False,False,False,False,False,
25033,208.608333,False,False,False,False,False,
