body_region_group,n_events,n_single_frame,n_short_burst,n_sustained,n_segment_swap,events_per_minute
wrist_hand,81,41,21,19,48,19.057
torso_chest_back,58,50,1,7,8,13.6457
shoulder_upper_arm,40,40,0,0,0,9.4108
thigh_knee,27,19,2,6,8,6.3523
foot,20,20,0,0,0,4.7054
pelvis_waist,16,16,0,0,0,3.7643
head_neck,14,14,0,0,0,3.2938
shank_ankle,9,9,0,0,0,2.1174
elbow_forearm,7,7,0,0,0,1.6469
