marker_name,body_region_group,n_gaps,total_gap_seconds,longest_gap_seconds,gap_intervals_s,marker_name_raw,marker_name_canonical,asset_prefix
671:LFArm,shoulder_upper_arm,9,2.475,0.3917,128.03-128.42; 130.72-131.00; 134.44-134.70; 139.30-139.56; 150.56-150.78; 154.38-154.59; 158.61-158.84; 169.99-170.22; 212.93-213.26,671:LFArm,LFArm,671
671:RFArm,shoulder_upper_arm,8,2.6667,0.4583,119.90-120.09; 125.42-125.71; 128.66-128.99; 130.07-130.50; 131.32-131.71; 132.89-133.10; 156.51-156.96; 206.90-207.22,671:RFArm,RFArm,671
671:RHandIn,wrist_hand,8,2.2083,0.3833,59.83-60.10; 97.35-97.62; 121.56-121.75; 125.90-126.12; 164.25-164.49; 165.82-166.05; 167.55-167.89; 170.74-171.12,671:RHandIn,RHandIn,671
671:LShoulderTop,shoulder_upper_arm,5,1.3667,0.3583,49.02-49.27; 150.47-150.82; 152.02-152.27; 155.30-155.52; 206.38-206.63,671:LShoulderTop,LShoulderTop,671
671:ChestTop,torso_chest_back,3,0.8917,0.325,133.27-133.55; 134.47-134.74; 135.76-136.07,671:ChestTop,ChestTop,671
671:LElbowOut,elbow_forearm,1,0.375,0.375,138.05-138.42,671:LElbowOut,LElbowOut,671
671:ChestLow,torso_chest_back,1,0.3417,0.3417,138.68-139.01,671:ChestLow,ChestLow,671
671:LKneeOut,thigh_knee,1,0.3167,0.3167,250.28-250.58,671:LKneeOut,LKneeOut,671
