pair_name,marker_a,marker_b,body_region_group,median_distance_m,n_frames_violating,pct_frames_violating,n_events,marker_a_raw,marker_a_canonical,marker_a_asset_prefix,marker_b_raw,marker_b_canonical,marker_b_asset_prefix
LHeel__LToeTip,671:LHeel,671:LToeTip,foot,0.303619,0,0.0,0,671:LHeel,LHeel,671,671:LToeTip,LToeTip,671
LHeel__LToeIn,671:LHeel,671:LToeIn,foot,0.185294,0,0.0,0,671:LHeel,LHeel,671,671:LToeIn,LToeIn,671
LHeel__LToeOut,671:LHeel,671:LToeOut,foot,0.196461,0,0.0,0,671:LHeel,LHeel,671,671:LToeOut,LToeOut,671
RHeel__RToeIn,671:RHeel,671:RToeIn,foot,0.20508,0,0.0,0,671:RHeel,RHeel,671,671:RToeIn,RToeIn,671
RToeIn__RToeOut,671:RToeIn,671:RToeOut,foot,0.137851,0,0.0,0,671:RToeIn,RToeIn,671,671:RToeOut,RToeOut,671
RHeel__RToeTip,671:RHeel,671:RToeTip,foot,0.298392,0,0.0,0,671:RHeel,RHeel,671,671:RToeTip,RToeTip,671
HeadFront__HeadTop,671:HeadFront,671:HeadTop,head_neck,0.147812,0,0.0,0,671:HeadFront,HeadFront,671,671:HeadTop,HeadTop,671
WaistLFront__WaistRFront,671:WaistLFront,671:WaistRFront,pelvis_waist,0.267073,0,0.0,0,671:WaistLFront,WaistLFront,671,671:WaistRFront,WaistRFront,671
LAnkleOut__LShin,671:LAnkleOut,671:LShin,shank_ankle,0.170719,0,0.0,0,671:LAnkleOut,LAnkleOut,671,671:LShin,LShin,671
RAnkleOut__RShin,671:RAnkleOut,671:RShin,shank_ankle,0.261684,0,0.0,0,671:RAnkleOut,RAnkleOut,671,671:RShin,RShin,671
LThighFront__LThighSide,671:LThighFront,671:LThighSide,thigh_knee,0.200767,0,0.0,0,671:LThighFront,LThighFront,671,671:LThighSide,LThighSide,671
RKneeOut__RThighSide,671:RKneeOut,671:RThighSide,thigh_knee,0.378555,161,0.526075,8,671:RKneeOut,RKneeOut,671,671:RThighSide,RThighSide,671
RThighFront__RThighSide,671:RThighFront,671:RThighSide,thigh_knee,0.20993,0,0.0,0,671:RThighFront,RThighFront,671,671:RThighSide,RThighSide,671
BackLeft__LShoulderBack,671:BackLeft,671:LShoulderBack,torso_chest_back,0.152786,987,3.225069,2,671:BackLeft,BackLeft,671,671:LShoulderBack,LShoulderBack,671
BackRight__RShoulderBack,671:BackRight,671:RShoulderBack,torso_chest_back,0.163853,561,1.833094,1,671:BackRight,BackRight,671,671:RShoulderBack,RShoulderBack,671
BackTop__WaistCBack,671:BackTop,671:WaistCBack,torso_chest_back,0.381116,740,2.417985,1,671:BackTop,BackTop,671,671:WaistCBack,WaistCBack,671
BackTop__ChestLow,671:BackTop,671:ChestLow,torso_chest_back,0.317679,0,0.0,0,671:BackTop,BackTop,671,671:ChestLow,ChestLow,671
ChestTop__WaistCBack,671:ChestTop,671:WaistCBack,torso_chest_back,0.363822,162,0.529343,4,671:ChestTop,ChestTop,671,671:WaistCBack,WaistCBack,671
WaistLBack__WaistRBack,671:WaistLBack,671:WaistRBack,torso_chest_back,0.269921,0,0.0,0,671:WaistLBack,WaistLBack,671,671:WaistRBack,WaistRBack,671
LHandIn__LWristOut,671:LHandIn,671:LWristOut,wrist_hand,0.16909,107,0.349627,13,671:LHandIn,LHandIn,671,671:LWristOut,LWristOut,671
RHandIn__RWristOut,671:RHandIn,671:RWristOut,wrist_hand,0.15029,58,0.189518,12,671:RHandIn,RHandIn,671,671:RWristOut,RWristOut,671
RHandIn__RHandOut,671:RHandIn,671:RHandOut,wrist_hand,0.111698,564,1.842896,23,671:RHandIn,RHandIn,671,671:RHandOut,RHandOut,671
